"Path","Name","Type","Mode","Optionality","Label","Default Value","Async Input","Async Output"
"cds/layers/trifocus","trifocus","str","input","optional","Trifocus","None","n/a","n/a"
"cds/layers/expected_loss_cost","expected_loss_cost","float","output","n/a","Expected Loss Cost","n/a","n/a","n/a"
"cds/layers/expected_loss_cost_pre_uw_adj","expected_loss_cost_pre_uw_adj","float","output","n/a","Expected Loss Cost (Pre-UW Ajustment)","n/a","n/a","n/a"
"cds/layers/expected_loss_cost_100","expected_loss_cost_100","float","output","n/a","Expected Loss Cost (100%)","n/a","n/a","n/a"
"cds/layers/quoted_premium_net","quoted_premium_net","float","output","n/a","Net Quoted Premium (AFB)","n/a","n/a","n/a"
"cds/layers/quoted_premium_net_100","quoted_premium_net_100","float","output","n/a","Net Quoted
Premium
(100%)","n/a","n/a","n/a"
"cds/layers/quoted_premium_100","quoted_premium_100","float","output","n/a","Gross
Quoted
Premium
(100%)","n/a","['rarc_task', 'advanced_features_task']","n/a"
"cds/layers/quoted_premium_annual","quoted_premium_annual","float","output","n/a","Annualised Gross Quoted Premium (AFB)","n/a","n/a","n/a"
"cds/layers/quoted_premium_annual_100","quoted_premium_annual_100","float","output","n/a","Annualised Gross Quoted Premium (100%)","n/a","['rarc_task']","n/a"
"cds/layers/benchmark_premium_net","benchmark_premium_net","float","output","n/a","Net Benchmark Premium (AFB)","n/a","n/a","n/a"
"cds/layers/benchmark_premium_net_100","benchmark_premium_net_100","float","output","n/a","Net Benchmark Premium (100%)","n/a","n/a","n/a"
"cds/layers/benchmark_premium_100","benchmark_premium_100","float","output","n/a","Gross Benchmark Premium (100%)","n/a","n/a","n/a"
"cds/layers/benchmark_premium_annual","benchmark_premium_annual","float","output","n/a","Annualised Gross Benchmark Premium (AFB)","n/a","n/a","n/a"
"cds/layers/benchmark_premium_annual_100","benchmark_premium_annual_100","float","output","n/a","Annualised Gross Benchmark Premium (100%)","n/a","['rarc_task']","n/a"
"cds/layers/benchmark_premium_pre_uw_adj","benchmark_premium_pre_uw_adj","float","output","n/a","Gross Benchmark Premium (Pre-UW Adjustment)","n/a","n/a","n/a"
"cds/layers/technical_premium_100","technical_premium_100","float","output","n/a","Gross Technical Premium (100%)","n/a","n/a","n/a"
"cds/layers/technical_premium_net_100","technical_premium_net_100","float","output","n/a","Net Technical Premium (100%)","n/a","n/a","n/a"
"cds/layers/pflr_pre_uw_adj","pflr_pre_uw_adj","float","output","n/a","Priced-for Loss Ratio (Pre-UW Adj.)","n/a","n/a","n/a"
"cds/layers/rate_change/exposure_change/model_calculated","model_calculated","float","output","n/a","Model","n/a","n/a","['rarc_task']"
"cds/layers/rate_change/exposure_change/uw_selected","uw_selected","float","override","n/a","UW Selected","n/a","n/a","[{'task': 'rarc_task', 'reset': False}, 'start_renewal_task']"
"cds/layers/rate_change/exposure_change/uw_override","uw_override","float","input","optional","UW Override","None","n/a","['start_renewal_task']"
"cds/layers/rate_change/exposure_change/final","final","float","output","n/a","Final","n/a","n/a","n/a"
"cds/layers/rate_change/exposure_change/comments","comments","str","input","optional","Comment","None","n/a","['start_renewal_task']"
"cds/layers/rate_change/exposure_change","exposure_change","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/risk_characteristics_change/model_calculated","model_calculated","float","output","n/a","Model","n/a","n/a","['rarc_task']"
"cds/layers/rate_change/risk_characteristics_change/uw_selected","uw_selected","float","override","n/a","UW Selected","n/a","n/a","[{'task': 'rarc_task', 'reset': False}, 'start_renewal_task']"
"cds/layers/rate_change/risk_characteristics_change/uw_override","uw_override","float","input","optional","UW Override","None","n/a","['start_renewal_task']"
"cds/layers/rate_change/risk_characteristics_change/final","final","float","output","n/a","Final","n/a","n/a","n/a"
"cds/layers/rate_change/risk_characteristics_change/comments","comments","str","input","optional","Comment","None","n/a","['start_renewal_task']"
"cds/layers/rate_change/risk_characteristics_change","risk_characteristics_change","structure","n/a","n/a","n/a","n/a","n/a","n/a"
"cds/layers/rate_change/limit_change/model_calculated","model_calculated","float","output","n/a","Model","n/a","n/a","['rarc_task']"
"cds/layers/rate_change/limit_change/uw_selected","uw_selected","float","override","n/a","UW Selected","n/a","n/a","[{'task': 'rarc_task', 'reset': False}, 'start_renewal_task']"
"cds/layers/rate_change/limit_change/uw_override","uw_override","float","input","optional","UW Override","None","n/a","['start_renewal_task']"
