Event,Average Days
Concerts,365.25
Conferences,7
Fairs,7
Festivals,7
Marathons,1
Outdoor sports pitch,365.25
Parades,7
Party,2
Public Gatherings,7
Sports events,365.25
Theatre shows,365.25
Theme Parks,365.25
Trade shows,7
