YOA,Base Inflation,Social Inflation
2021,0.02,0.1
2022,0.02,0.1
2023,0.02,0.1
2024,0.02,0.08
2025,0.02,0.08
2026,0.02,0.08
2027,0.02,0.08
2028,0.02,0.08
2029,0.02,0.08
2030,0.02,0.08
