state_code,claimant_cap
AL,100000
CO,350000
FL,100000
IL,100000
IN,700000
KY,200000
MD,200000
MA,100000
MO,300000
NE,1000000
NV,100000
NM,400000
ND,250000
OK,175000
OR,2000000
PA,250000
SC,300000
TX,250000
UT,583900
WI,250000
