State,Rate
AL,2.20114004002299
AK,1.82010467778316
AZ,0.81268973890018
AR,1.99695455299262
CA,1.0
CO,1.0321098803626
CT,0.809254327226858
DE,1.84201346797189
DC,3.41269627084342
FL,1.57350932808117
GA,1.70503171069087
HI,1.2
ID,0.33798795609921
IL,1.30381860818387
IN,1.23098349886265
IA,0.727961975454214
KS,1.05065107974404
KY,0.930713939736541
LA,2.73015701667474
ME,0.341269627084343
MD,2.40412053497647
MA,0.916525759875142
MI,1.34810394006688
MN,0.618366720543097
MS,1.3215624105489
MO,1.98823272282587
MT,0.72002265557023
NE,0.793026103162813
NV,1.53330481817027
NH,0.33586712637316
NJ,0.393942406785921
NM,1.76294792669562
NY,0.925025362768727
NC,1.17611931233394
ND,0.56805739807997
OH,1.16039431903772
OK,1.15262214708417
OR,0.491743441092105
PA,1.44544248935387
RI,0.393225490311826
SC,2.09963128543994
SD,0.53567614842405
TN,2.02938502379184
TX,0.860460007642537
UT,0.274467610999806
VT,0.284391355903619
VA,0.902718121521344
WA,0.908426147126557
WV,0.53288529847621
WI,0.833503552808703
WY,0.440737181448181
