AggLimitRatio,LimitLocation,1,10,100,500,1000,5000,10000,20000
1,0,1,0.99,0.911,0.646,0.447,0.104,0.052,0.026
1,1000000,1,0.99,0.911,0.646,0.447,0.104,0.052,0.026
1,2000000,1,0.99,0.915,0.669,0.475,0.115,0.057,0.029
1,3000000,1,0.99,0.929,0.696,0.508,0.126,0.063,0.031
1,5000000,1,0.991,0.946,0.743,0.557,0.15,0.074,0.037
1,10000000,1,0.993,0.961,0.829,0.673,0.211,0.105,0.053
1,20000000,1,1.0,0.984,0.91,0.807,0.325,0.165,0.082
2,0,1,1.0,0.995,0.905,0.744,0.208,0.104,0.052
2,1000000,1,1.0,0.995,0.905,0.744,0.208,0.104,0.052
2,2000000,1,1.0,0.995,0.918,0.772,0.229,0.115,0.057
2,3000000,1,1.0,0.998,0.931,0.808,0.252,0.126,0.063
2,5000000,1,1.0,0.999,0.954,0.849,0.299,0.149,0.075
2,10000000,1,1.0,1.0,0.982,0.926,0.416,0.211,0.106
2,20000000,1,1.0,1.0,0.995,0.975,0.612,0.329,0.165
3,0,1,1.0,1.0,0.977,0.899,0.312,0.156,0.078
3,1000000,1,1.0,1.0,0.977,0.899,0.312,0.156,0.078
3,2000000,1,1.0,1.0,0.983,0.919,0.343,0.172,0.086
3,3000000,1,1.0,1.0,0.988,0.938,0.376,0.188,0.094
3,5000000,1,1.0,1.0,0.995,0.959,0.445,0.223,0.112
3,10000000,1,1.0,1.0,0.999,0.987,0.605,0.316,0.158
3,20000000,1,1.0,1.0,1.0,0.998,0.817,0.491,0.247
4,0,1,1.0,1.0,0.996,0.963,0.415,0.209,0.104
4,1000000,1,1.0,1.0,0.996,0.963,0.415,0.209,0.104
4,2000000,1,1.0,1.0,0.996,0.976,0.455,0.229,0.114
4,3000000,1,1.0,1.0,0.999,0.982,0.497,0.251,0.126
4,5000000,1,1.0,1.0,0.999,0.991,0.582,0.298,0.149
4,10000000,1,1.0,1.0,1.0,0.998,0.759,0.421,0.211
4,20000000,1,1.0,1.0,1.0,1.0,0.928,0.643,0.33
5,0,1,1.0,1.0,1.0,0.988,0.515,0.261,0.131
5,1000000,1,1.0,1.0,1.0,0.988,0.515,0.261,0.131
5,2000000,1,1.0,1.0,1.0,0.993,0.563,0.286,0.143
5,3000000,1,1.0,1.0,1.0,0.995,0.611,0.314,0.157
5,5000000,1,1.0,1.0,1.0,0.998,0.705,0.372,0.187
5,10000000,1,1.0,1.0,1.0,1.0,0.869,0.524,0.264
5,20000000,1,1.0,1.0,1.0,1.0,0.977,0.772,0.412
