Lookup,Sector,SubSector,Low,Medium,High,Counselling Est Measure,TP Per Employee,TP Per Unit,Measure,Minimum Premium,Relativity,Spread Discount Group
Motels3 Stars,Motels,3 Stars,0,20,50,Use Footfall,0.0,0.0,Rooms,5280.0,1.1,Medium Low
Motels4 Stars,Motels,4 Stars,0,20,50,Use Footfall,0.0,0.0,Rooms,4800.0,1.0,Medium Low
Motels5 Stars,Motels,5 Stars,0,20,50,Use Footfall,0.0,0.0,Rooms,3840.0,0.8,Medium Low
Bars & Night ClubsSports Themed,Bars & Night Clubs,Sports Themed,0,100,200,Use Footfall,0.0,0.0,Staff,4800.0,1.0,Medium Low
Bars & Night ClubsDance Clubs,Bars & Night Clubs,Dance Clubs,0,200,500,Use Footfall,0.0,0.0,Staff,4800.0,1.0,Medium Low
Bars & Night ClubsComedy Clubs,Bars & Night Clubs,Comedy Clubs,0,200,500,Use Footfall,0.0,0.0,Staff,4800.0,1.0,Medium Low
Bars & Night ClubsAdult Clubs,Bars & Night Clubs,Adult Clubs,0,100,200,Use Footfall,0.0,0.0,Staff,7200.0,1.5,Medium Low
Bars & Night ClubsKaraoke Clubs,Bars & Night Clubs,Karaoke Clubs,0,10,20,Use Footfall,0.0,0.0,Staff,4800.0,1.0,Medium Low
Bars & Night ClubsLive Music Clubs,Bars & Night Clubs,Live Music Clubs,0,50,100,Use Footfall,0.0,0.0,Staff,4800.0,1.0,Medium Low
Bars & Night ClubsStudent Nightclubs,Bars & Night Clubs,Student Nightclubs,0,200,500,Use Footfall,0.0,0.0,Staff,5760.0,1.2,Medium Low
RestaurantsFine Dining,Restaurants,Fine Dining,0,20,50,Use Footfall,0.0,0.0,Staff,4320.0,0.9,Very Low
RestaurantsCasual Dining,Restaurants,Casual Dining,0,20,50,Use Footfall,0.0,0.0,Staff,4800.0,1.0,Very Low
RestaurantsCafé,Restaurants,Café,0,10,20,Use Footfall,0.0,0.0,Staff,4800.0,1.0,Very Low
RestaurantsTakeaway,Restaurants,Takeaway,0,5,10,Use Footfall,0.0,0.0,Staff,4800.0,1.0,Very Low
RestaurantsFast Food,Restaurants,Fast Food,0,10,20,Use Footfall,0.0,0.0,Staff,5760.0,1.2,Very Low
RestaurantsPop Up,Restaurants,Pop Up,0,2,5,Use Footfall,0.0,0.0,Staff,4800.0,1.0,Very Low
Restaurants24 Hours,Restaurants,24 Hours,0,10,20,Use Footfall,0.0,0.0,Staff,7200.0,1.5,Very Low
RestaurantsFamily Restaurant,Restaurants,Family Restaurant,0,20,50,Use Footfall,0.0,0.0,Staff,4800.0,1.0,Very Low
LeisureGolf Courses & Country Clubs,Leisure,Golf Courses & Country Clubs,0,25,100,Per Unit,0.0,0.2,Members,4800.0,1.0,Very Low
LeisureGyms,Leisure,Gyms,0,25,100,Per Unit,0.0,0.2,Members,4800.0,1.0,Very Low
IndustrialPlant/Factory,Industrial,Plant/Factory,0,25,100,Per Employee,0.2,0.0,Staff,4800.0,1.0,Very Low
IndustrialWarehouse,Industrial,Warehouse,0,25,100,Per Employee,0.2,0.0,Staff,4800.0,1.0,Very Low
IndustrialContractors,Industrial,Contractors,0,25,100,Per Employee,0.2,0.0,Staff,9600.0,1.0,Very Low
MilitaryMilitary,Military,Military,0,100,500,Per Employee,0.1,0.0,Staff,4800.0,1.0,High
Non ProfitNon Profit,Non Profit,Non Profit,0,25,150,Per Employee,2.0,0.0,Staff,6000.0,1.0,Very Low
Open spacesParking Lots and Garages,Open spaces,Parking Lots and Garages,0,30000,85000,Per Employee,10.0,0.0,Sq Footage,4800.0,1.0,Medium
Open spacesState Parks,Open spaces,State Parks,0,10763912,107639120,Per Employee,10.0,0.0,Sq Footage,4800.0,1.0,Medium
ReligiousHouse of worship,Religious,House of worship,0,25,150,Use Footfall,0.0,0.0,Congregation,4800.0,1.0,Very Low
ReligiousMiscelleanous,Religious,Miscelleanous,0,25,150,Use Footfall,0.0,0.0,Congregation,4320.0,1.0,Very Low
ReligiousSunday School,Religious,Sunday School,0,25,150,Use Footfall,0.0,0.0,Congregation,4800.0,1.0,Very Low
ResidencesHigh risk,Residences,High risk,0,750,2500,Per Unit,0.0,5.0,Units,157192.744186046,32.748488372093,Medium
ResidencesLow risk,Residences,Low risk,0,750,2500,Per Unit,0.0,2.5,Units,4800.0,1.0,Very Low
RetailDepartment Stores,Retail,Department Stores,0,10,50,Per Employee,10.0,0.0,Staff,4800.0,1.0,Very Low
RetailGrocery Stores,Retail,Grocery Stores,0,10,30,Per Employee,3.0,0.0,Staff,5760.0,1.2,Low
RetailHigh End Fashion Stores,Retail,High End Fashion Stores,0,10,30,Per Employee,3.0,0.0,Staff,3840.0,0.8,Very Low
RetailThrift Stores,Retail,Thrift Stores,0,10,20,Per Employee,3.0,0.0,Staff,5760.0,1.2,Low
RetailAccessory Stores,Retail,Accessory Stores,0,10,20,Per Employee,3.0,0.0,Staff,4800.0,1.0,Very Low
RetailPharmacies,Retail,Pharmacies,0,10,50,Per Employee,5.0,0.0,Staff,4800.0,1.2,Low
RetailTechnology Stores,Retail,Technology Stores,0,10,50,Per Employee,5.0,0.0,Staff,4800.0,1.0,Very Low
RetailPet Stores,Retail,Pet Stores,0,10,20,Per Employee,3.0,0.0,Staff,6400.0,1.0,Very Low
RetailToy Stores,Retail,Toy Stores,0,10,20,Per Employee,3.0,0.0,Staff,4800.0,1.0,Very Low
RetailSpecialty Stores,Retail,Specialty Stores,0,10,20,Per Employee,3.0,0.0,Staff,4800.0,1.0,Very Low
RetailKiosks,Retail,Kiosks,0,10,50,Per Employee,6.0,0.0,Staff,4800.0,1.0,Very Low
Retail24 Hours,Retail,24 Hours,0,10,50,Per Employee,5.0,0.0,Staff,7200.0,1.5,Low
RetailGas Station,Retail,Gas Station,0,10,20,Per Employee,3.0,0.0,Staff,9600.0,2.0,Medium Low
RetailConvenience Stores,Retail,Convenience Stores,0,10,50,Per Employee,5.0,0.0,Staff,9600.0,2.0,Medium Low
RetailBanks,Retail,Banks,0,10,50,Per Employee,5.0,0.0,Staff,22252.2696542399,4.63588951129998,Medium Low
RetailHair & Beauty,Retail,Hair & Beauty,0,10,25,Per Employee,3.0,0.0,Staff,2918.73638050709,0.60807007927231,Very Low
RetailWellbeing & Aesthetics- Salons,Retail,Wellbeing & Aesthetics- Salons,0,10,25,Per Employee,3.0,0.0,Staff,2918.73638050709,0.60807007927231,Very Low
RetailCinema,Retail,Cinema,0,10,100,Per Employee,0.2,0.0,Staff,3794.35729465921,0.790491103054003,Very Low
Shopping MallsShopping Malls,Shopping Malls,Shopping Malls,0,15,50,Per Unit,0.0,5.0,Retail Units,4800.0,1.0,Medium
Summer CampsSummer Camps,Summer Camps,Summer Camps,0,10,1200,Use Footfall,0.0,0.0,Capacity,4800.0,1.0,Medium
