Level,Risk Preparedness,Security,Crisis Management
Excellent,0.9,0.9,0.9
Good,0.95,0.95,0.95
Average,1.0,1.0,1.0
Below Average,1.05,1.05,1.05
Poor,1.1,1.1,1.1
