Name,Mode,CDS level,Coverage,Relative path,Rater Defined?,Type,Default,Label hx
current_yr_construction_value,Input,cds/exposure/granular,,/construction_with_in_house_design/current_yr_construction_value,Y,float,0,Construction Values (Current Year)
current_yr_professional_fees,Input,cds/exposure/granular,,/construction_with_in_house_design/current_yr_professional_fees,Y,float,0,Professional Fees (Current Year)
current_yr_rateable_exposure,Output,cds/exposure/granular,,/construction_with_in_house_design/current_yr_rateable_exposure,Y,float,,Rateable Exposure (Current Year)
last_yr_construction_value,Input,cds/exposure/granular,,/construction_with_in_house_design/last_yr_construction_value,Y,float,0,Construction Values (Last Fiscal Year)
last_yr_professional_fees,Input,cds/exposure/granular,,/construction_with_in_house_design/last_yr_professional_fees,Y,float,0,Professional Fees (Last Fiscal Year)
last_yr_rateable_exposure,Output,cds/exposure/granular,,/construction_with_in_house_design/last_yr_rateable_exposure,Y,float,,Rateable Exposure (Last Fiscal Year)
two_yr_ago_construction_value,Input,cds/exposure/granular,,/construction_with_in_house_design/two_yr_ago_construction_value,Y,float,0,Construction Values (2 Years Ago)
two_yr_ago_professional_fees,Input,cds/exposure/granular,,/construction_with_in_house_design/two_yr_ago_professional_fees,Y,float,0,Professional Fees (2 Years Ago)
two_yr_ago_rateable_exposure,Output,cds/exposure/granular,,/construction_with_in_house_design/two_yr_ago_rateable_exposure,Y,float,,Rateable Exposure (2 Years Ago)
three_yr_avg_rateable_exposure,Output,cds/exposure/granular,,/construction_with_in_house_design/three_yr_avg_rateable_exposure,Y,float,,3 Year Average
two_yr_avg_rateable_exposure,Output,cds/exposure/granular,,/construction_with_in_house_design/two_yr_avg_rateable_exposure,Y,float,,2 Year Average
current_yr_avg_rateable_exposure,Output,cds/exposure/granular,,/construction_with_in_house_design/current_yr_avg_rateable_exposure,Y,float,,Current Fiscal Year
selected_avg_rateable_exposure,Override,cds/exposure/granular,,/construction_with_in_house_design/selected_avg_rateable_exposure,Y,float,,Selected
override_avg_rateable_exposure,Output,cds/exposure/granular,,/construction_with_in_house_design/override_avg_rateable_exposure,Y,float,,Override
rateable_exposure_discipline,Input,cds/exposure/granular,,/construction_with_in_house_design/rateable_exposure_discipline,Y,str,Engineering,Discipline
current_yr_construction_value,Input,cds/exposure/granular,,/construction_with_sub_contracted_design/current_yr_construction_value,Y,float,0,Construction Values (Current Year)
current_yr_professional_fees,Input,cds/exposure/granular,,/construction_with_sub_contracted_design/current_yr_professional_fees,Y,float,0,Professional Fees (Current Year)
current_yr_rateable_exposure,Output,cds/exposure/granular,,/construction_with_sub_contracted_design/current_yr_rateable_exposure,Y,float,,Rateable Exposure (Current Year)
last_yr_construction_value,Input,cds/exposure/granular,,/construction_with_sub_contracted_design/last_yr_construction_value,Y,float,0,Construction Values (Last Fiscal Year)
last_yr_professional_fees,Input,cds/exposure/granular,,/construction_with_sub_contracted_design/last_yr_professional_fees,Y,float,0,Professional Fees (Last Fiscal Year)
last_yr_rateable_exposure,Output,cds/exposure/granular,,/construction_with_sub_contracted_design/last_yr_rateable_exposure,Y,float,,Rateable Exposure (Last Fiscal Year)
two_yr_ago_construction_value,Input,cds/exposure/granular,,/construction_with_sub_contracted_design/two_yr_ago_construction_value,Y,float,0,Construction Values (2 Years Ago)
two_yr_ago_professional_fees,Input,cds/exposure/granular,,/construction_with_sub_contracted_design/two_yr_ago_professional_fees,Y,float,0,Professional Fees (2 Years Ago)
two_yr_ago_rateable_exposure,Output,cds/exposure/granular,,/construction_with_sub_contracted_design/two_yr_ago_rateable_exposure,Y,float,,Rateable Exposure (2 Years Ago)
three_yr_avg_rateable_exposure,Output,cds/exposure/granular,,/construction_with_sub_contracted_design/three_yr_avg_rateable_exposure,Y,float,,3 Year Average
two_yr_avg_rateable_exposure,Output,cds/exposure/granular,,/construction_with_sub_contracted_design/two_yr_avg_rateable_exposure,Y,float,,2 Year Average
current_yr_avg_rateable_exposure,Output,cds/exposure/granular,,/construction_with_sub_contracted_design/current_yr_avg_rateable_exposure,Y,float,,Current Fiscal Year
selected_avg_rateable_exposure,Override,cds/exposure/granular,,/construction_with_sub_contracted_design/selected_avg_rateable_exposure,Y,float,,Selected
override_avg_rateable_exposure,Output,cds/exposure/granular,,/construction_with_sub_contracted_design/override_avg_rateable_exposure,Y,float,,Override
rateable_exposure_discipline,Input,cds/exposure/granular,,/construction_with_sub_contracted_design/rateable_exposure_discipline,Y,str,Contractors,Discipline
current_yr_construction_value,Input,cds/exposure/granular,,/design_only_no_construction/current_yr_construction_value,Y,float,0,Construction Values (Current Year)
current_yr_professional_fees,Input,cds/exposure/granular,,/design_only_no_construction/current_yr_professional_fees,Y,float,0,Professional Fees (Current Year)
current_yr_rateable_exposure,Output,cds/exposure/granular,,/design_only_no_construction/current_yr_rateable_exposure,Y,float,,Rateable Exposure (Current Year)
last_yr_construction_value,Input,cds/exposure/granular,,/design_only_no_construction/last_yr_construction_value,Y,float,0,Construction Values (Last Fiscal Year)
last_yr_professional_fees,Input,cds/exposure/granular,,/design_only_no_construction/last_yr_professional_fees,Y,float,0,Professional Fees (Last Fiscal Year)
last_yr_rateable_exposure,Output,cds/exposure/granular,,/design_only_no_construction/last_yr_rateable_exposure,Y,float,,Rateable Exposure (Last Fiscal Year)
two_yr_ago_construction_value,Input,cds/exposure/granular,,/design_only_no_construction/two_yr_ago_construction_value,Y,float,0,Construction Values (2 Years Ago)
two_yr_ago_professional_fees,Input,cds/exposure/granular,,/design_only_no_construction/two_yr_ago_professional_fees,Y,float,0,Professional Fees (2 Years Ago)
two_yr_ago_rateable_exposure,Output,cds/exposure/granular,,/design_only_no_construction/two_yr_ago_rateable_exposure,Y,float,,Rateable Exposure (2 Years Ago)
three_yr_avg_rateable_exposure,Output,cds/exposure/granular,,/design_only_no_construction/three_yr_avg_rateable_exposure,Y,float,,3 Year Average
two_yr_avg_rateable_exposure,Output,cds/exposure/granular,,/design_only_no_construction/two_yr_avg_rateable_exposure,Y,float,,2 Year Average
