Country,Statecode,County,StateCounty,WF Buildings,WF Contents,WF BI,WF CatNet Cap
US,AL,Limestone County,ALLimestone County,6.07E-05,6.07E-05,6.07E-05,10
US,AL,Lowndes County,ALLowndes County,6.07E-05,6.07E-05,6.07E-05,10
US,AL,Macon County,ALMacon County,6.07E-05,6.07E-05,6.07E-05,10
US,AL,Madison County,ALMadison County,6.07E-05,6.07E-05,6.07E-05,10
US,AL,Marengo County,ALMarengo County,6.07E-05,6.07E-05,6.07E-05,10
US,AL,Marion County,ALMarion County,6.07E-05,6.07E-05,6.07E-05,10
US,AL,Marshall County,ALMarshall County,6.07E-05,6.07E-05,6.07E-05,10
US,AL,Mobile County,ALMobile County,6.07E-05,6.07E-05,6.07E-05,10
US,AL,Monroe County,ALMonroe County,6.07E-05,6.07E-05,6.07E-05,10
US,AL,Montgomery County,ALMontgomery County,6.07E-05,6.07E-05,6.07E-05,10
US,AL,Morgan County,ALMorgan County,6.07E-05,6.07E-05,6.07E-05,10
US,AL,Perry County,ALPerry County,6.07E-05,6.07E-05,6.07E-05,10
US,AL,Pickens County,ALPickens County,6.07E-05,6.07E-05,6.07E-05,10
US,AL,Pike County,ALPike County,6.07E-05,6.07E-05,6.07E-05,10
US,AL,Randolph County,ALRandolph County,6.07E-05,6.07E-05,6.07E-05,10
US,AL,Russell County,ALRussell County,6.07E-05,6.07E-05,6.07E-05,10
US,AL,Shelby County,ALShelby County,6.07E-05,6.07E-05,6.07E-05,10
US,AL,St. Clair County,ALSt. Clair County,6.07E-05,6.07E-05,6.07E-05,10
US,AL,Sumter County,ALSumter County,6.07E-05,6.07E-05,6.07E-05,10
US,AL,Talladega County,ALTalladega County,6.07E-05,6.07E-05,6.07E-05,10
US,AL,Tallapoosa County,ALTallapoosa County,6.07E-05,6.07E-05,6.07E-05,10
US,AL,Tuscaloosa County,ALTuscaloosa County,6.07E-05,6.07E-05,6.07E-05,10
US,AL,Walker County,ALWalker County,6.07E-05,6.07E-05,6.07E-05,10
US,AL,Washington County,ALWashington County,6.07E-05,6.07E-05,6.07E-05,10
US,AL,Wilcox County,ALWilcox County,6.07E-05,6.07E-05,6.07E-05,10
US,AL,Winston County,ALWinston County,6.07E-05,6.07E-05,6.07E-05,10
US,AR,Arkansas County,ARArkansas County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Ashley County,ARAshley County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Baxter County,ARBaxter County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Benton County,ARBenton County,6.12E-05,6.12E-05,6.12E-05,10
US,AR,Boone County,ARBoone County,6.12E-05,6.12E-05,6.12E-05,10
US,AR,Bradley County,ARBradley County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Calhoun County,ARCalhoun County,6.12E-05,6.12E-05,6.12E-05,10
US,AR,Carroll County,ARCarroll County,6.12E-05,6.12E-05,6.12E-05,10
US,AR,Chicot County,ARChicot County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Clark County,ARClark County,6.12E-05,6.12E-05,6.12E-05,10
US,AR,Clay County,ARClay County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Cleburne County,ARCleburne County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Cleveland County,ARCleveland County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Columbia County,ARColumbia County,6.12E-05,6.12E-05,6.12E-05,10
US,AR,Conway County,ARConway County,6.12E-05,6.12E-05,6.12E-05,10
US,AR,Craighead County,ARCraighead County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Crawford County,ARCrawford County,6.12E-05,6.12E-05,6.12E-05,10
US,AR,Crittenden County,ARCrittenden County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Cross County,ARCross County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Dallas County,ARDallas County,6.12E-05,6.12E-05,6.12E-05,10
US,AR,Desha County,ARDesha County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Drew County,ARDrew County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Faulkner County,ARFaulkner County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Franklin County,ARFranklin County,6.12E-05,6.12E-05,6.12E-05,10
US,AR,Fulton County,ARFulton County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Garland County,ARGarland County,6.12E-05,6.12E-05,6.12E-05,10
US,AR,Grant County,ARGrant County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Greene County,ARGreene County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Hempstead County,ARHempstead County,6.12E-05,6.12E-05,6.12E-05,10
US,AR,Hot Spring County,ARHot Spring County,6.12E-05,6.12E-05,6.12E-05,10
US,AR,Howard County,ARHoward County,6.12E-05,6.12E-05,6.12E-05,10
US,AR,Independence County,ARIndependence County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Izard County,ARIzard County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Jackson County,ARJackson County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Jefferson County,ARJefferson County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Johnson County,ARJohnson County,6.12E-05,6.12E-05,6.12E-05,10
US,AR,Lafayette County,ARLafayette County,6.12E-05,6.12E-05,6.12E-05,10
US,AR,Lawrence County,ARLawrence County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Lee County,ARLee County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Lincoln County,ARLincoln County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Little River County,ARLittle River County,6.12E-05,6.12E-05,6.12E-05,10
US,AR,Logan County,ARLogan County,6.12E-05,6.12E-05,6.12E-05,10
US,AR,Lonoke County,ARLonoke County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Madison County,ARMadison County,6.12E-05,6.12E-05,6.12E-05,10
US,AR,Marion County,ARMarion County,6.12E-05,6.12E-05,6.12E-05,10
US,AR,Miller County,ARMiller County,6.12E-05,6.12E-05,6.12E-05,10
US,AR,Mississippi County,ARMississippi County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Monroe County,ARMonroe County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Montgomery County,ARMontgomery County,6.12E-05,6.12E-05,6.12E-05,10
US,AR,Nevada County,ARNevada County,6.12E-05,6.12E-05,6.12E-05,10
US,AR,Newton County,ARNewton County,6.12E-05,6.12E-05,6.12E-05,10
US,AR,Ouachita County,AROuachita County,6.12E-05,6.12E-05,6.12E-05,10
US,AR,Perry County,ARPerry County,6.12E-05,6.12E-05,6.12E-05,10
US,AR,Phillips County,ARPhillips County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Pike County,ARPike County,6.12E-05,6.12E-05,6.12E-05,10
US,AR,Poinsett County,ARPoinsett County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Polk County,ARPolk County,6.12E-05,6.12E-05,6.12E-05,10
US,AR,Pope County,ARPope County,6.12E-05,6.12E-05,6.12E-05,10
US,AR,Prairie County,ARPrairie County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Pulaski County,ARPulaski County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Randolph County,ARRandolph County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Saline County,ARSaline County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Scott County,ARScott County,6.12E-05,6.12E-05,6.12E-05,10
US,AR,Searcy County,ARSearcy County,6.12E-05,6.12E-05,6.12E-05,10
US,AR,Sebastian County,ARSebastian County,6.12E-05,6.12E-05,6.12E-05,10
US,AR,Sevier County,ARSevier County,6.12E-05,6.12E-05,6.12E-05,10
US,AR,Sharp County,ARSharp County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,St. Francis County,ARSt. Francis County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Stone County,ARStone County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Union County,ARUnion County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Van Buren County,ARVan Buren County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Washington County,ARWashington County,6.12E-05,6.12E-05,6.12E-05,10
US,AR,White County,ARWhite County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Woodruff County,ARWoodruff County,6.12E-05,6.12E-05,6.12E-05,2
US,AR,Yell County,ARYell County,6.12E-05,6.12E-05,6.12E-05,10
US,AZ,Apache County,AZApache County,0.000131447,0.000131447,0.000131447,10
US,AZ,Cochise County,AZCochise County,0.000131447,0.000131447,0.000131447,10
US,AZ,Coconino County,AZCoconino County,0.000131447,0.000131447,0.000131447,10
US,AZ,Gila County,AZGila County,0.000131447,0.000131447,0.000131447,10
US,AZ,Graham County,AZGraham County,0.000131447,0.000131447,0.000131447,10
US,AZ,Greenlee County,AZGreenlee County,0.000131447,0.000131447,0.000131447,10
US,AZ,La Paz County,AZLa Paz County,0.000131447,0.000131447,0.000131447,10
US,AZ,Maricopa County,AZMaricopa County,0.000131447,0.000131447,0.000131447,10
US,AZ,Mohave County,AZMohave County,0.000131447,0.000131447,0.000131447,10
US,AZ,Navajo County,AZNavajo County,0.000131447,0.000131447,0.000131447,10
US,AZ,Pima County,AZPima County,0.000131447,0.000131447,0.000131447,10
US,AZ,Pinal County,AZPinal County,0.000131447,0.000131447,0.000131447,10
US,AZ,Santa Cruz County,AZSanta Cruz County,0.000131447,0.000131447,0.000131447,10
US,AZ,Yavapai County,AZYavapai County,0.000131447,0.000131447,0.000131447,10
US,AZ,Yuma County,AZYuma County,0.000131447,0.000131447,0.000131447,10
US,CA,Alameda County,CAAlameda County,0.000397499,0.000397499,0.000397499,10
US,CA,Alpine County,CAAlpine County,0.000397499,0.000397499,0.000397499,10
US,CA,Amador County,CAAmador County,0.000397499,0.000397499,0.000397499,10
US,CA,Butte County,CAButte County,0.000397499,0.000397499,0.000397499,10
US,CA,Calaveras County,CACalaveras County,0.000397499,0.000397499,0.000397499,10
US,CA,Colusa County,CAColusa County,0.000397499,0.000397499,0.000397499,10
US,CA,Contra Costa County,CAContra Costa County,0.000397499,0.000397499,0.000397499,10
US,CA,Del Norte County,CADel Norte County,0.000397499,0.000397499,0.000397499,10
US,CA,El Dorado County,CAEl Dorado County,0.000397499,0.000397499,0.000397499,10
US,CA,Fresno County,CAFresno County,0.000397499,0.000397499,0.000397499,10
US,CA,Glenn County,CAGlenn County,0.000397499,0.000397499,0.000397499,10
US,CA,Humboldt County,CAHumboldt County,0.000397499,0.000397499,0.000397499,10
US,CA,Imperial County,CAImperial County,0.000397499,0.000397499,0.000397499,10
US,CA,Inyo County,CAInyo County,0.000397499,0.000397499,0.000397499,10
US,CA,Kern County,CAKern County,0.000397499,0.000397499,0.000397499,10
US,CA,Kings County,CAKings County,0.000397499,0.000397499,0.000397499,10
US,CA,Lake County,CALake County,0.000397499,0.000397499,0.000397499,10
US,CA,Lassen County,CALassen County,0.000397499,0.000397499,0.000397499,10
US,CA,Los Angeles County,CALos Angeles County,0.000397499,0.000397499,0.000397499,10
US,CA,Madera County,CAMadera County,0.000397499,0.000397499,0.000397499,10
US,CA,Marin County,CAMarin County,0.000397499,0.000397499,0.000397499,10
US,CA,Mariposa County,CAMariposa County,0.000397499,0.000397499,0.000397499,10
US,CA,Mendocino County,CAMendocino County,0.000397499,0.000397499,0.000397499,10
US,CA,Merced County,CAMerced County,0.000397499,0.000397499,0.000397499,10
US,CA,Modoc County,CAModoc County,0.000397499,0.000397499,0.000397499,10
US,CA,Mono County,CAMono County,0.000397499,0.000397499,0.000397499,10
US,CA,Monterey County,CAMonterey County,0.000397499,0.000397499,0.000397499,10
US,CA,Napa County,CANapa County,0.000397499,0.000397499,0.000397499,10
US,CA,Nevada County,CANevada County,0.000397499,0.000397499,0.000397499,10
US,CA,Orange County,CAOrange County,0.000397499,0.000397499,0.000397499,10
US,CA,Placer County,CAPlacer County,0.000397499,0.000397499,0.000397499,10
US,CA,Plumas County,CAPlumas County,0.000397499,0.000397499,0.000397499,10
US,CA,Riverside County,CARiverside County,0.000397499,0.000397499,0.000397499,10
US,CA,Sacramento County,CASacramento County,0.000397499,0.000397499,0.000397499,10
US,CA,San Benito County,CASan Benito County,0.000397499,0.000397499,0.000397499,10
US,CA,San Bernardino County,CASan Bernardino County,0.000397499,0.000397499,0.000397499,10
US,CA,San Diego County,CASan Diego County,0.000397499,0.000397499,0.000397499,10
US,CA,San Francisco County,CASan Francisco County,0.000397499,0.000397499,0.000397499,10
US,CA,San Joaquin County,CASan Joaquin County,0.000397499,0.000397499,0.000397499,10
US,CA,San Luis Obispo County,CASan Luis Obispo County,0.000397499,0.000397499,0.000397499,10
US,CA,San Mateo County,CASan Mateo County,0.000397499,0.000397499,0.000397499,10
US,CA,Santa Barbara County,CASanta Barbara County,0.000397499,0.000397499,0.000397499,10
US,CA,Santa Clara County,CASanta Clara County,0.000397499,0.000397499,0.000397499,10
US,CA,Santa Cruz County,CASanta Cruz County,0.000397499,0.000397499,0.000397499,10
US,CA,Shasta County,CAShasta County,0.000397499,0.000397499,0.000397499,10
US,CA,Sierra County,CASierra County,0.000397499,0.000397499,0.000397499,10
US,CA,Siskiyou County,CASiskiyou County,0.000397499,0.000397499,0.000397499,10
US,CA,Solano County,CASolano County,0.000397499,0.000397499,0.000397499,10
US,CA,Sonoma County,CASonoma County,0.000397499,0.000397499,0.000397499,10
US,CA,Stanislaus County,CAStanislaus County,0.000397499,0.000397499,0.000397499,10
US,CA,Sutter County,CASutter County,0.000397499,0.000397499,0.000397499,10
US,CA,Tehama County,CATehama County,0.000397499,0.000397499,0.000397499,10
US,CA,Trinity County,CATrinity County,0.000397499,0.000397499,0.000397499,10
US,CA,Tulare County,CATulare County,0.000397499,0.000397499,0.000397499,10
US,CA,Tuolumne County,CATuolumne County,0.000397499,0.000397499,0.000397499,10
US,CA,Ventura County,CAVentura County,0.000397499,0.000397499,0.000397499,10
US,CA,Yolo County,CAYolo County,0.000397499,0.000397499,0.000397499,10
US,CA,Yuba County,CAYuba County,0.000397499,0.000397499,0.000397499,10
US,CO,Adams County,COAdams County,0.000128616,0.000128616,0.000128616,10
US,CO,Alamosa County,COAlamosa County,0.000128616,0.000128616,0.000128616,10
US,CO,Arapahoe County,COArapahoe County,0.000128616,0.000128616,0.000128616,10
US,CO,Archuleta County,COArchuleta County,0.000128616,0.000128616,0.000128616,10
US,CO,Baca County,COBaca County,0.000128616,0.000128616,0.000128616,10
US,CO,Bent County,COBent County,0.000128616,0.000128616,0.000128616,10
US,CO,Boulder County,COBoulder County,0.000128616,0.000128616,0.000128616,10
US,CO,Broomfield County,COBroomfield County,0.000128616,0.000128616,0.000128616,10
US,CO,Chaffee County,COChaffee County,0.000128616,0.000128616,0.000128616,10
US,CO,Cheyenne County,COCheyenne County,0.000128616,0.000128616,0.000128616,10
US,CO,Clear Creek County,COClear Creek County,0.000128616,0.000128616,0.000128616,10
US,CO,Conejos County,COConejos County,0.000128616,0.000128616,0.000128616,10
US,CO,Costilla County,COCostilla County,0.000128616,0.000128616,0.000128616,10
US,CO,Crowley County,COCrowley County,0.000128616,0.000128616,0.000128616,10
US,CO,Custer County,COCuster County,0.000128616,0.000128616,0.000128616,10
US,CO,Delta County,CODelta County,0.000128616,0.000128616,0.000128616,10
US,CO,Denver County,CODenver County,0.000128616,0.000128616,0.000128616,10
US,CO,Dolores County,CODolores County,0.000128616,0.000128616,0.000128616,10
US,CO,Douglas County,CODouglas County,0.000128616,0.000128616,0.000128616,10
US,CO,Eagle County,COEagle County,0.000128616,0.000128616,0.000128616,10
US,CO,El Paso County,COEl Paso County,0.000128616,0.000128616,0.000128616,10
US,CO,Elbert County,COElbert County,0.000128616,0.000128616,0.000128616,10
US,CO,Fremont County,COFremont County,0.000128616,0.000128616,0.000128616,10
US,CO,Garfield County,COGarfield County,0.000128616,0.000128616,0.000128616,10
US,CO,Gilpin County,COGilpin County,0.000128616,0.000128616,0.000128616,10
US,CO,Grand County,COGrand County,0.000128616,0.000128616,0.000128616,10
US,CO,Gunnison County,COGunnison County,0.000128616,0.000128616,0.000128616,10
US,CO,Hinsdale County,COHinsdale County,0.000128616,0.000128616,0.000128616,10
US,CO,Huerfano County,COHuerfano County,0.000128616,0.000128616,0.000128616,10
US,CO,Jackson County,COJackson County,0.000128616,0.000128616,0.000128616,10
US,CO,Jefferson County,COJefferson County,0.000128616,0.000128616,0.000128616,10
US,CO,Kiowa County,COKiowa County,0.000128616,0.000128616,0.000128616,10
US,CO,Kit Carson County,COKit Carson County,0.000128616,0.000128616,0.000128616,10
US,CO,La Plata County,COLa Plata County,0.000128616,0.000128616,0.000128616,10
US,CO,Lake County,COLake County,0.000128616,0.000128616,0.000128616,10
US,CO,Larimer County,COLarimer County,0.000128616,0.000128616,0.000128616,10
US,CO,Las Animas County,COLas Animas County,0.000128616,0.000128616,0.000128616,10
US,CO,Lincoln County,COLincoln County,0.000128616,0.000128616,0.000128616,10
US,CO,Logan County,COLogan County,0.000128616,0.000128616,0.000128616,10
US,CO,Mesa County,COMesa County,0.000128616,0.000128616,0.000128616,10
US,CO,Mineral County,COMineral County,0.000128616,0.000128616,0.000128616,10
US,CO,Moffat County,COMoffat County,0.000128616,0.000128616,0.000128616,10
US,CO,Montezuma County,COMontezuma County,0.000128616,0.000128616,0.000128616,10
US,CO,Montrose County,COMontrose County,0.000128616,0.000128616,0.000128616,10
US,CO,Morgan County,COMorgan County,0.000128616,0.000128616,0.000128616,10
US,CO,Otero County,COOtero County,0.000128616,0.000128616,0.000128616,10
US,CO,Ouray County,COOuray County,0.000128616,0.000128616,0.000128616,10
US,CO,Park County,COPark County,0.000128616,0.000128616,0.000128616,10
US,CO,Phillips County,COPhillips County,0.000128616,0.000128616,0.000128616,10
US,CO,Pitkin County,COPitkin County,0.000128616,0.000128616,0.000128616,10
US,CO,Prowers County,COProwers County,0.000128616,0.000128616,0.000128616,10
US,CO,Pueblo County,COPueblo County,0.000128616,0.000128616,0.000128616,10
US,CO,Rio Blanco County,CORio Blanco County,0.000128616,0.000128616,0.000128616,10
US,CO,Rio Grande County,CORio Grande County,0.000128616,0.000128616,0.000128616,10
US,CO,Routt County,CORoutt County,0.000128616,0.000128616,0.000128616,10
US,CO,Saguache County,COSaguache County,0.000128616,0.000128616,0.000128616,10
