sk_tn_catnet_level,rater_tn_catnet_level
Very Low (<0.5),< 0.5
Low (0.5 - 1),0.5 - 1
Moderate (1 - 3),1 - 3
Significant (3 - 6), 3 - 6
High (6 - 8),6 -8
Very High (8 - 9),8 - 9
Extreme (>9),> 9
No Observation,No Observation
No Data,0
