Wind,0,25000000,75000000,150000000,250000000
1,WS3,WS3,WS3,WS3,WS3
2,WS3,WS3,WS3,WS3,WS3
3,WS3,WS3,WS3,WS3,WS3
4,WS3,WS3,WS3,WS3,WS3
5,WS3,WS3,WS3,WS3,WS3
6,WS3,WS3,WS3,WS3,WS3
