Occupancy,EQ,WS,Tornado,Hail
0,0.000,0.000,0.000,0.000
1,0.250,0.000,0.000,0.000
2,0.000,0.000,0.000,0.250
3,0.000,0.000,0.250,0.250
4,0.000,0.000,0.000,0.250
5,0.000,0.000,0.000,0.000
6,0.000,0.000,0.000,0.000
7,0.000,0.000,0.000,0.000
8,0.000,0.000,0.000,0.000
9,0.000,0.000,0.000,0.000
10,0.000,0.000,0.000,0.000
11,0.000,0.000,0.000,0.000
12,0.000,0.000,0.000,0.000
13,0.000,0.000,0.000,0.000
14,0.000,0.000,0.000,0.000
15,0.000,0.000,0.000,0.000
16,0.000,0.000,0.000,0.000
17,0.000,0.000,0.000,0.000
18,0.000,0.000,0.000,0.000
19,0.000,0.000,0.000,0.000
20,0.000,0.000,1.000,1.000
21,0.000,0.000,0.000,0.000
22,0.000,0.000,0.000,1.000
23,0.000,0.000,0.000,0.000
24,0.000,0.000,0.000,0.000
25,0.000,0.000,0.250,0.000
26,0.000,0.000,0.000,0.000
27,0.000,0.000,0.000,0.000
28,0.000,0.000,0.000,0.000
29,0.000,0.000,0.000,0.000
30,0.000,0.000,0.000,0.000
31,0.000,0.000,0.000,0.000
32,0.000,0.000,0.000,0.000
33,0.000,0.000,0.000,0.000
34,0.000,0.000,0.000,0.000
35,0.000,0.000,0.000,0.000
36,0.000,0.000,0.000,0.000
37,0.000,0.000,0.000,0.000
38,0.000,0.000,0.000,0.000
39,0.250,0.000,0.000,0.250
40,0.250,0.000,0.000,0.250
41,0.250,0.000,0.000,0.250
42,0.000,0.000,0.250,1.000
43,0.000,0.000,0.000,0.250
44,0.000,0.000,1.000,1.000
47,0.000,0.000,0.250,0.250
48,0.000,0.000,0.000,0.000
49,0.000,0.000,0.000,0.000
50,0.000,0.000,0.000,0.000
51,0.000,0.000,0.250,0.250
52,0.000,0.000,0.250,0.250
53,0.000,0.000,0.000,0.000
54,0.000,0.000,0.000,0.000
