Score Band,Label,PSA,Category,Load
0,Very Low,0,Low,-0.95
0.06 - 0.09,Very Low,0.06,Low,-0.95
0.09 - 0.14,Low,0.09,Low,-0.9
0.14 - 0.18,Low,0.14,Low,-0.8
0.18 - 0.27,Moderate,0.18,Medium,-0.6
0.27 - 0.41,Significant,0.27,Medium,0
0.41 - 0.61,High,0.41,High,0.75
0.61 - 0.82,High,0.61,High,1.5
0.82 - 1.22,Very High,0.82,High,2.25
1.22 - 1.82,Very High,1.22,High,3.5
1.82 - 20,Extreme,1.82,Extreme,5
