StateCounty,Contents,BI
AKAleutians East Borough,-0.461374170796548000,0.051048813818356500
AKAleutians West Census Area,-0.461740828363792000,0.158662463918203000
AKAnchorage Municipality,-0.541139407160337000,0.054631851281215400
AKBethel Census Area,-0.465381912027995000,0.151527912974436000
AKBristol Bay Borough,-0.485280954788227000,-0.147939898956233000
AKDenali Borough,-0.471651199582750000,0.155754737748000000
AKDillingham Census Area,-0.478232381634727000,-0.110700146275979000
AKFairbanks North Star Borough,-0.504204833922614000,0.145145531786800000
AKHaines Borough,-0.464660787300799000,0.587853336010971000
AKHoonah-Angoon Census Area,-0.463653603668664000,0.299868705462834000
AKJuneau Borough,-0.473583859242184000,0.352499794028980000
AKKenai Peninsula Borough,-0.526891026413348000,0.135130255348831000
AKKetchikan Gateway Borough,-0.462661315368387000,0.653604089364520000
AKKodiak Island Borough,-0.488010369896468000,0.266842410540110000
AKKusilvak,-0.461002646699967000,-0.065757899474433400
AKMatanuska-Susitna Borough,-0.522532680092426000,0.183544880403170000
AKNome Census Area,-0.459050558604285000,0.155896091736668000
AKNorth Slope Borough,-0.460085062456343000,0.099709155750100600
AKNorthwest Arctic Borough,-0.459387505124496000,0.197994171420451000
AKPeninsula And Lake Borough,-0.465274434707951000,-0.016902399730515100
AKPetersburg Census Area,-0.464885145313701000,0.257030252212346000
AKPrince Of Wales-Hyder Census Area,-0.464353383820475000,0.626302141948896000
AKSitka Borough,-0.463808197911475000,0.440858235924483000
AKSkagway Municipality,-0.463427367614338000,0.370930258701154000
AKSoutheast Fairbanks Census Area,-0.471901036281935000,0.225924250588737000
AKValdez-Cordova Census Area,-0.527962306371082000,0.106821585568126000
AKWrangell City And Borough,-0.464894253621218000,0.579071167914380000
AKYakutat Borough,-0.464177452341142000,0.117246262244284000
AKYukon-Koyukuk Census Area,-0.464098740380565000,0.137397985046374000
ALAutauga County,-0.446555918487003000,0.069354383351633900
ALBaldwin County,-0.454279635603125000,0.081832877404453900
ALBarbour County,-0.447931074300558000,0.083145156300387100
ALBibb County,-0.439826998811678000,0.139891778677948000
ALBlount County,-0.442667381816362000,0.171210328579660000
ALBullock County,-0.449251388681051000,0.085848275263864100
ALButler County,-0.445493799594132000,0.075744568744812800
ALCalhoun County,-0.437851692112090000,0.183248200508064000
ALChambers County,-0.440836967770251000,0.156677874525568000
ALCherokee County,-0.431564222920100000,0.201607560499840000
ALChilton County,-0.438813713817848000,0.143573997019550000
ALChoctaw County,-0.431389879972874000,0.063116220217278800
ALClarke County,-0.436199748792824000,0.094765842248110100
ALClay County,-0.434328333651827000,0.173415733314495000
ALCleburne County,-0.438749782348120000,0.162575166587562000
ALCoffee County,-0.451723320131144000,0.066435696397110200
ALColbert County,-0.427496462531602000,0.210061277248000000
ALConecuh County,-0.440213207911941000,0.106719078066867000
ALCoosa County,-0.435986488583807000,0.181614309124182000
ALCovington County,-0.447726274434024000,0.066958318484984000
ALCrenshaw County,-0.450672297640603000,0.041857354105282700
ALCullman County,-0.434606964973853000,0.171072181169958000
ALDale County,-0.452991446637659000,0.041938607775527700
ALDallas County,-0.438630136979049000,0.097339078851706300
ALDekalb County,-0.429311770070835000,0.196078430203955000
ALElmore County,-0.450892589273150000,0.055723869657628800
ALEscambia County,-0.440361482667966000,0.130234864053397000
ALEtowah County,-0.439268501967827000,0.171049649720360000
ALFayette County,-0.430638507237465000,0.153363885624762000
ALFranklin County,-0.427287046469692000,-0.071763057178419600
ALGeneva County,-0.449057990511408000,0.074244597176659000
ALGreene County,-0.431535962516664000,0.115261087390642000
ALHale County,-0.432820814560784000,0.123911287830082000
ALHenry County,-0.450313048106800000,0.066157075022920800
ALHouston County,-0.448750734586229000,0.074610715852434500
ALJackson County,-0.428301486749517000,0.190563062262178000
ALJefferson County,-0.465347073465999000,0.111629806471916000
