sk_fl_catnet_level,rater_fl_catnet_level
2 years,10
5 years,10
10 years,10
20 years,20
25 years,20
30 years,30
50 years,50
100 years,100
200 years,200
250 years,250
300 years,250
500 years,500
> 500 years,> 500
> 500 years (US),> 500
1000 years,1000
No Data,No Data
Outside,1000
