tiv_low,selected_size_discount
0,2.431294741
2000000,2.429134623
5000000,2.425894448
10000000,2.420494155
20000000,2.409693568
50000000,2.37729181
100000000,2.32328888
150000000,2.269285949
200000000,2.215283019
250000000,2.161280088
500000000,1.954507332
750000000,1.782318384
1000000000,1.577012416
2000000000,1.40763288
5000000000,1.244260715
7500000000,1.08
10000000000,1
20000000000,0.84
50000000000,0.773951205
75000000000,0.705096557
1E+11,0.638514144
2E+11,0.537765314
4E+11,0.523093671
8E+11,0.47877037
1.6E+12,0.47877037
