Period,NACP,OM,Renewables,European Commercial Property
0,-0.020833333,-0.25,-0.15,-0.25
30,0,-0.229166667,-0.15,-0.229166667
60,0.020833333,-0.208333333,-0.15,-0.208333333
90,0.041666667,-0.1875,-0.15,-0.1875
120,0.0625,-0.166666667,-0.15,-0.166666667
150,0.083333333,-0.145833333,-0.15,-0.145833333
180,0.104166667,-0.125,-0.15,-0.125
210,0.125,-0.104166667,-0.125,-0.104166667
240,0.145833333,-0.083333333,-0.1,-0.083333333
270,0.166666667,-0.0625,-0.075,-0.0625
300,0.1875,-0.041666667,-0.05,-0.041666667
330,0.208333333,-0.020833333,-0.025,-0.020833333
360,0.229166667,0,0,0
390,0.25,0.020833333,0.05,0.020833333
420,0.270833333,0.041666667,0.1,0.041666667
450,0.291666667,0.0625,0.15,0.0625
480,0.3125,0.083333333,0.2,0.083333333
510,0.333333333,0.104166667,0.25,0.104166667
540,0.354166667,0.125,0.3,0.125
570,0.375,0.145833333,0.333333333,0.145833333
600,0.395833333,0.166666667,0.366666667,0.166666667
630,0.416666667,0.1875,0.4,0.1875
660,0.4375,0.208333333,0.433333333,0.208333333
690,0.458333333,0.229166667,0.466666667,0.229166667
720,0.479166667,0.25,0.5,0.25
1440,0.479166667,0.25,1.3,0.25
