StateCounty,Country,Statecode,County,WS Base Rate,EQ Base Rate,WS Gate,EQ Gate,Cresta Zone
ALSumter County,US,AL,Sumter County,0.000167334701023437000,0.000028244732395227200,0,161,South East
ALTalladega County,US,AL,Talladega County,0.000054193826364764800,0.000021408826663672200,0,161,South East
ALTallapoosa County,US,AL,Tallapoosa County,0.000079567890824242400,0.000008695870308841580,0,161,South East
ALTuscaloosa County,US,AL,Tuscaloosa County,0.000067610206991895000,0.000048997658239879800,0,161,South East
ALWalker County,US,AL,Walker County,0.000040223689022070500,0.000033625297559168000,0,161,South East
ALWashington County,US,AL,Washington County,0.000628112688961450000,0.000017093643935594400,0,161,South East
ALWilcox County,US,AL,Wilcox County,0.000238386786035997000,0.000015048914695313900,0,161,South East
ALWinston County,US,AL,Winston County,0.000033074655808455600,0.000018137151969087900,0,161,South East
ARArkansas County,US,AR,Arkansas County,0.000000000000000000000,0.000553685577157663000,0,132,NM Inner
ARAshley County,US,AR,Ashley County,0.000000000000000000000,0.000087791395086915500,0,161,NM Outer
ARBaxter County,US,AR,Baxter County,0.000000000000000000000,0.000010378050703299500,0,161,N/A
ARBenton County,US,AR,Benton County,0.000000000000000000000,0.000002789336809714110,0,161,N/A
ARBoone County,US,AR,Boone County,0.000000000000000000000,0.000006426214155929010,0,161,N/A
ARBradley County,US,AR,Bradley County,0.000000000000000000000,0.000065396675865860600,0,161,N/A
ARCalhoun County,US,AR,Calhoun County,0.000000000000000000000,0.000087234138421925700,0,161,N/A
ARCarroll County,US,AR,Carroll County,0.000000000000000000000,0.000004257422581990890,0,161,N/A
ARChicot County,US,AR,Chicot County,0.000000000000000000000,0.000137969052351042000,0,161,NM Outer
ARClark County,US,AR,Clark County,0.000000000000000000000,0.000006798651243537750,0,161,N/A
ARClay County,US,AR,Clay County,0.000000000000000000000,0.001346924213442880000,0,131,NM Inner
ARCleburne County,US,AR,Cleburne County,0.000000000000000000000,0.000089511229208169600,0,132,N/A
ARCleveland County,US,AR,Cleveland County,0.000000000000000000000,0.000054694596879284200,0,161,N/A
ARColumbia County,US,AR,Columbia County,0.000000000000000000000,0.000011185884198706400,0,161,N/A
ARConway County,US,AR,Conway County,0.000000000000000000000,0.000057308268569137200,0,161,N/A
ARCraighead County,US,AR,Craighead County,0.000000000000000000000,0.001377114161737080000,0,131,NM Inner
ARCrawford County,US,AR,Crawford County,0.000000000000000000000,0.000006059394282973030,0,161,N/A
ARCrittenden County,US,AR,Crittenden County,0.000000000000000000000,0.001508823949372050000,0,131,NM Inner
ARCross County,US,AR,Cross County,0.000000000000000000000,0.001361891033904130000,0,131,NM Inner
ARDallas County,US,AR,Dallas County,0.000000000000000000000,0.000064223112324488000,0,161,N/A
ARDesha County,US,AR,Desha County,0.000000000000000000000,0.000286581013670822000,0,161,NM Outer
ARDrew County,US,AR,Drew County,0.000000000000000000000,0.000094313792654772500,0,161,NM Outer
ARFaulkner County,US,AR,Faulkner County,0.000000000000000000000,0.000120000314021007000,0,161,N/A
ARFranklin County,US,AR,Franklin County,0.000000000000000000000,0.000004991593367993280,0,161,N/A
ARFulton County,US,AR,Fulton County,0.000000000000000000000,0.000027659522682806000,0,132,NM Outer
ARGarland County,US,AR,Garland County,0.000000000000000000000,0.000009536613911081160,0,161,N/A
ARGrant County,US,AR,Grant County,0.000000000000000000000,0.000099232615231193300,0,161,NM Outer
ARGreene County,US,AR,Greene County,0.000000000000000000000,0.001094147331533710000,0,131,NM Inner
ARHempstead County,US,AR,Hempstead County,0.000000000000000000000,0.000007358019069545540,0,161,N/A
ARHot Spring County,US,AR,Hot Spring County,0.000000000000000000000,0.000019449415578647900,0,161,N/A
ARHoward County,US,AR,Howard County,0.000000000000000000000,0.000004846548643078850,0,161,N/A
ARIndependence County,US,AR,Independence County,0.000000000000000000000,0.000235364972591028000,0,132,NM Outer
ARIzard County,US,AR,Izard County,0.000000000000000000000,0.000031062306569764300,0,132,NM Outer
ARJackson County,US,AR,Jackson County,0.000000000000000000000,0.000806005930779822000,0,131,NM Inner
ARJefferson County,US,AR,Jefferson County,0.000000000000000000000,0.000295152677462791000,0,161,NM Outer
ARJohnson County,US,AR,Johnson County,0.000000000000000000000,0.000009148643806645150,0,161,N/A
ARLafayette County,US,AR,Lafayette County,0.000000000000000000000,0.000013800905920030000,0,161,N/A
ARLawrence County,US,AR,Lawrence County,0.000000000000000000000,0.000500711687526273000,0,161,NM Inner
ARLee County,US,AR,Lee County,0.000000000000000000000,0.000718429999462941000,0,132,NM Inner
ARLincoln County,US,AR,Lincoln County,0.000000000000000000000,0.000266080402047496000,0,161,NM Outer
ARLittle River County,US,AR,Little River County,0.000000000000000000000,0.000011112264120815200,0,161,N/A
ARLogan County,US,AR,Logan County,0.000000000000000000000,0.000005748545845193720,0,161,N/A
ARLonoke County,US,AR,Lonoke County,0.000000000000000000000,0.000437308630635687000,0,132,NM Outer
ARMadison County,US,AR,Madison County,0.000000000000000000000,0.000004916324264572920,0,161,N/A
ARMarion County,US,AR,Marion County,0.000000000000000000000,0.000006400174327080710,0,161,N/A
ARMiller County,US,AR,Miller County,0.000000000000000000000,0.000009893861420322250,0,161,N/A
ARMississippi County,US,AR,Mississippi County,0.000000000000000000000,0.002443453763548600000,0,131,NM Inner
ARMonroe County,US,AR,Monroe County,0.000000000000000000000,0.000885992490119462000,0,132,NM Inner
ARMontgomery County,US,AR,Montgomery County,0.000000000000000000000,0.000005501801180617290,0,161,N/A
ARNevada County,US,AR,Nevada County,0.000000000000000000000,0.000005976575045744760,0,161,N/A
ARNewton County,US,AR,Newton County,0.000000000000000000000,0.000008666757626547800,0,161,N/A
AROuachita County,US,AR,Ouachita County,0.000000000000000000000,0.000033281349834876100,0,161,N/A
ARPerry County,US,AR,Perry County,0.000000000000000000000,0.000063540221972114000,0,161,N/A
ARPhillips County,US,AR,Phillips County,0.000000000000000000000,0.000516058727934335000,0,132,NM Inner
ARPike County,US,AR,Pike County,0.000000000000000000000,0.000011205589465675000,0,161,N/A
ARPoinsett County,US,AR,Poinsett County,0.000000000000000000000,0.001834937865468070000,0,131,NM Inner
ARPolk County,US,AR,Polk County,0.000000000000000000000,0.000004393964772790650,0,161,N/A
ARPope County,US,AR,Pope County,0.000000000000000000000,0.000022350797418038100,0,161,N/A
ARPrairie County,US,AR,Prairie County,0.000000000000000000000,0.000740742443610938000,0,132,NM Outer
ARPulaski County,US,AR,Pulaski County,0.000000000000000000000,0.000135268330076670000,0,161,NM Outer
ARRandolph County,US,AR,Randolph County,0.000000000000000000000,0.000478458108817667000,0,132,NM Inner
ARSaline County,US,AR,Saline County,0.000000000000000000000,0.000038063256211625200,0,161,NM Outer
ARScott County,US,AR,Scott County,0.000000000000000000000,0.000006859503204408710,0,161,N/A
ARSearcy County,US,AR,Searcy County,0.000000000000000000000,0.000015155375597091900,0,161,N/A
ARSebastian County,US,AR,Sebastian County,0.000000000000000000000,0.000006498605352451330,0,161,N/A
ARSevier County,US,AR,Sevier County,0.000000000000000000000,0.000004318765524444520,0,161,N/A
ARSharp County,US,AR,Sharp County,0.000000000000000000000,0.000090896838179510100,0,132,NM Outer
ARSt. Francis County,US,AR,St. Francis County,0.000000000000000000000,0.000925844191262811000,0,131,NM Inner
ARStone County,US,AR,Stone County,0.000000000000000000000,0.000038707347215701900,0,132,N/A
ARUnion County,US,AR,Union County,0.000000000000000000000,0.000019407601619151500,0,161,N/A
ARVan Buren County,US,AR,Van Buren County,0.000000000000000000000,0.000047106366071232000,0,161,N/A
ARWashington County,US,AR,Washington County,0.000000000000000000000,0.000002987918865550600,0,161,N/A
ARWhite County,US,AR,White County,0.000000000000000000000,0.000480772349783850000,0,132,NM Outer
ARWoodruff County,US,AR,Woodruff County,0.000000000000000000000,0.000662643946293939000,0,132,NM Inner
ARYell County,US,AR,Yell County,0.000000000000000000000,0.000019184675632844800,0,161,N/A
AZApache County,US,AZ,Apache County,0.000000000000000000000,0.000003487716723392030,0,161,N/A
AZCochise County,US,AZ,Cochise County,0.000000000000000000000,0.000034114930695585100,0,161,N/A
AZCoconino County,US,AZ,Coconino County,0.000000000000000000000,0.000010586539248873300,0,161,N/A
AZGila County,US,AZ,Gila County,0.000000000000000000000,0.000016762610992231700,0,161,N/A
AZGraham County,US,AZ,Graham County,0.000000000000000000000,0.000035459323987042100,0,161,N/A
AZGreenlee County,US,AZ,Greenlee County,0.000000000000000000000,0.000014581300069463900,0,161,N/A
AZLa Paz County,US,AZ,La Paz County,0.000000000000000000000,0.000027221182603185000,0,161,N/A
AZMaricopa County,US,AZ,Maricopa County,0.000000000000000000000,0.000027597977533524500,0,161,N/A
AZMohave County,US,AZ,Mohave County,0.000000000000000000000,0.000033633717398209700,0,161,N/A
AZNavajo County,US,AZ,Navajo County,0.000000000000000000000,0.000006388614466617040,0,161,N/A
AZPima County,US,AZ,Pima County,0.000000000000000000000,0.000036865554832855200,0,161,N/A
AZPinal County,US,AZ,Pinal County,0.000000000000000000000,0.000027413316854661300,0,161,N/A
AZSanta Cruz County,US,AZ,Santa Cruz County,0.000000000000000000000,0.000016717821525449800,0,161,N/A
AZYavapai County,US,AZ,Yavapai County,0.000000000000000000000,0.000020275535312750000,0,161,N/A
AZYuma County,US,AZ,Yuma County,0.000000000000000000000,0.000347705677741805000,0,161,N/A
CAAlameda County,US,CA,Alameda County,0.000000000000000000000,0.004532547690021060000,0,103,A2
CAAlpine County,US,CA,Alpine County,0.000000000000000000000,0.000412884250398008000,0,109,E
CAAmador County,US,CA,Amador County,0.000000000000000000000,0.000030583271872083200,0,111,G
CAButte County,US,CA,Butte County,0.000000000000000000000,0.000169883046868770000,0,111,G
CACalaveras County,US,CA,Calaveras County,0.000000000000000000000,0.000018948075961295700,0,111,G
CAColusa County,US,CA,Colusa County,0.000000000000000000000,0.000544274104181252000,0,111,G
CAContra Costa County,US,CA,Contra Costa County,0.000000000000000000000,0.002892278191286160000,0,103,A2
CADel Norte County,US,CA,Del Norte County,0.000000000000000000000,0.001171929545784850000,0,103,A3
CAEl Dorado County,US,CA,El Dorado County,0.000000000000000000000,0.000221740168898685000,0,111,G
CAFresno County,US,CA,Fresno County,0.000000000000000000000,0.000285248377859851000,0,110,F
CAGlenn County,US,CA,Glenn County,0.000000000000000000000,0.000396431897747968000,0,111,G
CAHumboldt County,US,CA,Humboldt County,0.000000000000000000000,0.001855073133650820000,0,103,A3
CAImperial County,US,CA,Imperial County,0.000000000000000000000,0.005211856349997550000,0,109,E
CAInyo County,US,CA,Inyo County,0.000000000000000000000,0.000369698932862292000,0,109,E
CAKern County,US,CA,Kern County,0.000000000000000000000,0.000620091105862623000,0,107,C
CAKings County,US,CA,Kings County,0.000000000000000000000,0.000613848328961935000,0,110,F
CALake County,US,CA,Lake County,0.000000000000000000000,0.000922396864136797000,0,103,A3
CALassen County,US,CA,Lassen County,0.000000000000000000000,0.000329637659623659000,0,112,H
CALos Angeles County,US,CA,Los Angeles County,0.000000000000000000000,0.001916776157292680000,0,104,B1
CAMadera County,US,CA,Madera County,0.000000000000000000000,0.000113950755324045000,0,110,F
CAMarin County,US,CA,Marin County,0.000000000000000000000,0.001165754979951450000,0,101,A3
CAMariposa County,US,CA,Mariposa County,0.000000000000000000000,0.000043828575144633500,0,110,F
CAMendocino County,US,CA,Mendocino County,0.000000000000000000000,0.001031300705040780000,0,103,A3
CAMerced County,US,CA,Merced County,0.000000000000000000000,0.000482728268405796000,0,110,F
CAModoc County,US,CA,Modoc County,0.000000000000000000000,0.000175156356978730000,0,112,H
CAMono County,US,CA,Mono County,0.000000000000000000000,0.000542086838411958000,0,109,E
CAMonterey County,US,CA,Monterey County,0.000000000000000000000,0.001574337927718500000,0,101,A3
CANapa County,US,CA,Napa County,0.000000000000000000000,0.001752054364561330000,0,101,A3
CANevada County,US,CA,Nevada County,0.000000000000000000000,0.000114196090064804000,0,111,G
CAOrange County,US,CA,Orange County,0.000000000000000000000,0.001399306084815220000,0,106,B3
CAPlacer County,US,CA,Placer County,0.000000000000000000000,0.000144755681988806000,0,111,G
CAPlumas County,US,CA,Plumas County,0.000000000000000000000,0.000368359078855661000,0,112,H
CARiverside County,US,CA,Riverside County,0.000000000000000000000,0.002009920571940790000,0,109,E
CASacramento County,US,CA,Sacramento County,0.000000000000000000000,0.000335641660280337000,0,111,G
CASan Benito County,US,CA,San Benito County,0.000000000000000000000,0.006646300736721470000,0,101,A3
CASan Bernardino County,US,CA,San Bernardino County,0.000000000000000000000,0.002155969792842530000,0,109,E
CASan Diego County,US,CA,San Diego County,0.000000000000000000000,0.000312917453883255000,0,108,D
CASan Francisco County,US,CA,San Francisco County,0.000000000000000000000,0.002076022317098810000,0,101,A1
CASan Joaquin County,US,CA,San Joaquin County,0.000000000000000000000,0.000596094460429270000,0,111,G
CASan Luis Obispo County,US,CA,San Luis Obispo County,0.000000000000000000000,0.000534865598516463000,0,107,C
CASan Mateo County,US,CA,San Mateo County,0.000000000000000000000,0.001810846675609310000,0,102,A1
CASanta Barbara County,US,CA,Santa Barbara County,0.000000000000000000000,0.001023203679351120000,0,107,C
CASanta Clara County,US,CA,Santa Clara County,0.000000000000000000000,0.003480571500176130000,0,101,A3
CASanta Cruz County,US,CA,Santa Cruz County,0.000000000000000000000,0.001704680637265490000,0,101,A3
CAShasta County,US,CA,Shasta County,0.000000000000000000000,0.000297426200543998000,0,112,H
CASierra County,US,CA,Sierra County,0.000000000000000000000,0.000302741374068255000,0,112,H
CASiskiyou County,US,CA,Siskiyou County,0.000000000000000000000,0.000210684550616085000,0,112,H
CASolano County,US,CA,Solano County,0.000000000000000000000,0.002012736341088940000,0,101,A3
CASonoma County,US,CA,Sonoma County,0.000000000000000000000,0.001680091377129020000,0,103,A3
CAStanislaus County,US,CA,Stanislaus County,0.000000000000000000000,0.000482271038212120000,0,111,G
CASutter County,US,CA,Sutter County,0.000000000000000000000,0.000314349614715853000,0,111,G
CATehama County,US,CA,Tehama County,0.000000000000000000000,0.000348049213217233000,0,112,H
CATrinity County,US,CA,Trinity County,0.000000000000000000000,0.000687024736576252000,0,112,H
CATulare County,US,CA,Tulare County,0.000000000000000000000,0.000194807284040064000,0,110,F
CATuolumne County,US,CA,Tuolumne County,0.000000000000000000000,0.000026604599674897700,0,111,G
CAVentura County,US,CA,Ventura County,0.000000000000000000000,0.001368977787230330000,0,107,C
CAYolo County,US,CA,Yolo County,0.000000000000000000000,0.000902887560818835000,0,111,G
CAYuba County,US,CA,Yuba County,0.000000000000000000000,0.000075746622929325300,0,111,G
COAdams County,US,CO,Adams County,0.000000000000000000000,0.000003034042602172300,0,161,N/A
COAlamosa County,US,CO,Alamosa County,0.000000000000000000000,0.000060290993859275700,0,161,N/A
COArapahoe County,US,CO,Arapahoe County,0.000000000000000000000,0.000004762981710269700,0,161,N/A
COArchuleta County,US,CO,Archuleta County,0.000000000000000000000,0.000007140136292229340,0,161,N/A
COBaca County,US,CO,Baca County,0.000000000000000000000,0.000001423008160073850,0,161,N/A
COBent County,US,CO,Bent County,0.000000000000000000000,0.000006155739841762950,0,161,N/A
COBoulder County,US,CO,Boulder County,0.000000000000000000000,0.000003985158655427650,0,161,N/A
COBroomfield County,US,CO,Broomfield County,0.000000000000000000000,0.000001895149321443690,0,161,N/A
COChaffee County,US,CO,Chaffee County,0.000000000000000000000,0.000035835376039435400,0,161,N/A
COCheyenne County,US,CO,Cheyenne County,0.000000000000000000000,0.000002969071949457870,0,161,N/A
COClear Creek County,US,CO,Clear Creek County,0.000000000000000000000,0.000005577227635082740,0,161,N/A
COConejos County,US,CO,Conejos County,0.000000000000000000000,0.000043814695548679300,0,161,N/A
COCostilla County,US,CO,Costilla County,0.000000000000000000000,0.000071125129392623600,0,161,N/A
COCrowley County,US,CO,Crowley County,0.000000000000000000000,0.000017729857642390800,0,161,N/A
COCuster County,US,CO,Custer County,0.000000000000000000000,0.000007028262205862600,0,161,N/A
CODelta County,US,CO,Delta County,0.000000000000000000000,0.000010031006862891900,0,161,N/A
CODenver County,US,CO,Denver County,0.000000000000000000000,0.000006167522430858390,0,161,N/A
CODolores County,US,CO,Dolores County,0.000000000000000000000,0.000002516412186863270,0,161,N/A
CODouglas County,US,CO,Douglas County,0.000000000000000000000,0.000002671816756877720,0,161,N/A
COEagle County,US,CO,Eagle County,0.000000000000000000000,0.000008387772489018980,0,161,N/A
COEl Paso County,US,CO,El Paso County,0.000000000000000000000,0.000003229128054172520,0,161,N/A
COElbert County,US,CO,Elbert County,0.000000000000000000000,0.000002214440112017250,0,161,N/A
COFremont County,US,CO,Fremont County,0.000000000000000000000,0.000004628868686073070,0,161,N/A
COGarfield County,US,CO,Garfield County,0.000000000000000000000,0.000012497612690287000,0,161,N/A
COGilpin County,US,CO,Gilpin County,0.000000000000000000000,0.000004452538851551650,0,161,N/A
COGrand County,US,CO,Grand County,0.000000000000000000000,0.000008690486063264590,0,161,N/A
COGunnison County,US,CO,Gunnison County,0.000000000000000000000,0.000008300301966070990,0,161,N/A
COHinsdale County,US,CO,Hinsdale County,0.000000000000000000000,0.000011698298295041800,0,161,N/A
COHuerfano County,US,CO,Huerfano County,0.000000000000000000000,0.000005436216185033790,0,161,N/A
COJackson County,US,CO,Jackson County,0.000000000000000000000,0.000004407063097102430,0,161,N/A
COJefferson County,US,CO,Jefferson County,0.000000000000000000000,0.000003516935785799260,0,161,N/A
COKiowa County,US,CO,Kiowa County,0.000000000000000000000,0.000015682405698986600,0,161,N/A
COKit Carson County,US,CO,Kit Carson County,0.000000000000000000000,0.000001639040788526950,0,161,N/A
COLa Plata County,US,CO,La Plata County,0.000000000000000000000,0.000003365707570514440,0,161,N/A
COLake County,US,CO,Lake County,0.000000000000000000000,0.000008893096307597230,0,161,N/A
COLarimer County,US,CO,Larimer County,0.000000000000000000000,0.000003268411296048010,0,161,N/A
COLas Animas County,US,CO,Las Animas County,0.000000000000000000000,0.000002252726930684770,0,161,N/A
COLincoln County,US,CO,Lincoln County,0.000000000000000000000,0.000003523378317101670,0,161,N/A
COLogan County,US,CO,Logan County,0.000000000000000000000,0.000000482466929216868,0,161,N/A
COMesa County,US,CO,Mesa County,0.000000000000000000000,0.000006009280194814360,0,161,N/A
COMineral County,US,CO,Mineral County,0.000000000000000000000,0.000015051753665830700,0,161,N/A
COMoffat County,US,CO,Moffat County,0.000000000000000000000,0.000005596515598249680,0,161,N/A
COMontezuma County,US,CO,Montezuma County,0.000000000000000000000,0.000001813947213015710,0,161,N/A
COMontrose County,US,CO,Montrose County,0.000000000000000000000,0.000006673673401310320,0,161,N/A
COMorgan County,US,CO,Morgan County,0.000000000000000000000,0.000001055804928605350,0,161,N/A
COOtero County,US,CO,Otero County,0.000000000000000000000,0.000017122520029731400,0,161,N/A
COOuray County,US,CO,Ouray County,0.000000000000000000000,0.000006922608258252700,0,161,N/A
COPark County,US,CO,Park County,0.000000000000000000000,0.000004121617464339480,0,161,N/A
COPhillips County,US,CO,Phillips County,0.000000000000000000000,0.000000288500907004781,0,161,N/A
COPitkin County,US,CO,Pitkin County,0.000000000000000000000,0.000014141636054777600,0,161,N/A
