Fire,0,25000000,75000000,150000000,250000000
1,MH4,MH4,M3,M3,L2
2,MH4,MH4,M3,M3,L2
3,MH4,MH4,M3,L2,L2
4,MH4,M3,M3,L2,VL1
5,M3,M3,L2,VL1,VL1
6,M3,L2,VL1,VL1,VL1
