StateCounty,Unknown,Regular,Irregular
AKAleutians East Borough,0.00000000000000000,-0.04724980540848630,0.14174940790784300
AKAleutians West Census Area,0.00000000000000000,-0.04991053640974010,0.14973160420150400
AKAnchorage Municipality,0.00000000000000000,-0.04205336773573250,0.13195993905350800
AKBethel Census Area,0.00000000000000000,-0.04655690090688860,0.13970703042644300
AKBristol Bay Borough,0.00000000000000000,-0.04953123690992760,0.14860381931027500
AKDenali Borough,0.00000000000000000,-0.04851155915676770,0.14569921329697400
AKDillingham Census Area,0.00000000000000000,-0.04981538374277320,0.14944625122003600
AKFairbanks North Star Borough,0.00000000000000000,-0.04508289192717290,0.14003547221176400
AKHaines Borough,0.00000000000000000,-0.04983501660390890,0.14950503242393600
AKHoonah-Angoon Census Area,0.00000000000000000,-0.04348737600490570,0.13046214190408000
AKJuneau Borough,0.00000000000000000,-0.04781198616058410,0.14361524598216000
AKKenai Peninsula Borough,0.00000000000000000,-0.04640530830799270,0.14382467463098500
AKKetchikan Gateway Borough,0.00000000000000000,-0.04961572010072180,0.14884716238077700
AKKodiak Island Borough,0.00000000000000000,-0.04941784371758770,0.14969523319778300
AKKusilvak,0.00000000000000000,-0.04680491587189000,0.14041473707638200
AKMatanuska-Susitna Borough,0.00000000000000000,-0.04500336821529270,0.13936334631876000
AKNome Census Area,0.00000000000000000,-0.04789664273942060,0.14368994522019100
AKNorth Slope Borough,0.00000000000000000,-0.04797825294119670,0.14393476470291700
AKNorthwest Arctic Borough,0.00000000000000000,-0.04814970264931460,0.14444913007673900
AKPeninsula And Lake Borough,0.00000000000000000,-0.04701057298452900,0.14104137130378300
AKPetersburg Census Area,0.00000000000000000,-0.04991908876654320,0.14975727951115300
AKPrince Of Wales-Hyder Census Area,0.00000000000000000,-0.04978064611734590,0.14934195787946300
AKSitka Borough,0.00000000000000000,-0.04976608107380050,0.14929822888530400
AKSkagway Municipality,0.00000000000000000,-0.04900203782094450,0.14700615446159300
AKSoutheast Fairbanks Census Area,0.00000000000000000,-0.04970950713720430,0.14915336118850400
AKValdez-Cordova Census Area,0.00000000000000000,-0.04290417818173850,0.13700924334863000
AKWrangell City And Borough,0.00000000000000000,-0.04982895476376310,0.14948688728345400
AKYakutat Borough,0.00000000000000000,-0.03552037532984240,0.10656113140272200
AKYukon-Koyukuk Census Area,0.00000000000000000,-0.04720602999080280,0.14174133075482000
ALAutauga County,0.00000000000000000,-0.04814416106633390,0.14510281319583900
ALBaldwin County,0.00000000000000000,-0.04571454260658600,0.13947595688109300
ALBarbour County,0.00000000000000000,-0.04895639909398570,0.14737823762032900
ALBibb County,0.00000000000000000,-0.04835388663479100,0.14562264880250800
ALBlount County,0.00000000000000000,-0.04806045831634510,0.14574592864641000
ALBullock County,0.00000000000000000,-0.04805513342708020,0.14487746161202100
ALButler County,0.00000000000000000,-0.04899666063213070,0.14648520035477600
ALCalhoun County,0.00000000000000000,-0.04850751653620580,0.14604052729509500
ALChambers County,0.00000000000000000,-0.04822193402423260,0.14551253537594500
ALCherokee County,0.00000000000000000,-0.04842751664806980,0.14551505812875500
ALChilton County,0.00000000000000000,-0.04865846922922420,0.14620785310481900
ALChoctaw County,0.00000000000000000,-0.04894751571634560,0.14609373970909500
ALClarke County,0.00000000000000000,-0.04903991817532400,0.14669979912049100
ALClay County,0.00000000000000000,-0.04843364979294900,0.14519281831705600
ALCleburne County,0.00000000000000000,-0.04883559629984210,0.14766712598834800
ALCoffee County,0.00000000000000000,-0.04877802549085910,0.14704548450546300
ALColbert County,0.00000000000000000,-0.04919388345674150,0.14724279596746500
ALConecuh County,0.00000000000000000,-0.04837391287796600,0.14489270963959400
ALCoosa County,0.00000000000000000,-0.04861308580683520,0.14623339016300800
ALCovington County,0.00000000000000000,-0.04841062680962200,0.14572423661975800
ALCrenshaw County,0.00000000000000000,-0.04864390959987810,0.14604872055573000
ALCullman County,0.00000000000000000,-0.04892924533241780,0.14687734366334400
ALDale County,0.00000000000000000,-0.04857014069404400,0.14603754061623900
ALDallas County,0.00000000000000000,-0.04907851748615480,0.14749468905355600
ALDekalb County,0.00000000000000000,-0.04927983910641240,0.14780428662414200
ALElmore County,0.00000000000000000,-0.04747082722531410,0.14394678876617900
ALEscambia County,0.00000000000000000,-0.04789191407951320,0.14467162963182700
ALEtowah County,0.00000000000000000,-0.04816126178509820,0.14454730830670900
ALFayette County,0.00000000000000000,-0.04936026649525790,0.14787814439937000
ALFranklin County,0.00000000000000000,-0.04982156566104060,0.14921084076707600
ALGeneva County,0.00000000000000000,-0.04829946654613070,0.14531667670701000
ALGreene County,0.00000000000000000,-0.04879842053588060,0.14580254734696200
ALHale County,0.00000000000000000,-0.04893046246096140,0.14675504758946200
ALHenry County,0.00000000000000000,-0.04880469167792860,0.14675806271564000
ALHouston County,0.00000000000000000,-0.04844818141797580,0.14594639252554300
ALJackson County,0.00000000000000000,-0.04933774560405680,0.14797207040849900
ALJefferson County,0.00000000000000000,-0.04566870147351630,0.14161730537132000
ALLamar County,0.00000000000000000,-0.04968652152954240,0.14814598513950400
ALLauderdale County,0.00000000000000000,-0.04966546294533560,0.14876924335848200
ALLawrence County,0.00000000000000000,-0.04913657033574740,0.14759084982906500
ALLee County,0.00000000000000000,-0.04734606609206730,0.14269555322406700
ALLimestone County,0.00000000000000000,-0.04862670253222170,0.14681969753547300
ALLowndes County,0.00000000000000000,-0.04850426495807510,0.14690197641013700
ALMacon County,0.00000000000000000,-0.04808293873342470,0.14475008403923700
ALMadison County,0.00000000000000000,-0.04765588303385880,0.14521988296924200
ALMarengo County,0.00000000000000000,-0.04927341223435580,0.14685824566655500
ALMarion County,0.00000000000000000,-0.04970912603249710,0.14829824055558900
ALMarshall County,0.00000000000000000,-0.04886766761519870,0.14698045619554600
ALMobile County,0.00000000000000000,-0.04555169378049970,0.13896949549134700
ALMonroe County,0.00000000000000000,-0.04853041105373630,0.14531842969219700
ALMontgomery County,0.00000000000000000,-0.04680237029823870,0.14260611330667100
ALMorgan County,0.00000000000000000,-0.04847067130872900,0.14558137270294000
ALPerry County,0.00000000000000000,-0.04922652604403590,0.14779775600955000
ALPickens County,0.00000000000000000,-0.04941795519147160,0.14782014633521000
ALPike County,0.00000000000000000,-0.04894715101123800,0.14747009783613600
ALRandolph County,0.00000000000000000,-0.04845103314028500,0.14613017206219700
ALRussell County,0.00000000000000000,-0.04761836340955030,0.14368307694031300
ALShelby County,0.00000000000000000,-0.04684753306325920,0.14350807571372100
ALSt. Clair County,0.00000000000000000,-0.04750591275005040,0.14450107707193300
ALSumter County,0.00000000000000000,-0.04956206780120130,0.14781767951275300
ALTalladega County,0.00000000000000000,-0.04841359768114880,0.14588380030255100
ALTallapoosa County,0.00000000000000000,-0.04883500158437100,0.14711633164686300
ALTuscaloosa County,0.00000000000000000,-0.04721236604916170,0.14181674432902500
ALWalker County,0.00000000000000000,-0.04894296400946100,0.14715151188415000
ALWashington County,0.00000000000000000,-0.04812225678778150,0.14427334087470500
ALWilcox County,0.00000000000000000,-0.04879503784088730,0.14563905966656900
ALWinston County,0.00000000000000000,-0.04936709082360290,0.14812938157576000
ARArkansas County,0.00000000000000000,-0.04569646807874350,0.14789818403609600
ARAshley County,0.00000000000000000,-0.04834556696188790,0.15019363736319900
ARBaxter County,0.00000000000000000,-0.04943418974856720,0.14846265429853100
ARBenton County,0.00000000000000000,-0.04822977413257930,0.14610496190980800
ARBoone County,0.00000000000000000,-0.04939193119712940,0.14832815641705000
ARBradley County,0.00000000000000000,-0.04834814752111290,0.14990607253973300
ARCalhoun County,0.00000000000000000,-0.04833468392681460,0.14996819919297500
ARCarroll County,0.00000000000000000,-0.04916377511442330,0.14770875502826700
ARChicot County,0.00000000000000000,-0.04773676870630420,0.14941962398165700
ARClark County,0.00000000000000000,-0.04840081297706070,0.14638692325308500
ARClay County,0.00000000000000000,-0.04271447648473240,0.14147591801826500
ARCleburne County,0.00000000000000000,-0.04902777980329400,0.14880097565045600
ARCleveland County,0.00000000000000000,-0.04828083608072890,0.14997986855320800
ARColumbia County,0.00000000000000000,-0.04853123095056670,0.14686316734906300
ARConway County,0.00000000000000000,-0.04880132361299230,0.14826773062738900
ARCraighead County,0.00000000000000000,-0.04298214870853300,0.14395304326669500
ARCrawford County,0.00000000000000000,-0.04873023318431270,0.14754762111668500
ARCrittenden County,0.00000000000000000,-0.04113029525242210,0.13978244129348800
ARCross County,0.00000000000000000,-0.04151809178338370,0.13765283270285900
ARDallas County,0.00000000000000000,-0.04851160957741330,0.14953984939652300
ARDesha County,0.00000000000000000,-0.04700431025765160,0.15033759542068500
ARDrew County,0.00000000000000000,-0.04776087583034140,0.15008592694702000
ARFaulkner County,0.00000000000000000,-0.04852255110526130,0.14787733418403400
ARFranklin County,0.00000000000000000,-0.04882677316862030,0.14727642648213100
ARFulton County,0.00000000000000000,-0.04984541000719940,0.14980621463023700
ARGarland County,0.00000000000000000,-0.04761936596285720,0.14349568951424400
ARGrant County,0.00000000000000000,-0.04786682716692630,0.14954933956516500
ARGreene County,0.00000000000000000,-0.04620496049196100,0.14963700913823000
ARHempstead County,0.00000000000000000,-0.04869230554299760,0.14681737521960600
ARHot Spring County,0.00000000000000000,-0.04787163986250290,0.14626120108097600
ARHoward County,0.00000000000000000,-0.04882453673993670,0.14694597953097200
ARIndependence County,0.00000000000000000,-0.04819637460430680,0.15064949871795000
ARIzard County,0.00000000000000000,-0.04980749311570880,0.14982423947403000
ARJackson County,0.00000000000000000,-0.04718552410738160,0.15021746888513500
ARJefferson County,0.00000000000000000,-0.04683402789503280,0.15104653193056600
ARJohnson County,0.00000000000000000,-0.04898221096405300,0.14752881688105100
ARLafayette County,0.00000000000000000,-0.04864307591992170,0.14765297194822400
ARLawrence County,0.00000000000000000,-0.04795151585374540,0.15063803393385600
ARLee County,0.00000000000000000,-0.04477083186841890,0.14237533265344200
ARLincoln County,0.00000000000000000,-0.04694146876696510,0.15074608709722900
ARLittle River County,0.00000000000000000,-0.04910471217981840,0.14760952292431600
ARLogan County,0.00000000000000000,-0.04892821963063980,0.14760056435530300
ARLonoke County,0.00000000000000000,-0.04669743901622820,0.15017459973508800
ARMadison County,0.00000000000000000,-0.04925957074569120,0.14841590337215300
ARMarion County,0.00000000000000000,-0.04917711117503390,0.14764834592136700
ARMiller County,0.00000000000000000,-0.04840463505028190,0.14628832518388900
ARMississippi County,0.00000000000000000,-0.03904670355610000,0.12486683920744600
ARMonroe County,0.00000000000000000,-0.04499293700334170,0.14704862989577000
ARMontgomery County,0.00000000000000000,-0.04850908936113350,0.14624260804290400
ARNevada County,0.00000000000000000,-0.04825145814309920,0.14553839547148400
ARNewton County,0.00000000000000000,-0.04921793295060200,0.14778633300582600
AROuachita County,0.00000000000000000,-0.04838016780176220,0.14875893630564100
ARPerry County,0.00000000000000000,-0.04800173348277660,0.14785571587458300
ARPhillips County,0.00000000000000000,-0.04514195079512020,0.14437165148727700
ARPike County,0.00000000000000000,-0.04867905001993910,0.14700871775714500
ARPoinsett County,0.00000000000000000,-0.03963595696644980,0.12301060414883500
ARPolk County,0.00000000000000000,-0.04939572372656550,0.14827004919010200
ARPope County,0.00000000000000000,-0.04889177227806300,0.14790626739108600
ARPrairie County,0.00000000000000000,-0.04619124786033800,0.14889416528501100
ARPulaski County,0.00000000000000000,-0.04660259148809660,0.14810393859850600
ARRandolph County,0.00000000000000000,-0.04810445821189680,0.15087794791336400
ARSaline County,0.00000000000000000,-0.04695837096921760,0.14793750687568200
ARScott County,0.00000000000000000,-0.04915930467452060,0.14826628112281400
ARSearcy County,0.00000000000000000,-0.04962271679780130,0.14895952913046400
ARSebastian County,0.00000000000000000,-0.04838711812827850,0.14680709449504000
ARSevier County,0.00000000000000000,-0.04926067630547030,0.14781196515155300
ARSharp County,0.00000000000000000,-0.04960443801227390,0.14984227207268200
ARSt. Francis County,0.00000000000000000,-0.04407860299065960,0.14413216327979500
ARStone County,0.00000000000000000,-0.04936372591307060,0.14936458361576100
ARUnion County,0.00000000000000000,-0.04838611589389760,0.14768786750091700
ARVan Buren County,0.00000000000000000,-0.04898257433631630,0.14764329751128200
ARWashington County,0.00000000000000000,-0.04826240012116170,0.14555293565042600
ARWhite County,0.00000000000000000,-0.04696628109442360,0.14990671007662000
ARWoodruff County,0.00000000000000000,-0.04752686525109140,0.15102335632547700
ARYell County,0.00000000000000000,-0.04896531739643230,0.14838414583047900
AZApache County,0.00000000000000000,-0.04996487309972280,0.14990235860856200
AZCochise County,0.00000000000000000,-0.04983239469543680,0.14976950409147100
AZCoconino County,0.00000000000000000,-0.04982040302233050,0.14953057659523300
AZGila County,0.00000000000000000,-0.04982148727283390,0.14974193213471100
AZGraham County,0.00000000000000000,-0.04947084358154410,0.14858523882694200
AZGreenlee County,0.00000000000000000,-0.04986216506193400,0.14958871375766400
AZLa Paz County,0.00000000000000000,-0.04949988840500770,0.14850958951864300
AZMaricopa County,0.00000000000000000,-0.04821436462222020,0.14920069166357100
AZMohave County,0.00000000000000000,-0.04967343234601220,0.14902328451330000
AZNavajo County,0.00000000000000000,-0.04993399244898370,0.14983021781994500
AZPima County,0.00000000000000000,-0.04925633784821590,0.14964604792076400
AZPinal County,0.00000000000000000,-0.04915326733128570,0.14958310649570100
AZSanta Cruz County,0.00000000000000000,-0.04991889010201900,0.14989903083930800
AZYavapai County,0.00000000000000000,-0.04983033233695530,0.14985468044070700
AZYuma County,0.00000000000000000,-0.04995429303185950,0.14986501457304000
