StateCounty,Unknown,No Signs of Fatigue / Good Maintenance,Few Signs of Fatigue / Average Maintenance,Obvious Signs of Fatigue / Poor Maintenance
COGilpin County,0.000000000000000000,0.000000000000000000,0.049684641641230400,0.098916835342499400
COGrand County,0.000000000000000000,0.000000000000000000,0.049920837450010400,0.099747628566671000
COGunnison County,0.000000000000000000,0.000000000000000000,0.049830180152357100,0.099639126590528300
COHinsdale County,0.000000000000000000,0.000000000000000000,0.049918297467028000,0.099836257747984500
COHuerfano County,0.000000000000000000,0.000000000000000000,0.049921991737653900,0.099840965130477200
COJackson County,0.000000000000000000,0.000000000000000000,0.049957459843642500,0.099850473133251200
COJefferson County,0.000000000000000000,0.000000000000000000,0.050174206894879600,0.099292316159464300
COKiowa County,0.000000000000000000,0.000000000000000000,0.049976897451390800,0.099952936585520300
COKit Carson County,0.000000000000000000,0.000000000000000000,0.049963659518102300,0.099921951376559900
COLa Plata County,0.000000000000000000,0.000000000000000000,0.049877525724980200,0.099753034404371100
COLake County,0.000000000000000000,0.000000000000000000,0.049897055162514200,0.099680729328585100
COLarimer County,0.000000000000000000,0.000000000000000000,0.049878038839262800,0.099345324836926500
COLas Animas County,0.000000000000000000,0.000000000000000000,0.049854409844146500,0.099705826147294700
COLincoln County,0.000000000000000000,0.000000000000000000,0.049983815115297400,0.099957070480585900
COLogan County,0.000000000000000000,0.000000000000000000,0.049958481303980600,0.099898876352717800
COMesa County,0.000000000000000000,0.000000000000000000,0.049815418447439300,0.099568892691176200
COMineral County,0.000000000000000000,0.000000000000000000,0.049953333185831900,0.099906661856344000
COMoffat County,0.000000000000000000,0.000000000000000000,0.049701729037335800,0.099388381997732100
COMontezuma County,0.000000000000000000,0.000000000000000000,0.049971090225296600,0.099941572580609600
COMontrose County,0.000000000000000000,0.000000000000000000,0.049907406035879500,0.099810988510630200
COMorgan County,0.000000000000000000,0.000000000000000000,0.049800174515503000,0.099524521729236200
COOtero County,0.000000000000000000,0.000000000000000000,0.049692508085679200,0.099382496901694100
COOuray County,0.000000000000000000,0.000000000000000000,0.049829721181990700,0.099656046702714100
COPark County,0.000000000000000000,0.000000000000000000,0.049858163787032100,0.099453650201355400
COPhillips County,0.000000000000000000,0.000000000000000000,0.049863430837258300,0.099726383115902100
COPitkin County,0.000000000000000000,0.000000000000000000,0.049579217680133300,0.099035070963763300
COProwers County,0.000000000000000000,0.000000000000000000,0.049965607469328000,0.099929839852899800
COPueblo County,0.000000000000000000,0.000000000000000000,0.049789464351065500,0.099473107787203100
CORio Blanco County,0.000000000000000000,0.000000000000000000,0.049791733079802800,0.099567529642454700
CORio Grande County,0.000000000000000000,0.000000000000000000,0.049974988590049600,0.099949828577692300
CORoutt County,0.000000000000000000,0.000000000000000000,0.049609118139435600,0.099188050983987800
COSaguache County,0.000000000000000000,0.000000000000000000,0.049978240373022700,0.099953990766686700
COSan Juan County,0.000000000000000000,0.000000000000000000,0.049934283959870700,0.099868386794391500
COSan Miguel County,0.000000000000000000,0.000000000000000000,0.049807720076796100,0.099615083789542000
COSedgwick County,0.000000000000000000,0.000000000000000000,0.049887313134865600,0.099774123473688400
COSummit County,0.000000000000000000,0.000000000000000000,0.049761616770308500,0.099454317124951800
COTeller County,0.000000000000000000,0.000000000000000000,0.049787904860394200,0.099397338180748000
COWashington County,0.000000000000000000,0.000000000000000000,0.050001086615575300,0.099972611716888000
COWeld County,0.000000000000000000,0.000000000000000000,0.050042634866977100,0.099579966631251100
COYuma County,0.000000000000000000,0.000000000000000000,0.049973158276745100,0.099930947571202000
CTFairfield County,0.000000000000000000,0.000000000000000000,0.049825437936218600,0.096881668346824500
CTHartford County,0.000000000000000000,0.000000000000000000,0.046786420243480700,0.091502645627353100
CTLitchfield County,0.000000000000000000,0.000000000000000000,0.050252393996086400,0.098639633813267600
CTMiddlesex County,0.000000000000000000,0.000000000000000000,0.049758946833087500,0.097610908368086300
