state_code,county,state_county,us_ws_cat_limit_zone,us_eq_cat_limit_zone
AK,Aleutians East Borough,AKAleutians East Borough,3,2
AK,Aleutians West Census Area,AKAleutians West Census Area,3,2
AK,Anchorage Municipality,AKAnchorage Municipality,3,2
AK,Bethel Census Area,AKBethel Census Area,3,2
AK,Bristol Bay Borough,AKBristol Bay Borough,3,2
AK,Denali Borough,AKDenali Borough,3,3
AK,Dillingham Census Area,AKDillingham Census Area,3,2
AK,Fairbanks North Star Borough,AKFairbanks North Star Borough,3,3
AK,Haines Borough,AKHaines Borough,3,2
AK,Hoonah-Angoon Census Area,AKHoonah-Angoon Census Area,3,2
AK,Juneau Borough,AKJuneau Borough,3,2
AK,Kenai Peninsula Borough,AKKenai Peninsula Borough,3,2
AK,Ketchikan Gateway Borough,AKKetchikan Gateway Borough,3,2
AK,Kodiak Island Borough,AKKodiak Island Borough,3,2
AK,Kusilvak,AKKusilvak,3,2
AK,Matanuska-Susitna Borough,AKMatanuska-Susitna Borough,3,2
AK,Nome Census Area,AKNome Census Area,3,3
AK,North Slope Borough,AKNorth Slope Borough,3,3
AK,Northwest Arctic Borough,AKNorthwest Arctic Borough,3,3
AK,Peninsula And Lake Borough,AKPeninsula And Lake Borough,3,2
AK,Petersburg Census Area,AKPetersburg Census Area,3,2
AK,Prince Of Wales-Hyder Census Area,AKPrince Of Wales-Hyder Census Area,3,2
AK,Sitka Borough,AKSitka Borough,3,2
AK,Skagway Municipality,AKSkagway Municipality,3,2
AK,Southeast Fairbanks Census Area,AKSoutheast Fairbanks Census Area,3,3
AK,Valdez-Cordova Census Area,AKValdez-Cordova Census Area,3,2
AK,Wrangell City And Borough,AKWrangell City And Borough,3,2
AK,Yakutat Borough,AKYakutat Borough,3,2
AK,Yukon-Koyukuk Census Area,AKYukon-Koyukuk Census Area,3,3
AL,Autauga County,ALAutauga County,3,3
AL,Baldwin County,ALBaldwin County,1,3
AL,Barbour County,ALBarbour County,3,3
AL,Bibb County,ALBibb County,3,3
AL,Blount County,ALBlount County,3,3
AL,Bullock County,ALBullock County,3,3
AL,Butler County,ALButler County,3,3
AL,Calhoun County,ALCalhoun County,3,3
AL,Chambers County,ALChambers County,3,3
AL,Cherokee County,ALCherokee County,3,3
AL,Chilton County,ALChilton County,3,3
AL,Choctaw County,ALChoctaw County,3,3
AL,Clarke County,ALClarke County,2,3
AL,Clay County,ALClay County,3,3
AL,Cleburne County,ALCleburne County,3,3
AL,Coffee County,ALCoffee County,3,3
AL,Colbert County,ALColbert County,3,3
AL,Conecuh County,ALConecuh County,3,3
AL,Coosa County,ALCoosa County,3,3
AL,Covington County,ALCovington County,2,3
AL,Crenshaw County,ALCrenshaw County,3,3
AL,Cullman County,ALCullman County,3,3
AL,Dale County,ALDale County,3,3
AL,Dallas County,ALDallas County,3,3
AL,Dekalb County,ALDekalb County,3,3
AL,Elmore County,ALElmore County,3,3
AL,Escambia County,ALEscambia County,2,3
AL,Etowah County,ALEtowah County,3,3
AL,Fayette County,ALFayette County,3,3
AL,Franklin County,ALFranklin County,3,3
AL,Geneva County,ALGeneva County,2,3
AL,Greene County,ALGreene County,3,3
AL,Hale County,ALHale County,3,3
AL,Henry County,ALHenry County,3,3
AL,Houston County,ALHouston County,2,3
AL,Jackson County,ALJackson County,3,3
AL,Jefferson County,ALJefferson County,3,3
AL,Lamar County,ALLamar County,3,3
AL,Lauderdale County,ALLauderdale County,3,3
AL,Lawrence County,ALLawrence County,3,3
AL,Lee County,ALLee County,3,3
AL,Limestone County,ALLimestone County,3,3
AL,Lowndes County,ALLowndes County,3,3
AL,Macon County,ALMacon County,3,3
AL,Madison County,ALMadison County,3,3
AL,Marengo County,ALMarengo County,3,3
AL,Marion County,ALMarion County,3,3
AL,Marshall County,ALMarshall County,3,3
AL,Mobile County,ALMobile County,1,3
AL,Monroe County,ALMonroe County,3,3
AL,Montgomery County,ALMontgomery County,3,3
AL,Morgan County,ALMorgan County,3,3
AL,Perry County,ALPerry County,3,3
AL,Pickens County,ALPickens County,3,3
AL,Pike County,ALPike County,3,3
AL,Randolph County,ALRandolph County,3,3
AL,Russell County,ALRussell County,3,3
AL,Shelby County,ALShelby County,3,3
AL,St. Clair County,ALSt. Clair County,3,3
AL,Sumter County,ALSumter County,3,3
AL,Talladega County,ALTalladega County,3,3
AL,Tallapoosa County,ALTallapoosa County,3,3
AL,Tuscaloosa County,ALTuscaloosa County,3,3
AL,Walker County,ALWalker County,3,3
AL,Washington County,ALWashington County,2,3
AL,Wilcox County,ALWilcox County,3,3
AL,Winston County,ALWinston County,3,3
AR,Arkansas County,ARArkansas County,3,2
AR,Ashley County,ARAshley County,3,3
AR,Baxter County,ARBaxter County,3,3
AR,Benton County,ARBenton County,3,3
AR,Boone County,ARBoone County,3,3
AR,Bradley County,ARBradley County,3,3
AR,Calhoun County,ARCalhoun County,3,3
AR,Carroll County,ARCarroll County,3,3
AR,Chicot County,ARChicot County,3,3
AR,Clark County,ARClark County,3,3
AR,Clay County,ARClay County,3,1
AR,Cleburne County,ARCleburne County,3,3
AR,Cleveland County,ARCleveland County,3,3
AR,Columbia County,ARColumbia County,3,3
AR,Conway County,ARConway County,3,3
AR,Craighead County,ARCraighead County,3,1
AR,Crawford County,ARCrawford County,3,3
AR,Crittenden County,ARCrittenden County,3,1
AR,Cross County,ARCross County,3,1
AR,Dallas County,ARDallas County,3,3
AR,Desha County,ARDesha County,3,3
AR,Drew County,ARDrew County,3,3
AR,Faulkner County,ARFaulkner County,3,3
AR,Franklin County,ARFranklin County,3,3
AR,Fulton County,ARFulton County,3,2
AR,Garland County,ARGarland County,3,3
AR,Grant County,ARGrant County,3,3
AR,Greene County,ARGreene County,3,1
AR,Hempstead County,ARHempstead County,3,3
AR,Hot Spring County,ARHot Spring County,3,3
AR,Howard County,ARHoward County,3,3
AR,Independence County,ARIndependence County,3,2
AR,Izard County,ARIzard County,3,2
AR,Jackson County,ARJackson County,3,1
AR,Jefferson County,ARJefferson County,3,3
AR,Johnson County,ARJohnson County,3,3
AR,Lafayette County,ARLafayette County,3,3
AR,Lawrence County,ARLawrence County,3,2
AR,Lee County,ARLee County,3,1
AR,Lincoln County,ARLincoln County,3,3
AR,Little River County,ARLittle River County,3,3
AR,Logan County,ARLogan County,3,3
AR,Lonoke County,ARLonoke County,3,2
AR,Madison County,ARMadison County,3,3
AR,Marion County,ARMarion County,3,3
AR,Miller County,ARMiller County,3,3
AR,Mississippi County,ARMississippi County,3,1
AR,Monroe County,ARMonroe County,3,2
AR,Montgomery County,ARMontgomery County,3,3
AR,Nevada County,ARNevada County,3,3
AR,Newton County,ARNewton County,3,3
AR,Ouachita County,AROuachita County,3,3
AR,Perry County,ARPerry County,3,3
AR,Phillips County,ARPhillips County,3,2
AR,Pike County,ARPike County,3,3
AR,Poinsett County,ARPoinsett County,3,1
AR,Polk County,ARPolk County,3,3
AR,Pope County,ARPope County,3,3
AR,Prairie County,ARPrairie County,3,2
AR,Pulaski County,ARPulaski County,3,3
AR,Randolph County,ARRandolph County,3,2
AR,Saline County,ARSaline County,3,3
AR,Scott County,ARScott County,3,3
AR,Searcy County,ARSearcy County,3,3
AR,Sebastian County,ARSebastian County,3,3
AR,Sevier County,ARSevier County,3,3
AR,Sharp County,ARSharp County,3,2
