quarters,Open Market_development,NACP_development,Renewables_development,European Commercial Property_development
1,0.066761123,0.104322815,0.002906891,0.066761123
2,0.133522245,0.208645631,0.009020522,0.133522245
3,0.459512186,0.490522372,0.020806495,0.459512186
4,0.683670273,0.721150315,0.044371711,0.683670273
5,0.81559651,0.864224239,0.073357336,0.81559651
6,0.920576298,0.954174422,0.131025816,0.920576298
7,0.980174817,0.996133865,0.15516264,0.980174817
8,1.000768897,1.004301639,0.229326411,1.000768897
9,1,1,0.302023583,1
10,1,1,0.346289637,1
11,1,1,0.448552236,1
12,1,1,0.528296633,1
13,1,1,0.563947214,1
14,1,1,0.615248403,1
15,1,1,0.634210523,1
16,1,1,0.672228627,1
17,1,1,0.705430658,1
18,1,1,0.741665364,1
19,1,1,0.77917099,1
20,1,1,0.805385961,1
21,1,1,0.832194879,1
22,1,1,0.872967328,1
23,1,1,0.968721398,1
24,1,1,1,1
25,1,1,1,1
26,1,1,1,1
27,1,1,1,1
28,1,1,1,1
29,1,1,1,1
30,1,1,1,1
31,1,1,1,1
32,1,1,1,1
33,1,1,1,1
34,1,1,1,1
35,1,1,1,1
36,1,1,1,1
37,1,1,1,1
38,1,1,1,1
39,1,1,1,1
40,1,1,1,1
41,1,1,1,1
42,1,1,1,1
43,1,1,1,1
44,1,1,1,1
45,1,1,1,1
46,1,1,1,1
47,1,1,1,1
48,1,1,1,1
49,1,1,1,1
50,1,1,1,1
51,1,1,1,1
52,1,1,1,1
53,1,1,1,1
54,1,1,1,1
55,1,1,1,1
56,1,1,1,1
57,1,1,1,1
58,1,1,1,1
59,1,1,1,1
60,1,1,1,1
61,1,1,1,1
62,1,1,1,1
63,1,1,1,1
64,1,1,1,1
65,1,1,1,1
66,1,1,1,1
67,1,1,1,1
68,1,1,1,1
69,1,1,1,1
70,1,1,1,1
71,1,1,1,1
72,1,1,1,1
73,1,1,1,1
74,1,1,1,1
75,1,1,1,1
76,1,1,1,1
77,1,1,1,1
78,1,1,1,1
79,1,1,1,1
80,1,1,1,1
