Tier,Rank
"CO, KS, MO, NE, OK, SD, TX",3
"AR, IA, IL, IN, MN, MT, ND, SD, WY",4
"AR, CO, IA, IL, IN, KS, MN, MO, MT, ND, NE, OK, SD, TX, WY",2
