ISO,Construction,Hail
1,Frame,0
2,Joisted Masonry,-0.363
3,Non-Combustible,0.5
4,Masonry Non-Combustible,-0.363
5,Modified Fire Resistive,-0.65
6,Fire Resistive,-0.65
