StateCounty,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,47,48,49,50,51,52,53,54
AKAleutians East Borough,0.0000000000000000000,0.6194286179547730000,-0.0379802078395333000,0.1382248133712070000,-0.0379802078395333000,0.1305957358879450000,0.1305957358879450000,0.1305957358879450000,0.1305957358879450000,0.1305957358879450000,0.1305957358879450000,0.1305957358879450000,0.2579286727176940000,0.2579286727176940000,0.2579286727176940000,0.2579286727176940000,0.2579286727176940000,0.2579286727176940000,0.2576688765125100000,0.2649933780664180000,0.2576688765125100000,0.2579286727176940000,0.1305957358879450000,0.1305957358879450000,0.1305957358879450000,0.1305957358879450000,0.2567336100873100000,0.2567336100873100000,0.2567336100873100000,0.2567336100873100000,0.2579286727176940000,0.2567336100873100000,0.2567336100873100000,0.2649933780664180000,0.2579286727176940000,0.2579286727176940000,0.2567336100873100000,0.1305957358879450000,0.2579286727176940000,0.1577840307164450000,0.1577840307164450000,0.1577840307164450000,-0.0379802078395333000,-0.0379802078395333000,0.1382248133712070000,0.1305957358879450000,0.1305957358879450000,-0.0084361290301944200,-0.0084361290301944200,0.1382248133712070000,0.1382248133712070000,0.1305957358879450000,0.1305957358879450000
AKAleutians West Census Area,0.0000000000000000000,0.6383112014776800000,-0.1208417808591060000,0.0465381947482026000,-0.1208417808591060000,0.0375492942946531000,0.0375492942946531000,0.0375492942946531000,0.0375492942946531000,0.0375492942946531000,0.0375492942946531000,0.0375492942946531000,0.1573973690268360000,0.1573973690268360000,0.1573973690268360000,0.1573973690268360000,0.1573973690268360000,0.1573973690268360000,0.1570885974066270000,0.1657939364186390000,0.1570885974066270000,0.1573973690268360000,0.0375492942946531000,0.0375492942946531000,0.0375492942946531000,0.0375492942946531000,0.1559770196063540000,0.1559770196063540000,0.1559770196063540000,0.1559770196063540000,0.1573973690268360000,0.1559770196063540000,0.1559770196063540000,0.1657939364186390000,0.1573973690268360000,0.1573973690268360000,0.1559770196063540000,0.0375492942946531000,0.1573973690268360000,0.0632980274162578000,0.0632980274162578000,0.0632980274162578000,-0.1208417808591060000,-0.1208417808591060000,0.0465381947482026000,0.0375492942946531000,0.0375492942946531000,-0.1062299097331550000,-0.1062299097331550000,0.0465381947482026000,0.0465381947482026000,0.0375492942946531000,0.0375492942946531000
AKAnchorage Municipality,0.0000000000000000000,0.5293891038654600000,-0.0609988417444157000,0.0546378534236136000,-0.0609988417444157000,0.0291641706843575000,0.0291641706843575000,0.0291641706843575000,0.0291641706843575000,0.0291641706843575000,0.0291641706843575000,0.0291641706843575000,0.1432387796432770000,0.1432387796432770000,0.1432387796432770000,0.1432387796432770000,0.1432387796432770000,0.1432387796432770000,0.1423660671573340000,0.1658514403086180000,0.1423660671573340000,0.1432387796432770000,0.0291641706843575000,0.0291641706843575000,0.0291641706843575000,0.0291641706843575000,0.1391744262034880000,0.1391744262034880000,0.1391744262034880000,0.1391744262034880000,0.1432387796432770000,0.1391744262034880000,0.1391744262034880000,0.1658514403086180000,0.1432387796432770000,0.1432387796432770000,0.1391744262034880000,0.0291641706843575000,0.1432387796432770000,0.0463457011621653000,0.0463457011621653000,0.0463457011621653000,-0.0609988417444157000,-0.0609988417444157000,0.0546378534236136000,0.0291641706843575000,0.0291641706843575000,-0.0936299582247716000,-0.0936299582247716000,0.0546378534236136000,0.0546378534236136000,0.0291641706843575000,0.0291641706843575000
AKBethel Census Area,0.0000000000000000000,0.6524512078388110000,-0.0809876762397729000,0.1047701024905070000,-0.0809876762397729000,0.1011418551206720000,0.1011418551206720000,0.1011418551206720000,0.1011418551206720000,0.1011418551206720000,0.1011418551206720000,0.1011418551206720000,0.2381847540542540000,0.2381847540542540000,0.2381847540542540000,0.2381847540542540000,0.2381847540542540000,0.2381847540542540000,0.2380639425868110000,0.2414653461819220000,0.2380639425868110000,0.2381847540542540000,0.1011418551206720000,0.1011418551206720000,0.1011418551206720000,0.1011418551206720000,0.2376289994802920000,0.2376289994802920000,0.2376289994802920000,0.2376289994802920000,0.2381847540542540000,0.2376289994802920000,0.2376289994802920000,0.2414653461819220000,0.2381847540542540000,0.2381847540542540000,0.2376289994802920000,0.1011418551206720000,0.2381847540542540000,0.1300033173977970000,0.1300033173977970000,0.1300033173977970000,-0.0809876762397729000,-0.0809876762397729000,0.1047701024905070000,0.1011418551206720000,0.1011418551206720000,-0.0367277917017823000,-0.0367277917017823000,0.1047701024905070000,0.1047701024905070000,0.1011418551206720000,0.1011418551206720000
AKBristol Bay Borough,0.0000000000000000000,0.7683975892371550000,0.2224658187996170000,0.4226481609875480000,0.2224658187996170000,0.4220145847391280000,0.4220145847391280000,0.4220145847391280000,0.4220145847391280000,0.4220145847391280000,0.4220145847391280000,0.4220145847391280000,0.5717667910032220000,0.5717667910032220000,0.5717667910032220000,0.5717667910032220000,0.5717667910032220000,0.5717667910032220000,0.5717457019017480000,0.5723402838508790000,0.5717457019017480000,0.5717667910032220000,0.4220145847391280000,0.4220145847391280000,0.4220145847391280000,0.4220145847391280000,0.5716697811245930000,0.5716697811245930000,0.5716697811245930000,0.5716697811245930000,0.5717667910032220000,0.5716697811245930000,0.5716697811245930000,0.5723402838508790000,0.5717667910032220000,0.5717667910032220000,0.5716697811245930000,0.4220145847391280000,0.5717667910032220000,0.4532621527859850000,0.4532621527859850000,0.4532621527859850000,0.2224658187996170000,0.2224658187996170000,0.4226481609875480000,0.4220145847391280000,0.4220145847391280000,0.1797712777952180000,0.1797712777952180000,0.4226481609875480000,0.4226481609875480000,0.4220145847391280000,0.4220145847391280000
AKDenali Borough,0.0000000000000000000,0.6260682351057020000,-0.1100424719121960000,0.0508654279930165000,-0.1100424719121960000,0.0456389686837559000,0.0456389686837559000,0.0456389686837559000,0.0456389686837559000,0.0456389686837559000,0.0456389686837559000,0.0456389686837559000,0.1630157256871750000,0.1630157256871750000,0.1630157256871750000,0.1630157256871750000,0.1630157256871750000,0.1630157256871750000,0.1628381437764720000,0.1678386129509180000,0.1628381437764720000,0.1630157256871750000,0.0456389686837559000,0.0456389686837559000,0.0456389686837559000,0.0456389686837559000,0.1621988194481010000,0.1621988194481010000,0.1621988194481010000,0.1621988194481010000,0.1630157256871750000,0.1621988194481010000,0.1621988194481010000,0.1678386129509180000,0.1630157256871750000,0.1630157256871750000,0.1621988194481010000,0.0456389686837559000,0.1630157256871750000,0.0705465446595663000,0.0705465446595663000,0.0705465446595663000,-0.1100424719121960000,-0.1100424719121960000,0.0508654279930165000,0.0456389686837559000,0.0456389686837559000,-0.1018925226507520000,-0.1018925226507520000,0.0508654279930165000,0.0508654279930165000,0.0456389686837559000,0.0456389686837559000
AKDillingham Census Area,0.0000000000000000000,0.4182482436815460000,0.2215373667272380000,0.4671953032580290000,0.2215373667272380000,0.4669239605218880000,0.4669239605218880000,0.4669239605218880000,0.4669239605218880000,0.4669239605218880000,0.4669239605218880000,0.4669239605218880000,0.6510184480851820000,0.6510184480851820000,0.6510184480851820000,0.6510184480851820000,0.6510184480851820000,0.6510184480851820000,0.6510091661021230000,0.6512708547843350000,0.6510091661021230000,0.6510184480851820000,0.4669239605218880000,0.4669239605218880000,0.4669239605218880000,0.4669239605218880000,0.6509757509623520000,0.6509757509623520000,0.6509757509623520000,0.6509757509623520000,0.6510184480851820000,0.6509757509623520000,0.6509757509623520000,0.6512708547843350000,0.6510184480851820000,0.6510184480851820000,0.6509757509623520000,0.4669239605218880000,0.6510184480851820000,0.5052928605941330000,0.5052928605941330000,0.5052928605941330000,0.2215373667272380000,0.2215373667272380000,0.4671953032580290000,0.4669239605218880000,0.4669239605218880000,0.1978995518341590000,0.1978995518341590000,0.4671953032580290000,0.4671953032580290000,0.4669239605218880000,0.4669239605218880000
AKFairbanks North Star Borough,0.0000000000000000000,0.6103117070115710000,-0.0986750194251399000,0.0467517303772984000,-0.0986750194251399000,0.0352675941966536000,0.0352675941966536000,0.0352675941966536000,0.0352675941966536000,0.0352675941966536000,0.0352675941966536000,0.0352675941966536000,0.1697311966675610000,0.1697311966675610000,0.1697311966675610000,0.1697311966675610000,0.1697311966675610000,0.1697311966675610000,0.1693704133819800000,0.1790912932537130000,0.1693704133819800000,0.1697311966675610000,0.0352675941966536000,0.0352675941966536000,0.0352675941966536000,0.0352675941966536000,0.1680579825455640000,0.1680579825455640000,0.1680579825455640000,0.1680579825455640000,0.1697311966675610000,0.1680579825455640000,0.1680579825455640000,0.1790912932537130000,0.1697311966675610000,0.1697311966675610000,0.1680579825455640000,0.0352675941966536000,0.1697311966675610000,0.0578695297606644000,0.0578695297606644000,0.0578695297606644000,-0.0986750194251399000,-0.0986750194251399000,0.0467517303772984000,0.0352675941966536000,0.0352675941966536000,-0.0937247341607188000,-0.0937247341607188000,0.0467517303772984000,0.0467517303772984000,0.0352675941966536000,0.0352675941966536000
AKHaines Borough,0.0000000000000000000,0.7053125597289290000,-0.1410263728836980000,-0.0227527282216149000,-0.1410263728836980000,-0.0287478593461198000,-0.0287478593461198000,-0.0287478593461198000,-0.0287478593461198000,-0.0287478593461198000,-0.0287478593461198000,-0.0287478593461198000,0.0561626125634063000,0.0561626125634063000,0.0561626125634063000,0.0561626125634063000,0.0561626125634063000,0.0561626125634063000,0.0559544765703353000,0.0618226374396080000,0.0559544765703353000,0.0561626125634063000,-0.0287478593461198000,-0.0287478593461198000,-0.0287478593461198000,-0.0287478593461198000,0.0552051871374648000,0.0552051871374648000,0.0552051871374648000,0.0552051871374648000,0.0561626125634063000,0.0552051871374648000,0.0552051871374648000,0.0618226374396080000,0.0561626125634063000,0.0561626125634063000,0.0552051871374648000,-0.0287478593461198000,0.0561626125634063000,-0.0105372927605891000,-0.0105372927605891000,-0.0105372927605891000,-0.1410263728836980000,-0.1410263728836980000,-0.0227527282216149000,-0.0287478593461198000,-0.0287478593461198000,-0.1821925465356360000,-0.1821925465356360000,-0.0227527282216149000,-0.0227527282216149000,-0.0287478593461198000,-0.0287478593461198000
