Zip,State,County,Wildfire,Flood,Tornado,Hail
00125,ME,AROOSTOOK COUNTY,1,1,< 0.1,0.1 - 0.2
00126,ME,FRANKLIN COUNTY,1,9,< 0.1,0.1 - 0.2
00127,ME,HANCOCK COUNTY,1,2,< 0.1,0.1 - 0.2
00128,ME,OXFORD COUNTY,1,1,< 0.1,0.1 - 0.2
00130,ME,PENOBSCOT COUNTY,1,8,< 0.1,0.1 - 0.2
00132,ME,SOMERSET COUNTY,1,1,No Observation,0.1 - 0.2
00133,ME,SOMERSET COUNTY,1,1,< 0.1,0.1 - 0.2
00134,ME,WASHINGTON COUNTY,1,1,< 0.1,0.1 - 0.2
00135,ME,PISCATAQUIS COUNTY,1,1,< 0.1,0.1 - 0.2
00136,ME,PENOBSCOT COUNTY,1,7,< 0.1,0.1 - 0.2
00137,ME,AROOSTOOK COUNTY,1,1,< 0.1,0.1 - 0.2
00138,ME,AROOSTOOK COUNTY,1,1,< 0.1,0.1 - 0.2
00139,ME,FRANKLIN COUNTY,1,1,< 0.1,0.1 - 0.2
00140,ME,FRANKLIN COUNTY,1,1,< 0.1,0.1 - 0.2
00141,ME,PENOBSCOT COUNTY,1,1,< 0.1,0.1 - 0.2
00145,ME,SOMERSET COUNTY,1,2,< 0.1,0.1 - 0.2
00147,ME,FRANKLIN COUNTY,1,1,< 0.1,0.1 - 0.2
00148,ME,AROOSTOOK COUNTY,1,2,< 0.1,0.1 - 0.2
00151,ME,WASHINGTON COUNTY,1,1,< 0.1,0.1 - 0.2
00152,MD,WORCESTER COUNTY,1,5,< 0.1,< 0.1
00155,MD,DORCHESTER COUNTY,1,6,< 0.1,0.1 - 0.2
00156,MD,DORCHESTER COUNTY,1,4,< 0.1,0.1 - 0.2
00157,MA,SUFFOLK COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
00158,MA,BARNSTABLE COUNTY,1,5,No Observation,< 0.1
00159,MA,DUKES COUNTY,1,3,< 0.1,< 0.1
00160,MN,COOK COUNTY,3.4,6,< 0.1,< 0.1
00161,MN,LAKE COUNTY,3.4,1,< 0.1,< 0.1
00164,MN,BELTRAMI COUNTY,1,5,< 0.1,0.1 - 0.2
00165,MN,LAKE OF THE WOODS COUNTY,1,4,< 0.1,0.1 - 0.2
00166,MN,BELTRAMI COUNTY,1,3,< 0.1,0.1 - 0.2
00168,NH,COOS COUNTY,1,1,< 0.1,0.1 - 0.2
00169,NH,COOS COUNTY,1,1,< 0.1,0.1 - 0.2
00170,NH,COOS COUNTY,1,1,< 0.1,0.1 - 0.2
00172,NH,COOS COUNTY,1,1,< 0.1,0.1 - 0.2
00173,NH,COOS COUNTY,1,1,< 0.1,0.1 - 0.2
00174,NH,COOS COUNTY,1,1,< 0.1,0.1 - 0.2
00176,NH,COOS COUNTY,1,1,< 0.1,0.1 - 0.2
00177,NH,COOS COUNTY,1,1,< 0.1,0.1 - 0.2
00179,NH,COOS COUNTY,1,1,< 0.1,0.1 - 0.2
00180,NH,COOS COUNTY,1,4,< 0.1,0.1 - 0.2
00181,NH,COOS COUNTY,1,1,< 0.1,0.1 - 0.2
00182,NH,COOS COUNTY,1,1,< 0.1,0.1 - 0.2
00183,NH,COOS COUNTY,1,1,< 0.1,0.1 - 0.2
00184,NH,COOS COUNTY,1,9,< 0.1,0.1 - 0.2
00185,NH,COOS COUNTY,1,1,< 0.1,0.1 - 0.2
00186,NH,COOS COUNTY,1,1,< 0.1,0.1 - 0.2
00187,NH,COOS COUNTY,1,1,< 0.1,0.1 - 0.2
00188,TX,KLEBERG COUNTY,1,3,< 0.1,< 0.1
00189,TX,KLEBERG COUNTY,1,2,< 0.1,< 0.1
00190,VT,ESSEX COUNTY,1,1,< 0.1,0.1 - 0.2
00191,VT,ESSEX COUNTY,1,2,< 0.1,0.1 - 0.2
00192,VT,ESSEX COUNTY,1,2,< 0.1,0.1 - 0.2
00195,WA,PACIFIC COUNTY,3.2,5,No Observation,< 0.1
00197,AZ,MARICOPA COUNTY,4.6,1,< 0.1,< 0.1
00198,AK,ANCHORAGE MUNICIPALITY,2.5,5,No Observation,< 0.1
00199,AZ,MARICOPA COUNTY,6,1,< 0.1,< 0.1
00200,AZ,PIMA COUNTY,3.8,2,No Observation,< 0.1
00201,AZ,PIMA COUNTY,5.8,5,No Observation,< 0.1
00203,CA,KERN COUNTY,6.2,2,< 0.1,< 0.1
00205,CA,FRESNO COUNTY,5.5,2,< 0.1,< 0.1
00206,CA,VENTURA COUNTY,6.5,2,< 0.1,< 0.1
00210,NH,ROCKINGHAM COUNTY,1,5,< 0.1,0.1 - 0.2
00211,NH,ROCKINGHAM COUNTY,1,5,< 0.1,0.1 - 0.2
00212,NH,ROCKINGHAM COUNTY,1,5,< 0.1,0.1 - 0.2
00213,NH,ROCKINGHAM COUNTY,1,5,< 0.1,0.1 - 0.2
00214,NH,ROCKINGHAM COUNTY,1,5,< 0.1,0.1 - 0.2
00215,NH,ROCKINGHAM COUNTY,1,5,< 0.1,0.1 - 0.2
00216,CA,SANTA BARBARA COUNTY,5.2,3,No Observation,< 0.1
00217,CA,TULARE COUNTY,5.7,3,< 0.1,< 0.1
00218,CA,YUBA COUNTY,5.7,2,< 0.1,< 0.1
00219,CO,EL PASO COUNTY,1.9,1,< 0.1,0.1 - 0.2
00220,CA,YUBA COUNTY,5.7,1,< 0.1,< 0.1
00222,FL,VOLUSIA COUNTY,0,6,,
00223,FL,BROWARD COUNTY,1,8,0.1 - 0.2,0.1 - 0.2
00225,FL,BREVARD COUNTY,3,6,0.1 - 0.2,0.1 - 0.2
00226,FL,MIAMI-DADE COUNTY,1,6,< 0.1,0.1 - 0.2
00228,FL,MIAMI-DADE COUNTY,1,7,0.1 - 0.2,0.1 - 0.2
00229,FL,MARION COUNTY,5.8,7,0.2 - 0.35,0.1 - 0.2
00232,FL,SARASOTA COUNTY,5.8,6,0.1 - 0.2,0.1 - 0.2
00234,FL,PALM BEACH COUNTY,1,5,0.1 - 0.2,0.1 - 0.2
00236,ID,ADA COUNTY,1,1,No Observation,< 0.1
