Zip,State,County,Wildfire,Flood,Tornado,Hail
06103,CT,HARTFORD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06104,CT,HARTFORD COUNTY,1,10,0.1 - 0.2,0.1 - 0.2
06105,CT,HARTFORD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06106,CT,HARTFORD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06107,CT,HARTFORD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06108,CT,HARTFORD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06109,CT,HARTFORD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06110,CT,HARTFORD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06111,CT,HARTFORD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06112,CT,HARTFORD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06114,CT,HARTFORD COUNTY,1,4,0.1 - 0.2,0.1 - 0.2
06115,CT,HARTFORD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06117,CT,HARTFORD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06118,CT,HARTFORD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06119,CT,HARTFORD COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06120,CT,HARTFORD COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06123,CT,HARTFORD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06126,CT,HARTFORD COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06127,CT,HARTFORD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06128,CT,HARTFORD COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06129,CT,HARTFORD COUNTY,1,7,0.1 - 0.2,0.1 - 0.2
06131,CT,HARTFORD COUNTY,1,6,0.1 - 0.2,0.1 - 0.2
06132,CT,HARTFORD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06133,CT,HARTFORD COUNTY,1,7,0.1 - 0.2,0.1 - 0.2
06134,CT,HARTFORD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06137,CT,HARTFORD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06138,CT,HARTFORD COUNTY,1,3,0.1 - 0.2,0.1 - 0.2
06140,CT,HARTFORD COUNTY,1,10,0.1 - 0.2,0.1 - 0.2
06141,CT,HARTFORD COUNTY,1,10,0.1 - 0.2,0.1 - 0.2
06142,CT,HARTFORD COUNTY,1,10,0.1 - 0.2,0.1 - 0.2
06143,CT,HARTFORD COUNTY,1,10,0.1 - 0.2,0.1 - 0.2
06144,CT,HARTFORD COUNTY,1,10,0.1 - 0.2,0.1 - 0.2
06145,CT,HARTFORD COUNTY,1,10,0.1 - 0.2,0.1 - 0.2
06146,CT,HARTFORD COUNTY,1,10,0.1 - 0.2,0.1 - 0.2
06147,CT,HARTFORD COUNTY,1,10,0.1 - 0.2,0.1 - 0.2
06150,CT,HARTFORD COUNTY,1,10,0.1 - 0.2,0.1 - 0.2
06151,CT,HARTFORD COUNTY,1,10,0.1 - 0.2,0.1 - 0.2
06152,CT,HARTFORD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06153,CT,HARTFORD COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06154,CT,HARTFORD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06155,CT,HARTFORD COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06156,CT,HARTFORD COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06160,CT,HARTFORD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06161,CT,HARTFORD COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06167,CT,HARTFORD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06176,CT,HARTFORD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06180,CT,HARTFORD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06183,CT,HARTFORD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06199,CT,HARTFORD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06226,CT,WINDHAM COUNTY,1,2,< 0.1,0.1 - 0.2
06230,CT,WINDHAM COUNTY,1,3,0.1 - 0.2,0.1 - 0.2
06231,CT,TOLLAND COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06232,CT,TOLLAND COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06233,CT,WINDHAM COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06234,CT,WINDHAM COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06235,CT,WINDHAM COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06237,CT,TOLLAND COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06238,CT,TOLLAND COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06239,CT,WINDHAM COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06241,CT,WINDHAM COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06242,CT,WINDHAM COUNTY,1,3,0.1 - 0.2,0.1 - 0.2
06243,CT,WINDHAM COUNTY,1,5,0.1 - 0.2,0.1 - 0.2
06244,CT,WINDHAM COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06245,CT,WINDHAM COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06246,CT,WINDHAM COUNTY,1,7,0.1 - 0.2,0.1 - 0.2
06247,CT,WINDHAM COUNTY,1,5,0.1 - 0.2,0.1 - 0.2
06248,CT,TOLLAND COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06249,CT,NEW LONDON COUNTY,1,1,< 0.1,0.1 - 0.2
06250,CT,TOLLAND COUNTY,1,5,0.1 - 0.2,0.1 - 0.2
06251,CT,TOLLAND COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06254,CT,NEW LONDON COUNTY,1,2,< 0.1,0.1 - 0.2
06255,CT,WINDHAM COUNTY,1,4,0.1 - 0.2,0.1 - 0.2
06256,CT,WINDHAM COUNTY,1,2,< 0.1,0.1 - 0.2
06258,CT,WINDHAM COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06259,CT,WINDHAM COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06260,CT,WINDHAM COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06262,CT,WINDHAM COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06263,CT,WINDHAM COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06264,CT,WINDHAM COUNTY,1,1,< 0.1,0.1 - 0.2
06265,CT,TOLLAND COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06266,CT,WINDHAM COUNTY,1,1,< 0.1,0.1 - 0.2
06267,CT,WINDHAM COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06268,CT,TOLLAND COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06269,CT,TOLLAND COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06277,CT,WINDHAM COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06278,CT,WINDHAM COUNTY,1,3,0.1 - 0.2,0.1 - 0.2
06279,CT,TOLLAND COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06280,CT,WINDHAM COUNTY,1,4,< 0.1,0.1 - 0.2
06281,CT,WINDHAM COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06282,CT,WINDHAM COUNTY,1,4,0.1 - 0.2,0.1 - 0.2
06320,CT,NEW LONDON COUNTY,1,2,< 0.1,0.1 - 0.2
06330,CT,NEW LONDON COUNTY,1,1,< 0.1,0.1 - 0.2
06331,CT,WINDHAM COUNTY,1,2,< 0.1,0.1 - 0.2
06332,CT,WINDHAM COUNTY,1,3,< 0.1,0.1 - 0.2
06333,CT,NEW LONDON COUNTY,1,9,< 0.1,0.1 - 0.2
06334,CT,NEW LONDON COUNTY,1,5,< 0.1,0.1 - 0.2
06335,CT,NEW LONDON COUNTY,1,2,< 0.1,0.1 - 0.2
06336,CT,NEW LONDON COUNTY,1,1,< 0.1,0.1 - 0.2
06337,CT,NEW LONDON COUNTY,1,9,< 0.1,0.1 - 0.2
06338,CT,NEW LONDON COUNTY,1,1,< 0.1,0.1 - 0.2
06339,CT,NEW LONDON COUNTY,1,2,< 0.1,0.1 - 0.2
06340,CT,NEW LONDON COUNTY,1,4,< 0.1,0.1 - 0.2
06349,CT,NEW LONDON COUNTY,0,8,,
06350,CT,NEW LONDON COUNTY,1,1,< 0.1,0.1 - 0.2
06351,CT,NEW LONDON COUNTY,1,2,< 0.1,0.1 - 0.2
06353,CT,NEW LONDON COUNTY,1,8,< 0.1,0.1 - 0.2
06354,CT,WINDHAM COUNTY,1,2,< 0.1,0.1 - 0.2
06355,CT,NEW LONDON COUNTY,1,2,< 0.1,0.1 - 0.2
06357,CT,NEW LONDON COUNTY,1,2,< 0.1,0.1 - 0.2
06359,CT,NEW LONDON COUNTY,1,2,< 0.1,0.1 - 0.2
06360,CT,NEW LONDON COUNTY,1,1,< 0.1,0.1 - 0.2
06365,CT,NEW LONDON COUNTY,1,1,< 0.1,0.1 - 0.2
06370,CT,NEW LONDON COUNTY,1,1,< 0.1,0.1 - 0.2
06371,CT,NEW LONDON COUNTY,1,5,< 0.1,0.1 - 0.2
06372,CT,NEW LONDON COUNTY,1,1,< 0.1,0.1 - 0.2
06373,CT,WINDHAM COUNTY,1,2,< 0.1,0.1 - 0.2
06374,CT,WINDHAM COUNTY,1,1,< 0.1,0.1 - 0.2
06375,CT,NEW LONDON COUNTY,1,2,< 0.1,0.1 - 0.2
06376,CT,NEW LONDON COUNTY,1,1,< 0.1,0.1 - 0.2
06377,CT,WINDHAM COUNTY,1,1,< 0.1,0.1 - 0.2
06378,CT,NEW LONDON COUNTY,1,1,< 0.1,0.1 - 0.2
06379,CT,NEW LONDON COUNTY,1,2,< 0.1,0.1 - 0.2
06380,CT,NEW LONDON COUNTY,1,3,< 0.1,0.1 - 0.2
06382,CT,NEW LONDON COUNTY,1,2,< 0.1,0.1 - 0.2
06383,CT,NEW LONDON COUNTY,1,1,< 0.1,0.1 - 0.2
06384,CT,NEW LONDON COUNTY,1,3,< 0.1,0.1 - 0.2
06385,CT,NEW LONDON COUNTY,1,2,< 0.1,0.1 - 0.2
06386,CT,NEW LONDON COUNTY,1,7,< 0.1,0.1 - 0.2
06387,CT,WINDHAM COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06388,CT,NEW LONDON COUNTY,1,1,< 0.1,0.1 - 0.2
06389,CT,NEW LONDON COUNTY,1,8,< 0.1,0.1 - 0.2
06390,NY,SUFFOLK COUNTY,1,1,< 0.1,0.1 - 0.2
06401,CT,NEW HAVEN COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06403,CT,NEW HAVEN COUNTY,1,5,0.1 - 0.2,0.1 - 0.2
06404,CT,FAIRFIELD COUNTY,1,3,0.1 - 0.2,0.1 - 0.2
06405,CT,NEW HAVEN COUNTY,1,2,< 0.1,0.1 - 0.2
06408,CT,NEW HAVEN COUNTY,1,8,0.1 - 0.2,0.1 - 0.2
06409,CT,MIDDLESEX COUNTY,1,4,< 0.1,0.1 - 0.2
06410,CT,NEW HAVEN COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06411,CT,NEW HAVEN COUNTY,1,8,0.1 - 0.2,0.1 - 0.2
06412,CT,MIDDLESEX COUNTY,1,4,< 0.1,0.1 - 0.2
06413,CT,MIDDLESEX COUNTY,1,2,< 0.1,0.1 - 0.2
06414,CT,MIDDLESEX COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06415,CT,NEW LONDON COUNTY,1,1,< 0.1,0.1 - 0.2
06416,CT,MIDDLESEX COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06417,CT,MIDDLESEX COUNTY,1,1,< 0.1,0.1 - 0.2
06418,CT,NEW HAVEN COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06419,CT,MIDDLESEX COUNTY,1,8,< 0.1,0.1 - 0.2
06420,CT,NEW LONDON COUNTY,1,2,< 0.1,0.1 - 0.2
06422,CT,MIDDLESEX COUNTY,1,6,0.1 - 0.2,0.1 - 0.2
06423,CT,MIDDLESEX COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06424,CT,MIDDLESEX COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06426,CT,MIDDLESEX COUNTY,1,1,< 0.1,0.1 - 0.2
06430,CT,FAIRFIELD COUNTY,1,6,< 0.1,0.1 - 0.2
06431,CT,FAIRFIELD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06432,CT,FAIRFIELD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06436,CT,FAIRFIELD COUNTY,1,4,< 0.1,0.1 - 0.2
06437,CT,NEW HAVEN COUNTY,1,4,< 0.1,0.1 - 0.2
06438,CT,MIDDLESEX COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06439,CT,NEW LONDON COUNTY,1,7,< 0.1,0.1 - 0.2
06440,CT,FAIRFIELD COUNTY,1,9,0.1 - 0.2,0.1 - 0.2
06441,CT,MIDDLESEX COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06442,CT,MIDDLESEX COUNTY,1,7,< 0.1,0.1 - 0.2
06443,CT,NEW HAVEN COUNTY,1,1,< 0.1,0.1 - 0.2
06444,CT,HARTFORD COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06447,CT,HARTFORD COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06450,CT,NEW HAVEN COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06451,CT,NEW HAVEN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06454,CT,NEW HAVEN COUNTY,1,3,0.1 - 0.2,0.1 - 0.2
06455,CT,MIDDLESEX COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06456,CT,MIDDLESEX COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06457,CT,MIDDLESEX COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06459,CT,MIDDLESEX COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06460,CT,NEW HAVEN COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06461,CT,NEW HAVEN COUNTY,1,5,0.1 - 0.2,0.1 - 0.2
06466,CT,NEW HAVEN COUNTY,1,4,0.1 - 0.2,0.1 - 0.2
06467,CT,HARTFORD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06468,CT,FAIRFIELD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06469,CT,MIDDLESEX COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06470,CT,FAIRFIELD COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06471,CT,NEW HAVEN COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06472,CT,NEW HAVEN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06473,CT,NEW HAVEN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06474,CT,NEW LONDON COUNTY,1,1,< 0.1,0.1 - 0.2
06475,CT,MIDDLESEX COUNTY,1,2,< 0.1,0.1 - 0.2
06477,CT,NEW HAVEN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06478,CT,NEW HAVEN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06479,CT,HARTFORD COUNTY,1,5,0.1 - 0.2,0.1 - 0.2
06480,CT,MIDDLESEX COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06481,CT,MIDDLESEX COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06482,CT,FAIRFIELD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06483,CT,NEW HAVEN COUNTY,1,7,0.1 - 0.2,0.1 - 0.2
06484,CT,FAIRFIELD COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06487,CT,NEW HAVEN COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06488,CT,NEW HAVEN COUNTY,1,7,0.1 - 0.2,0.1 - 0.2
06489,CT,HARTFORD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06490,CT,FAIRFIELD COUNTY,1,1,< 0.1,0.1 - 0.2
06491,CT,FAIRFIELD COUNTY,1,4,0.1 - 0.2,0.1 - 0.2
06492,CT,NEW HAVEN COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06493,CT,NEW HAVEN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06494,CT,NEW HAVEN COUNTY,1,4,0.1 - 0.2,0.1 - 0.2
06495,CT,NEW HAVEN COUNTY,1,4,0.1 - 0.2,0.1 - 0.2
06497,CT,FAIRFIELD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06498,CT,MIDDLESEX COUNTY,1,2,< 0.1,0.1 - 0.2
06501,CT,NEW HAVEN COUNTY,1,4,< 0.1,0.1 - 0.2
06502,CT,NEW HAVEN COUNTY,1,4,< 0.1,0.1 - 0.2
06503,CT,NEW HAVEN COUNTY,1,4,< 0.1,0.1 - 0.2
06504,CT,NEW HAVEN COUNTY,1,4,< 0.1,0.1 - 0.2
06505,CT,NEW HAVEN COUNTY,1,4,< 0.1,0.1 - 0.2
06506,CT,NEW HAVEN COUNTY,1,4,< 0.1,0.1 - 0.2
06507,CT,NEW HAVEN COUNTY,1,4,< 0.1,0.1 - 0.2
06508,CT,NEW HAVEN COUNTY,1,4,< 0.1,0.1 - 0.2
06509,CT,NEW HAVEN COUNTY,1,4,< 0.1,0.1 - 0.2
06510,CT,NEW HAVEN COUNTY,1,2,< 0.1,0.1 - 0.2
06511,CT,NEW HAVEN COUNTY,1,7,< 0.1,0.1 - 0.2
06512,CT,NEW HAVEN COUNTY,1,1,< 0.1,0.1 - 0.2
06513,CT,NEW HAVEN COUNTY,1,2,< 0.1,0.1 - 0.2
06514,CT,NEW HAVEN COUNTY,1,8,0.1 - 0.2,0.1 - 0.2
06515,CT,NEW HAVEN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06516,CT,NEW HAVEN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06517,CT,NEW HAVEN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06518,CT,NEW HAVEN COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06519,CT,NEW HAVEN COUNTY,1,2,< 0.1,0.1 - 0.2
06520,CT,NEW HAVEN COUNTY,1,2,< 0.1,0.1 - 0.2
06521,CT,NEW HAVEN COUNTY,1,4,< 0.1,0.1 - 0.2
06524,CT,NEW HAVEN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06525,CT,NEW HAVEN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06530,CT,NEW HAVEN COUNTY,1,8,< 0.1,0.1 - 0.2
06531,CT,NEW HAVEN COUNTY,1,8,< 0.1,0.1 - 0.2
06532,CT,NEW HAVEN COUNTY,1,8,< 0.1,0.1 - 0.2
06533,CT,NEW HAVEN COUNTY,1,8,< 0.1,0.1 - 0.2
06534,CT,NEW HAVEN COUNTY,1,8,< 0.1,0.1 - 0.2
06535,CT,NEW HAVEN COUNTY,1,8,< 0.1,0.1 - 0.2
06536,CT,NEW HAVEN COUNTY,1,8,< 0.1,0.1 - 0.2
06537,CT,NEW HAVEN COUNTY,1,8,< 0.1,0.1 - 0.2
06538,CT,NEW HAVEN COUNTY,1,8,< 0.1,0.1 - 0.2
06540,CT,NEW HAVEN COUNTY,1,8,< 0.1,0.1 - 0.2
06601,CT,FAIRFIELD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06602,CT,FAIRFIELD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06604,CT,FAIRFIELD COUNTY,1,6,0.1 - 0.2,0.1 - 0.2
06605,CT,FAIRFIELD COUNTY,1,2,< 0.1,0.1 - 0.2
06606,CT,FAIRFIELD COUNTY,1,6,0.1 - 0.2,0.1 - 0.2
06607,CT,FAIRFIELD COUNTY,1,2,< 0.1,0.1 - 0.2
06608,CT,FAIRFIELD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06610,CT,FAIRFIELD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06611,CT,FAIRFIELD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06612,CT,FAIRFIELD COUNTY,1,3,0.1 - 0.2,0.1 - 0.2
06614,CT,FAIRFIELD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06615,CT,FAIRFIELD COUNTY,1,3,< 0.1,0.1 - 0.2
06650,CT,FAIRFIELD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06673,CT,FAIRFIELD COUNTY,1,7,0.1 - 0.2,0.1 - 0.2
06699,CT,FAIRFIELD COUNTY,1,1,< 0.1,0.1 - 0.2
06701,CT,NEW HAVEN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06702,CT,NEW HAVEN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06703,CT,NEW HAVEN COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06704,CT,NEW HAVEN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06705,CT,NEW HAVEN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06706,CT,NEW HAVEN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06708,CT,NEW HAVEN COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06710,CT,NEW HAVEN COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06712,CT,NEW HAVEN COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06716,CT,NEW HAVEN COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06720,CT,NEW HAVEN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06721,CT,NEW HAVEN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06722,CT,NEW HAVEN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06723,CT,NEW HAVEN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06724,CT,NEW HAVEN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06725,CT,NEW HAVEN COUNTY,1,7,0.1 - 0.2,0.1 - 0.2
06726,CT,NEW HAVEN COUNTY,1,7,0.1 - 0.2,0.1 - 0.2
06749,CT,NEW HAVEN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06750,CT,LITCHFIELD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06751,CT,LITCHFIELD COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06752,CT,LITCHFIELD COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06753,CT,LITCHFIELD COUNTY,1,8,0.1 - 0.2,0.1 - 0.2
06754,CT,LITCHFIELD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06755,CT,LITCHFIELD COUNTY,1,8,0.1 - 0.2,0.1 - 0.2
06756,CT,LITCHFIELD COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06757,CT,LITCHFIELD COUNTY,1,9,0.1 - 0.2,0.1 - 0.2
06758,CT,LITCHFIELD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06759,CT,LITCHFIELD COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06762,CT,NEW HAVEN COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06763,CT,LITCHFIELD COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06770,CT,NEW HAVEN COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06776,CT,LITCHFIELD COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06777,CT,LITCHFIELD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06778,CT,LITCHFIELD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06779,CT,LITCHFIELD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06781,CT,LITCHFIELD COUNTY,1,7,0.1 - 0.2,0.1 - 0.2
06782,CT,LITCHFIELD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06783,CT,LITCHFIELD COUNTY,1,3,0.1 - 0.2,0.1 - 0.2
06784,CT,FAIRFIELD COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06785,CT,LITCHFIELD COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06786,CT,LITCHFIELD COUNTY,1,5,0.1 - 0.2,0.1 - 0.2
06787,CT,LITCHFIELD COUNTY,1,6,0.1 - 0.2,0.1 - 0.2
06790,CT,LITCHFIELD COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06791,CT,LITCHFIELD COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06792,CT,LITCHFIELD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06793,CT,LITCHFIELD COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06794,CT,LITCHFIELD COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06795,CT,LITCHFIELD COUNTY,1,4,0.1 - 0.2,0.1 - 0.2
06796,CT,LITCHFIELD COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06798,CT,LITCHFIELD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06801,CT,FAIRFIELD COUNTY,1,7,0.1 - 0.2,0.1 - 0.2
06804,CT,FAIRFIELD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06807,CT,FAIRFIELD COUNTY,1,4,< 0.1,0.1 - 0.2
06810,CT,FAIRFIELD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06811,CT,FAIRFIELD COUNTY,1,8,0.1 - 0.2,0.1 - 0.2
06812,CT,FAIRFIELD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06813,CT,FAIRFIELD COUNTY,1,6,0.1 - 0.2,0.1 - 0.2
06814,CT,FAIRFIELD COUNTY,1,7,0.1 - 0.2,0.1 - 0.2
06816,CT,FAIRFIELD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06817,CT,FAIRFIELD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06820,CT,FAIRFIELD COUNTY,1,4,< 0.1,0.1 - 0.2
06824,CT,FAIRFIELD COUNTY,1,2,< 0.1,0.1 - 0.2
06825,CT,FAIRFIELD COUNTY,1,1,0.1 - 0.2,0.1 - 0.2
06828,CT,FAIRFIELD COUNTY,1,2,0.1 - 0.2,0.1 - 0.2
06829,CT,FAIRFIELD COUNTY,1,6,0.1 - 0.2,0.1 - 0.2
06830,CT,FAIRFIELD COUNTY,1,2,< 0.1,0.1 - 0.2
06831,CT,FAIRFIELD COUNTY,1,2,< 0.1,0.1 - 0.2
06832,CT,FAIRFIELD COUNTY,1,7,< 0.1,0.1 - 0.2
06836,CT,FAIRFIELD COUNTY,1,2,< 0.1,0.1 - 0.2
06838,CT,FAIRFIELD COUNTY,1,2,< 0.1,0.1 - 0.2
06840,CT,FAIRFIELD COUNTY,1,8,< 0.1,0.1 - 0.2
06842,CT,FAIRFIELD COUNTY,1,2,< 0.1,0.1 - 0.2
06850,CT,FAIRFIELD COUNTY,1,2,< 0.1,0.1 - 0.2
06851,CT,FAIRFIELD COUNTY,1,1,< 0.1,0.1 - 0.2
06852,CT,FAIRFIELD COUNTY,1,3,< 0.1,0.1 - 0.2
06853,CT,FAIRFIELD COUNTY,1,2,< 0.1,0.1 - 0.2
06854,CT,FAIRFIELD COUNTY,1,2,< 0.1,0.1 - 0.2
06855,CT,FAIRFIELD COUNTY,1,3,< 0.1,0.1 - 0.2
06856,CT,FAIRFIELD COUNTY,1,4,< 0.1,0.1 - 0.2
06857,CT,FAIRFIELD COUNTY,1,2,< 0.1,0.1 - 0.2
06858,CT,FAIRFIELD COUNTY,1,2,< 0.1,0.1 - 0.2
06859,CT,FAIRFIELD COUNTY,1,7,< 0.1,0.1 - 0.2
