StateCounty,FL Buildings,FL Contents,FL BI
ARLee County,0.00025,0.00025,0.00025
ARLincoln County,0.00025,0.00025,0.00025
ARLittle River County,0.00025,0.00025,0.00025
ARLogan County,0.00025,0.00025,0.00025
ARLonoke County,0.00025,0.00025,0.00025
ARMadison County,0.00025,0.00025,0.00025
ARMarion County,0.00025,0.00025,0.00025
ARMiller County,0.00025,0.00025,0.00025
ARMississippi County,0.00025,0.00025,0.00025
ARMonroe County,0.00025,0.00025,0.00025
ARMontgomery County,0.00025,0.00025,0.00025
ARNevada County,0.00025,0.00025,0.00025
ARNewton County,0.00025,0.00025,0.00025
AROuachita County,0.00025,0.00025,0.00025
ARPerry County,0.00025,0.00025,0.00025
ARPhillips County,0.00025,0.00025,0.00025
ARPike County,0.00025,0.00025,0.00025
ARPoinsett County,0.00025,0.00025,0.00025
ARPolk County,0.00025,0.00025,0.00025
ARPope County,0.00025,0.00025,0.00025
ARPrairie County,0.00025,0.00025,0.00025
ARPulaski County,0.00025,0.00025,0.00025
ARRandolph County,0.00025,0.00025,0.00025
ARSaline County,0.00025,0.00025,0.00025
ARScott County,0.00025,0.00025,0.00025
ARSearcy County,0.00025,0.00025,0.00025
ARSebastian County,0.00025,0.00025,0.00025
ARSevier County,0.00025,0.00025,0.00025
ARSharp County,0.00025,0.00025,0.00025
ARSt. Francis County,0.00025,0.00025,0.00025
ARStone County,0.00025,0.00025,0.00025
ARUnion County,0.00025,0.00025,0.00025
ARVan Buren County,0.00025,0.00025,0.00025
ARWashington County,0.00025,0.00025,0.00025
ARWhite County,0.00025,0.00025,0.00025
ARWoodruff County,0.00025,0.00025,0.00025
ARYell County,0.00025,0.00025,0.00025
AZApache County,0.000249,0.000249,0.000249
AZCochise County,0.000249,0.000249,0.000249
AZCoconino County,0.000249,0.000249,0.000249
AZGila County,0.000249,0.000249,0.000249
AZGraham County,0.000249,0.000249,0.000249
AZGreenlee County,0.000249,0.000249,0.000249
AZLa Paz County,0.000249,0.000249,0.000249
AZMaricopa County,0.000249,0.000249,0.000249
AZMohave County,0.000249,0.000249,0.000249
AZNavajo County,0.000249,0.000249,0.000249
AZPima County,0.000249,0.000249,0.000249
AZPinal County,0.000249,0.000249,0.000249
AZSanta Cruz County,0.000249,0.000249,0.000249
AZYavapai County,0.000249,0.000249,0.000249
AZYuma County,0.000249,0.000249,0.000249
CAAlameda County,0.00013,0.00013,0.00013
CAAlpine County,0.00013,0.00013,0.00013
CAAmador County,0.00013,0.00013,0.00013
