Score Band,Label,Category,Load,Points
No Data,No Data,Unknown,0,0
Very Low (<0.2),Very Low,Low,-0.99,1
Low (0.2 - 1),Low,Low,-0.55,1
Moderate (1 - 2),Moderate,Medium,-0.3,2
Significant (2 - 3),Significant,Medium,0,2
High (3 - 5),High,High,0.75,3
Very High (5 - 7),Very High,High,1.45,3
Extreme (>7),Extreme,Extreme,3,4
0,No Data,Unknown,0,0
< 0.1,Very Low,Low,-0.99,1
0.1 - 0.2,Low,Low,-0.55,1
0.2 - 0.4,Moderate,Medium,-0.3,2
0.4 - 0.6,Significant,Medium,0,2
0.6 - 0.8,High,High,0.75,3
0.8 - 1.0,Very High,High,1.45,3
>1.0,Extreme,Extreme,3,4
Very Low (<0.1),Very Low,Low,-0.99,1
Low (0.1 - 0.2),Low,Low,-0.55,1
Moderate (0.2 - 0.4),Moderate,Medium,-0.3,2
Significant (0.4 - 0.6),Significant,Medium,0,2
High (0.6 - 0.8),High,High,0.75,3
Very High (0.8 - 1.0),Very High,High,1.45,3
Extreme (>1.0),Extreme,Extreme,3,4
