exposure_curve,b,g
Y1,12.65,4.22
Y2,9.03,7.69
Y3,3.67,30.57
Y4,1.11,154.47
Y5,0.25,992.27
VL1,0.6,871.56
L2,0.6,299.86
M3,0.59,156.2
MH4,0.39,21.22
VH5,0.94,7.02
