Score Band,Label,Gust,Category,Load
0,No Data,0,Unknown,0.000
<20,Very Low,1E-16,Low,-0.950
20-25,Low,20,Low,-0.900
25-30,Low,25,Low,-0.850
30-35,Moderate,30,Medium,-0.600
35-40,Moderate,35,Medium,0.000
40-50,Significant,40,High,2.000
50-60,High,50,High,3.000
60-70,Very High,60,High,3.500
>70,Extreme,70,Extreme,4.000
