Tornado,0,25000000,75000000,150000000,250000000
1,EQ1,EQ1,EQ1,EQ1,EQ1
2,EQ1,EQ1,EQ1,EQ1,EQ1
3,EQ1,EQ1,EQ1,EQ1,EQ1
4,EQ1,EQ1,EQ1,EQ1,EQ1
5,EQ1,EQ1,EQ1,EQ1,EQ1
6,EQ1,EQ1,EQ1,EQ1,EQ1
