tiv_low,fire,wildfire,flood,tornado,hail
0,1.91503268,1.172,1.172,1.513,1.513
50000,1.91503268,1.172,1.172,1.513,1.513
75000,1.91503268,1.172,1.172,1.363,1.363
100000,1.91503268,1.172,1.172,1.266,1.266
125000,1.843137255,1.128,1.128,1.195,1.195
150000,1.785947712,1.093,1.093,1.14,1.14
175000,1.738562092,1.064,1.064,1.096,1.096
200000,1.697712418,1.039,1.039,1.059,1.059
225000,1.663398693,1.018,1.018,1.027,1.027
250000,1.633986928,1,1,1,1
275000,1.607843137,0.984,0.984,0.976,0.976
300000,1.583333333,0.969,0.969,0.954,0.954
325000,1.562091503,0.956,0.956,0.935,0.935
350000,1.540849673,0.943,0.943,0.917,0.917
375000,1.522875817,0.932,0.932,0.901,0.901
400000,1.506535948,0.922,0.922,0.886,0.886
425000,1.490196078,0.912,0.912,0.872,0.872
450000,1.475490196,0.903,0.903,0.86,0.86
475000,1.462418301,0.895,0.895,0.848,0.848
500000,1.449346405,0.887,0.887,0.837,0.837
550000,1.424836601,0.872,0.872,0.816,0.816
600000,1.403594771,0.859,0.859,0.798,0.798
650000,1.383986928,0.847,0.847,0.782,0.782
700000,1.367647059,0.837,0.837,0.767,0.767
750000,1.35130719,0.827,0.827,0.754,0.754
800000,1.33496732,0.817,0.817,0.741,0.741
850000,1.321895425,0.809,0.809,0.73,0.73
900000,1.308823529,0.801,0.801,0.719,0.719
950000,1.295751634,0.793,0.793,0.709,0.709
1000000,1.284313725,0.786,0.786,0.7,0.7
1250000,1.236928105,0.757,0.757,0.661,0.661
1500000,1.197712418,0.733,0.733,0.631,0.631
1750000,1.166666667,0.714,0.714,0.606,0.606
2000000,1.138888889,0.697,0.697,0.586,0.586
2250000,1.116013072,0.683,0.683,0.568,0.568
2500000,1.096405229,0.671,0.671,0.553,0.553
2750000,1.078431373,0.66,0.66,0.54,0.54
3000000,1.062091503,0.65,0.65,0.528,0.528
3250000,1.047385621,0.641,0.641,0.517,0.517
3500000,1.034313725,0.633,0.633,0.507,0.507
3750000,1.02124183,0.625,0.625,0.498,0.498
4000000,1.009803922,0.618,0.618,0.49,0.49
4250000,1,0.612,0.612,0.482,0.482
4500000,0.990196078,0.606,0.606,0.475,0.475
4750000,0.980392157,0.6,0.6,0.469,0.469
5000000,0.972222222,0.595,0.595,0.463,0.463
5500000,0.955882353,0.585,0.585,0.451,0.451
6000000,0.941176471,0.576,0.576,0.441,0.441
6500000,0.929738562,0.569,0.569,0.432,0.432
7000000,0.916666667,0.561,0.561,0.424,0.424
7500000,0.906862745,0.555,0.555,0.417,0.417
8000000,0.895424837,0.548,0.548,0.41,0.41
8500000,0.887254902,0.543,0.543,0.404,0.404
9000000,0.87745098,0.537,0.537,0.398,0.398
9500000,0.869281046,0.532,0.532,0.392,0.392
10000000,0.862745098,0.528,0.528,0.387,0.387
