Score Band,Label,Category,Load
No Data,No Data,Unknown,0.00
10,10 year,High,3.00
20,20 year,High,3.00
30,30 year,High,3.00
50,50 year,High,3.00
100,100 year,High,2.00
200,200 year,Medium,1.50
250,250 year,Medium,1.50
500,500 year,Low,1.00
1000,1000 year,Low,0.00
>500,500 year plus,Low,0.00
> 500,500 year plus,Low,0.00
>1000,1000 year plus,Low,0.00
> 1000,1000 year plus,Low,0.00
