ws_gate,ws_zone
Texas (West),Texas WS
Texas (West) (tier 2),Texas WS
Texas (Central),Texas WS
Texas (Central) (tier 2),Texas WS
Texas (East),Texas WS
Texas (East) (tier 2),Texas WS
Louisiana (West),Louisiana WS
Louisiana (West) (tier 2),Louisiana WS
Louisiana (East),Louisiana WS
Louisiana (East) (tier 2),Louisiana WS
Mississippi,Louisiana WS
Mississippi (tier 2),Louisiana WS
Alabama / Florida,Florida non SE WS
Florida (Panhandle),Florida non SE WS
Florida (Panhandle) (tier 2),Florida non SE WS
Florida (Armpit),Florida non SE WS
Florida (Armpit) (tier 2),Florida non SE WS
Florida (Tampa),Florida non SE WS
Florida (Tampa) (tier 2),Florida non SE WS
Florida (South-West),Florida non SE WS
Florida (South-West) (tier 2),Florida non SE WS
Florida (Keys),Florida SE - South Tip
Florida (Tricounty),Florida SE - South Tip
Florida (East),Florida SE - All Other
Florida (East) (tier 2),Florida SE - All Other
Florida (Canaveral),Florida SE - All Other
Florida (Canaveral) (tier 2),Florida SE - All Other
Florida (Jacks),Florida SE - Jacksonville
Florida (Jacks) (tier 2),Florida SE - Jacksonville
Georgia / S Carolina,Carolinas WS
Georgia / S Carolina (tier 2),Carolinas WS
S Carolina (Charleston),Carolinas WS
S Carolina (Charleston) (tier 2),Carolinas WS
S Carolina (Myrtle Beach),Carolinas WS
S Carolina (Myrtle Beach) (tier 2),Carolinas WS
N Carolina (South),Carolinas WS
N Carolina (South) (tier 2),Carolinas WS
N Carolina (North),Carolinas WS
N Carolina (North) (tier 2),Carolinas WS
Virginia,Mid Atlantic WS
Virginia (tier 2),Mid Atlantic WS
Maryland,Mid Atlantic WS
New Jersey,NE WS
New York,NE WS
Long Island (tier 1),NE WS
Long Island (tier 2),NE WS
Long Island (tier 2) (tier 2),NE WS
Massachusetts,NE WS
Maine,NE WS
Hawaii,Non-Crit WS
Non Critical US Wind,Non-Crit WS
International,International WS
