tiv_threshold,simple_1,simple_2,simple_3,simple_4,simple_5,simple_6,simple_7,simple_8,simple_9,simple_10,full_1,full_2,full_3,full_4,full_5,full_6,full_7,full_8,full_9,full_10
10000,0,0.025,0.05,0.15,0.25,0.3,0.35,0.4,0.45,0.5,0,0.05,0.15,0.25,0.3,0.35,0.4,0.45,0.5,0.5
2000,0,0.025,0.05,0.125,0.2,0.25,0.3,0.35,0.4,0.45,0,0.05,0.1,0.2,0.25,0.3,0.35,0.4,0.45,0.5
300,0,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45
50,0,0,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0,0.05,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4
0,0,0,0,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0,0,0.05,0.05,0.1,0.15,0.2,0.25,0.3,0.35
