StateCounty,1,2,3,4,5,6
AKAleutians East Borough,0.0000000000000000,0.1305957358879450,-0.4521657251964500,-0.0857524731466843,-0.4923038585051360,-0.3194963906799630
AKAleutians West Census Area,0.0000000000000000,0.0375492942946531,-0.5479665019932180,-0.1786866016892670,-0.5850666397905160,-0.3952089090854910
AKAnchorage Municipality,0.0000000000000000,0.0291641706843575,-0.4857112175167460,-0.1394735552968390,-0.5190318249751370,-0.3679846857417520
AKBethel Census Area,0.0000000000000000,0.1011418551206720,-0.4747237609120440,-0.1118884571883990,-0.5121662093265380,-0.3086585392187140
AKBristol Bay Borough,0.0000000000000000,0.4220145847391280,-0.3702902350849360,0.1288833799898660,-0.4218130212024580,-0.1622627664758470
AKDenali Borough,0.0000000000000000,0.0456389686837559,-0.5520690210112790,-0.1740454364952400,-0.5869154106694390,-0.3820526395341280
AKDillingham Census Area,0.0000000000000000,0.4669239605218880,-0.2835991830234270,0.1846600660671400,-0.3456092933602420,-0.1164919722631030
AKFairbanks North Star Borough,0.0000000000000000,0.0352675941966536,-0.5153610304317930,-0.1542500040319460,-0.5508231997490970,-0.3628101956469430
AKHaines Borough,0.0000000000000000,-0.0287478593461198,-0.6516222694007530,-0.2549695478220900,-0.6802715714870940,-0.4629918899738690
AKHoonah-Angoon Census Area,0.0000000000000000,0.0069274521131186,-0.5171000099980560,-0.1851358125388100,-0.5460543542698960,-0.3915610854848900
AKJuneau Borough,0.0000000000000000,-0.0742714670651898,-0.6461739879185290,-0.2563929588751980,-0.6735819942372450,-0.4658912087199920
AKKenai Peninsula Borough,0.0000000000000000,0.0796344057469529,-0.5185450726539100,-0.1401178763604200,-0.5539712431174710,-0.3860887969785320
AKKetchikan Gateway Borough,0.0000000000000000,-0.0927524951934947,-0.6671152452037070,-0.3020133134130850,-0.6958263882313110,-0.4969520529373410
AKKodiak Island Borough,0.0000000000000000,0.0415119686654040,-0.5580569545207390,-0.1791549136807720,-0.5943377691571720,-0.4253407407899010
AKKusilvak,0.0000000000000000,0.2679322545102920,-0.3971474615214750,0.0216238031872664,-0.4411153944960850,-0.1990014635969190
AKMatanuska-Susitna Borough,0.0000000000000000,0.0430200315838418,-0.5239667072457720,-0.1492109529410980,-0.5567471315912310,-0.3850338061581600
AKNome Census Area,0.0000000000000000,0.1191654020730260,-0.4735964248470510,-0.1007403836425700,-0.5142288270487030,-0.3057079372145510
AKNorth Slope Borough,0.0000000000000000,0.1724084003046070,-0.4691202186941100,-0.0644545558913376,-0.5095794657770820,-0.2692031886456080
AKNorthwest Arctic Borough,0.0000000000000000,0.1028082912864660,-0.5025579249952120,-0.1208038321480070,-0.5410999160612650,-0.3185311928988960
AKPeninsula And Lake Borough,0.0000000000000000,0.1881085869463630,-0.4133712162762890,-0.0355570596298983,-0.4557760959295710,-0.2832585913167810
AKPetersburg Census Area,0.0000000000000000,0.1223265144084480,-0.7107397683538910,-0.1758596468555280,-0.7360470050969400,-0.3988141158467070
AKPrince Of Wales-Hyder Census Area,0.0000000000000000,-0.1363615283096160,-0.7175202433493110,-0.3463863025848050,-0.7411144309687450,-0.5255236908672670
AKSitka Borough,0.0000000000000000,0.0170024675921476,-0.6493028487980610,-0.2248117916786640,-0.6794997626379060,-0.4388750437121900
AKSkagway Municipality,0.0000000000000000,0.0094554651977099,-0.5947643043070880,-0.2115260801537340,-0.6268354639337170,-0.4405484885217900
AKSoutheast Fairbanks Census Area,0.0000000000000000,0.0001315286936521,-0.5928246042620110,-0.2179004954276350,-0.6279569977575090,-0.4219452525805640
AKValdez-Cordova Census Area,0.0000000000000000,0.0841206773059571,-0.4839428046649190,-0.1248021823742070,-0.5187296673431170,-0.3676713706973840
AKWrangell City And Borough,0.0000000000000000,-0.0021378610896499,-0.6784542194542960,-0.2464216989352100,-0.7054113469772860,-0.4509791940526750
AKYakutat Borough,0.0000000000000000,0.0438565275100669,-0.3731919043278880,-0.1102141776107400,-0.3997821229742660,-0.2868351696880530
AKYukon-Koyukuk Census Area,0.0000000000000000,0.0580446893599418,-0.5265615189372790,-0.1570704600389610,-0.5613515171252540,-0.3649472587134720
ALAutauga County,0.0000000000000000,0.4039124315686020,-0.6105667268790490,0.1988008843145380,-0.6414764288886860,-0.2946769425979100
ALBaldwin County,0.0000000000000000,0.4060501835301700,-0.5671158783444250,0.1896271590729110,-0.5990703876411450,-0.2617116545111030
ALBarbour County,0.0000000000000000,0.3756225677730340,-0.6227531872698310,0.1811267230484320,-0.6527995591232690,-0.3128085584671900
ALBibb County,0.0000000000000000,0.4442504353191300,-0.6373051547536490,0.2350036804865470,-0.6658056152361110,-0.3080948596921240
ALBlount County,0.0000000000000000,0.4313866890486950,-0.6668859168563180,0.2197865804670120,-0.6931084469363750,-0.3430659789983880
ALBullock County,0.0000000000000000,0.3567967606095190,-0.6539120708092090,0.1615658420112930,-0.6814128373073250,-0.3317013636329370
ALButler County,0.0000000000000000,0.4047029030138150,-0.6086339765577790,0.2071157352135650,-0.6396278769180260,-0.2966476602884140
ALCalhoun County,0.0000000000000000,0.4093544877600980,-0.6740294560742650,0.1690401813659890,-0.6996656513140170,-0.3546443051042930
ALChambers County,0.0000000000000000,0.4051318157391970,-0.6843220412781480,0.1952376803930290,-0.7093978605997240,-0.3669005381723480
ALCherokee County,0.0000000000000000,0.4608750979881380,-0.6851629392868170,0.2402289474932890,-0.7100042301733410,-0.3591979643987470
ALChilton County,0.0000000000000000,0.4370171580994180,-0.6293099394433030,0.2301834428097400,-0.6584232990327620,-0.3085003736827560
ALChoctaw County,0.0000000000000000,0.4534572323696470,-0.6605966571584890,0.2375242743256070,-0.6867407899871090,-0.3319539653858270
ALClarke County,0.0000000000000000,0.4307612377850930,-0.6155562194855230,0.2270903286017400,-0.6457891915759470,-0.2983928226709250
ALClay County,0.0000000000000000,0.4117637814670640,-0.6687186951580680,0.2032464680748460,-0.6947942893177040,-0.3486800869634590
ALCleburne County,0.0000000000000000,0.4314452967222680,-0.6681240728938570,0.2187728325457400,-0.6943631502343870,-0.3364529879011600
ALCoffee County,0.0000000000000000,0.3696591606941390,-0.6057896184931350,0.1530918658923250,-0.6371109153428110,-0.3010408405974840
ALColbert County,0.0000000000000000,0.0690689156402255,-0.7499995925491680,-0.1016114829106680,-0.7698555390169050,-0.5168138224302560
ALConecuh County,0.0000000000000000,0.4368959975313090,-0.5897016205205930,0.2372179062824680,-0.6218468662661370,-0.2767797918599620
ALCoosa County,0.0000000000000000,0.4185019088750340,-0.6664918267964540,0.2088094554782700,-0.6927081921085780,-0.3448745875365320
ALCovington County,0.0000000000000000,0.4146993239562530,-0.6106615625224590,0.2154081031159240,-0.6415712253068070,-0.2941149162919040
ALCrenshaw County,0.0000000000000000,0.3964510170337940,-0.6176352496062850,0.1991685606490570,-0.6481714247195650,-0.3033678261531760
ALCullman County,0.0000000000000000,0.4224627515390880,-0.6814563093741700,0.2090991856000250,-0.7066046475290050,-0.3586140738463210
ALDale County,0.0000000000000000,0.3718884272544870,-0.6026244901377830,0.1819426366121580,-0.6342810422312900,-0.2957329098813510
ALDallas County,0.0000000000000000,0.4470475312327170,-0.6180728518206400,0.2396136377999710,-0.6482661486121890,-0.2911619311156910
ALDekalb County,0.0000000000000000,0.4480274540562990,-0.6763834466054110,0.2303069728428610,-0.7018194055053540,-0.3511107124155550
ALElmore County,0.0000000000000000,0.3893505630545530,-0.6161778657366910,0.1856426886511550,-0.6465027426740120,-0.3012672040946930
ALEscambia County,0.0000000000000000,0.4526721481817750,-0.5888241041695760,0.2503315265725550,-0.6206959609834350,-0.2811846119682380
ALEtowah County,0.0000000000000000,0.3660698207345150,-0.6361085788148340,0.1666693417489590,-0.6644671811711090,-0.3366469864444500
ALFayette County,0.0000000000000000,0.4127445528450100,-0.6578559692533160,0.2049083281194580,-0.6847299113576580,-0.3293384067651370
ALFranklin County,0.0000000000000000,0.0469696411184808,-0.6928493057691130,-0.0984172283232559,-0.7189283480306630,-0.4683755376398580
ALGeneva County,0.0000000000000000,0.4042326303230360,-0.6091008742742810,0.2072814574773230,-0.6401664898568850,-0.2963539783893000
ALGreene County,0.0000000000000000,0.4262593916251680,-0.6422697090665850,0.2188296177738490,-0.6694355856470650,-0.3184120144344110
ALHale County,0.0000000000000000,0.4278524136495830,-0.6323739103634810,0.2218666048504680,-0.6611359131387010,-0.3134849265464150
ALHenry County,0.0000000000000000,0.3898027916191760,-0.6109161633010050,0.1948029551338300,-0.6419377046459730,-0.2999922699695640
ALHouston County,0.0000000000000000,0.3822682443689570,-0.6078081761328620,0.1555376877033990,-0.6388261348580540,-0.2948901636123950
ALJackson County,0.0000000000000000,0.4335181414209780,-0.6789470219581910,0.2180422834777480,-0.7042443128663200,-0.3561803974884090
ALJefferson County,0.0000000000000000,0.3743251760204060,-0.6541745896777020,0.0974582845357337,-0.6815931425343590,-0.3252972930030960
ALLamar County,0.0000000000000000,0.0324755672134434,-0.7052142497044700,-0.1120808359310150,-0.7293462816117090,-0.5006734313740390
ALLauderdale County,0.0000000000000000,0.0921882941451364,-0.7366120787940430,-0.0802359370689533,-0.7586463490732210,-0.4773268528253410
ALLawrence County,0.0000000000000000,0.4295338003226130,-0.6837579399378990,0.2142425556589390,-0.7086472949054640,-0.3661419297658080
ALLee County,0.0000000000000000,0.3398740201017430,-0.6614370212615650,0.0851830644988614,-0.6883414337121030,-0.3362753773904150
ALLimestone County,0.0000000000000000,0.4227790024948630,-0.6842154604337550,0.1943590436805800,-0.7093339514900490,-0.3567765824010890
ALLowndes County,0.0000000000000000,0.3856905285592870,-0.6323856398395050,0.1878200879437720,-0.6616867471892460,-0.3145734313236050
ALMacon County,0.0000000000000000,0.3526980944567770,-0.6262124124297530,0.1367705022237150,-0.6561929884941410,-0.3085983808624400
ALMadison County,0.0000000000000000,0.3769347634010910,-0.6836533117514330,0.1121513904167510,-0.7087837008745350,-0.3628821695365860
ALMarengo County,0.0000000000000000,0.4183570422030920,-0.6304997269824920,0.2142745667131750,-0.6595114163249320,-0.3022371292520820
ALMarion County,0.0000000000000000,0.1340772329102440,-0.6999288449518210,-0.0288131998518496,-0.7244888460548700,-0.4514720608469410
ALMarshall County,0.0000000000000000,0.4276596281932530,-0.6784479367496120,0.2018335563636420,-0.7038769342995640,-0.3487115333264090
ALMobile County,0.0000000000000000,0.3883999332565710,-0.5666705759177280,0.1394008959269990,-0.5984104680565820,-0.2555949827070230
ALMonroe County,0.0000000000000000,0.4287625705653290,-0.5788648812547230,0.2323632231517050,-0.6118164000039910,-0.2679240189097420
ALMontgomery County,0.0000000000000000,0.3184521371519440,-0.6149685452890420,0.0596158934250290,-0.6454202928670280,-0.2938117835490240
ALMorgan County,0.0000000000000000,0.3844228819593520,-0.6760882384258640,0.1300735747528130,-0.7017611306770980,-0.3493480253668590
ALPerry County,0.0000000000000000,0.4055143698698590,-0.6602135197893220,0.1987797294615660,-0.6866995511962950,-0.3368497437838540
ALPickens County,0.0000000000000000,0.2599031191930730,-0.6789880523920170,0.0771607040765945,-0.7043870939093140,-0.4024829296744050
ALPike County,0.0000000000000000,0.3635398995245000,-0.6189797679184850,0.1591237934157200,-0.6493795598962660,-0.3038979373346010
ALRandolph County,0.0000000000000000,0.3924529533650100,-0.6748334184791810,0.1863394778206200,-0.7005062969974460,-0.3604142828046080
ALRussell County,0.0000000000000000,0.3535958565879290,-0.6224968368655840,0.1422541512617890,-0.6524612138338470,-0.3110089706213770
ALShelby County,0.0000000000000000,0.3998948299896370,-0.6508898160009880,0.1617296565005050,-0.6783338420024730,-0.3275103997769970
ALSt. Clair County,0.0000000000000000,0.4261926560550020,-0.6602049179228890,0.2086936503328480,-0.6869600161300050,-0.3362234108439300
ALSumter County,0.0000000000000000,0.4114545776283060,-0.6611687618426760,0.2030289457892960,-0.6878295080702090,-0.3395147496772090
