Country,Statecode,County,StateCounty,HA Buildings,HA Contents,HA BI
US,AL,Montgomery County,ALMontgomery County,3.60108E-05,3.60108E-07,9.36281E-06
US,AL,Morgan County,ALMorgan County,3.53537E-05,3.53537E-07,9.19195E-06
US,AL,Perry County,ALPerry County,4.21926E-05,4.21926E-07,1.09701E-05
US,AL,Pickens County,ALPickens County,4.98181E-05,4.98181E-07,1.29527E-05
US,AL,Pike County,ALPike County,2.93948E-05,2.93948E-07,7.64265E-06
US,AL,Randolph County,ALRandolph County,6.27578E-05,6.27578E-07,1.6317E-05
US,AL,Russell County,ALRussell County,3.85706E-05,3.85706E-07,1.00284E-05
US,AL,Shelby County,ALShelby County,4.84403E-05,4.84403E-07,1.25945E-05
US,AL,St. Clair County,ALSt. Clair County,4.43654E-05,4.43654E-07,1.1535E-05
US,AL,Sumter County,ALSumter County,5.19979E-05,5.19979E-07,1.35195E-05
US,AL,Talladega County,ALTalladega County,4.60378E-05,4.60378E-07,1.19698E-05
US,AL,Tallapoosa County,ALTallapoosa County,4.76434E-05,4.76434E-07,1.23873E-05
US,AL,Tuscaloosa County,ALTuscaloosa County,4.69174E-05,4.69174E-07,1.21985E-05
US,AL,Walker County,ALWalker County,4.60349E-05,4.60349E-07,1.19691E-05
US,AL,Washington County,ALWashington County,2.93157E-05,2.93157E-07,7.62209E-06
US,AL,Wilcox County,ALWilcox County,3.44966E-05,3.44966E-07,8.96913E-06
US,AL,Winston County,ALWinston County,4.18745E-05,4.18745E-07,1.08874E-05
US,AR,Arkansas County,ARArkansas County,0.000144777,1.44777E-06,3.7642E-05
US,AR,Ashley County,ARAshley County,0.000113847,1.13847E-06,2.96003E-05
US,AR,Baxter County,ARBaxter County,9.42322E-05,9.42322E-07,2.45004E-05
US,AR,Benton County,ARBenton County,0.000221729,2.21729E-06,5.76495E-05
US,AR,Boone County,ARBoone County,0.00012105,1.2105E-06,3.14729E-05
US,AR,Bradley County,ARBradley County,9.13224E-05,9.13224E-07,2.37438E-05
US,AR,Calhoun County,ARCalhoun County,7.34594E-05,7.34594E-07,1.90994E-05
US,AR,Carroll County,ARCarroll County,0.00015642,1.5642E-06,4.06692E-05
US,AR,Chicot County,ARChicot County,0.000335528,3.35528E-06,8.72373E-05
US,AR,Clark County,ARClark County,6.87962E-05,6.87962E-07,1.7887E-05
US,AR,Clay County,ARClay County,9.35665E-05,9.35665E-07,2.43273E-05
US,AR,Cleburne County,ARCleburne County,0.00014916,1.4916E-06,3.87816E-05
US,AR,Cleveland County,ARCleveland County,0.000102982,1.02982E-06,2.67754E-05
US,AR,Columbia County,ARColumbia County,7.87769E-05,7.87769E-07,2.0482E-05
US,AR,Conway County,ARConway County,8.98103E-05,8.98103E-07,2.33507E-05
US,AR,Craighead County,ARCraighead County,7.43606E-05,7.43606E-07,1.93338E-05
US,AR,Crawford County,ARCrawford County,0.000183848,1.83848E-06,4.78005E-05
US,AR,Crittenden County,ARCrittenden County,6.01779E-05,6.01779E-07,1.56463E-05
US,AR,Cross County,ARCross County,7.28074E-05,7.28074E-07,1.89299E-05
US,AR,Dallas County,ARDallas County,7.98018E-05,7.98018E-07,2.07485E-05
US,AR,Desha County,ARDesha County,0.000196231,1.96231E-06,5.10199E-05
US,AR,Drew County,ARDrew County,0.000172006,1.72006E-06,4.47216E-05
US,AR,Faulkner County,ARFaulkner County,9.19252E-05,9.19252E-07,2.39005E-05
US,AR,Franklin County,ARFranklin County,0.000167368,1.67368E-06,4.35156E-05
US,AR,Fulton County,ARFulton County,9.34204E-05,9.34204E-07,2.42893E-05
US,AR,Garland County,ARGarland County,7.73409E-05,7.73409E-07,2.01086E-05
US,AR,Grant County,ARGrant County,9.06725E-05,9.06725E-07,2.35748E-05
US,AR,Greene County,ARGreene County,8.21126E-05,8.21126E-07,2.13493E-05
US,AR,Hempstead County,ARHempstead County,8.84584E-05,8.84584E-07,2.29992E-05
US,AR,Hot Spring County,ARHot Spring County,7.5353E-05,7.5353E-07,1.95918E-05
US,AR,Howard County,ARHoward County,8.74719E-05,8.74719E-07,2.27427E-05
US,AR,Independence County,ARIndependence County,0.000125367,1.25367E-06,3.25954E-05
US,AR,Izard County,ARIzard County,9.3127E-05,9.3127E-07,2.4213E-05
US,AR,Jackson County,ARJackson County,0.000107631,1.07631E-06,2.79841E-05
US,AR,Jefferson County,ARJefferson County,0.000166366,1.66366E-06,4.32551E-05
US,AR,Johnson County,ARJohnson County,0.000115282,1.15282E-06,2.99732E-05
US,AR,Lafayette County,ARLafayette County,0.000108249,1.08249E-06,2.81447E-05
US,AR,Lawrence County,ARLawrence County,0.000105599,1.05599E-06,2.74558E-05
US,AR,Lee County,ARLee County,8.40615E-05,8.40615E-07,2.1856E-05
US,AR,Lincoln County,ARLincoln County,0.000172765,1.72765E-06,4.49188E-05
US,AR,Little River County,ARLittle River County,0.00010461,1.0461E-06,2.71985E-05
US,AR,Logan County,ARLogan County,0.000116299,1.16299E-06,3.02376E-05
US,AR,Lonoke County,ARLonoke County,0.000101967,1.01967E-06,2.65114E-05
US,AR,Madison County,ARMadison County,0.000159848,1.59848E-06,4.15604E-05
US,AR,Marion County,ARMarion County,0.000116832,1.16832E-06,3.03764E-05
US,AR,Miller County,ARMiller County,0.000124959,1.24959E-06,3.24893E-05
US,AR,Mississippi County,ARMississippi County,6.215E-05,6.215E-07,1.6159E-05
