EB Code,Rate,Min Ded,Max Loc Total TIV,Max Loc BI TIV
A,0.0000825,0,100000000,10000000
B,0.0000825,0,50000000,10000000
C,0.000165,10000,30000000,10000000
D,0,5000,N/A,N/A
