StateCounty,Unknown,Obvious signs of deterioration or distress,Certified design & construction
VABrunswick County,0.000000000000000,0.450831550140278,-0.044985125264235
VABuchanan County,0.000000000000000,0.443672598116090,-0.015733708743533
VABuckingham County,0.000000000000000,0.447016113733140,-0.038272189879174
VABuena Vista City,0.000000000000000,0.444853864569266,-0.028196196619174
VACampbell County,0.000000000000000,0.447027763050645,-0.037586732425131
VACaroline County,0.000000000000000,0.447780162123780,-0.038906681598306
VACarroll County,0.000000000000000,0.446239982837426,-0.030071254587207
VACharles City County,0.000000000000000,0.412206619797975,-0.044464663633454
VACharlotte County,0.000000000000000,0.449070913261814,-0.042233269911286
VACharlottesville City,0.000000000000000,0.446160780150567,-0.034157998822862
VAChesapeake City,0.000000000000000,0.457385506953254,-0.077207981526417
VAChesterfield County,0.000000000000000,0.446444279495094,-0.041908658975919
VAClarke County,0.000000000000000,0.447063396343660,-0.032575542902187
VAColonial Heights City,0.000000000000000,0.450538808039802,-0.046990002996888
VACovington City,0.000000000000000,0.444531564925937,-0.020629401104848
VACraig County,0.000000000000000,0.443524063209443,-0.020043209135983
VACulpeper County,0.000000000000000,0.446905837998477,-0.036886435201810
VACumberland County,0.000000000000000,0.447247294980242,-0.036872357028012
VADanville City,0.000000000000000,0.447369018406581,-0.039735753881976
VADickenson County,0.000000000000000,0.443999109928539,-0.015339891558113
VADinwiddie County,0.000000000000000,0.448843462180591,-0.040622338163967
VAEssex County,0.000000000000000,0.412921317943690,-0.049598363528645
VAFairfax City,0.000000000000000,0.446744837092776,-0.032031458061106
VAFairfax County,0.000000000000000,0.421368815620508,-0.031674964228920
VAFalls Church City,0.000000000000000,0.446614167124351,-0.031334331024123
VAFauquier County,0.000000000000000,0.447531411728363,-0.035218908744164
VAFloyd County,0.000000000000000,0.444584434741190,-0.026901648648846
VAFluvanna County,0.000000000000000,0.445837115193944,-0.033985099923261
VAFranklin City,0.000000000000000,0.459448562798884,-0.058783144220603
VAFranklin County,0.000000000000000,0.446409389436071,-0.035313599625475
VAFrederick County,0.000000000000000,0.446214024685730,-0.029143163285296
VAFredericksburg City,0.000000000000000,0.446150710058721,-0.034779988191147
VAGalax City,0.000000000000000,0.446583244382819,-0.030280846255742
VAGiles County,0.000000000000000,0.444294060920892,-0.022054804133271
VAGloucester County,0.000000000000000,0.241575436925657,-0.037139540829355
VAGoochland County,0.000000000000000,0.447478384827552,-0.038415060936156
VAGrayson County,0.000000000000000,0.445330790730818,-0.024546094177465
VAGreene County,0.000000000000000,0.445261187169352,-0.031118028649724
VAGreensville County,0.000000000000000,0.450747766879379,-0.047850137397835
VAHalifax County,0.000000000000000,0.448121886074103,-0.040833311586687
VAHampton City,0.000000000000000,0.175359977302671,-0.030928221357441
VAHanover County,0.000000000000000,0.447430313327795,-0.038877844671978
VAHarrisonburg City,0.000000000000000,0.447753587815739,-0.038112324606859
VAHenrico County,0.000000000000000,0.447614449225229,-0.039104700425730
VAHenry County,0.000000000000000,0.445579975196835,-0.032046247869006
VAHighland County,0.000000000000000,0.444704731881105,-0.028272130979835
VAHopewell City,0.000000000000000,0.448959178428239,-0.053926897888201
VAIsle Of Wight County,0.000000000000000,0.454611855439362,-0.066296922836279
VAJames City County,0.000000000000000,0.129846973144293,-0.016679491557088
VAKing And Queen County,0.000000000000000,0.402015578690973,-0.045871568748010
VAKing George County,0.000000000000000,0.424871686611806,-0.044985945954397
VAKing William County,0.000000000000000,0.448494886136190,-0.049030547274931
VALancaster County,0.000000000000000,0.433089263267234,-0.068812488025494
VALee County,0.000000000000000,0.444422530944439,-0.017725562105527
VALoudoun County,0.000000000000000,0.447880976454510,-0.033094557597812
VALouisa County,0.000000000000000,0.446640580931261,-0.035836279118768
VALunenburg County,0.000000000000000,0.450694975495281,-0.042645646401644
VALynchburg City,0.000000000000000,0.446744511956724,-0.034422851949479
VAMadison County,0.000000000000000,0.445729607298830,-0.031554937152286
VAManassas City,0.000000000000000,0.445915023031589,-0.031163460247495
VAManassas Park City,0.000000000000000,0.445782639878545,-0.030348695427502
VAMartinsville City,0.000000000000000,0.445422342197267,-0.031024915271529
VAMathews County,0.000000000000000,0.316715209695911,-0.057689650730981
VAMecklenburg County,0.000000000000000,0.452210167066893,-0.046858733178126
VAMiddlesex County,0.000000000000000,0.455172261849112,-0.078328502617295
VAMontgomery County,0.000000000000000,0.444272921712697,-0.024966367291489
VANelson County,0.000000000000000,0.445881863519560,-0.032903458578372
VANew Kent County,0.000000000000000,0.418738114297732,-0.043978938262143
VANewport News City,0.000000000000000,0.418196992659623,-0.064299860977563
VANorfolk City,0.000000000000000,0.356152880269759,-0.062271775415147
VANorthampton County,0.000000000000000,0.240478680471073,-0.046094104233614
VANorthumberland County,0.000000000000000,0.474637648086599,-0.079507343551549
VANorton City,0.000000000000000,0.444352854240661,-0.018332804412207
VANottoway County,0.000000000000000,0.449623449007595,-0.040875990905052
VAOrange County,0.000000000000000,0.446191370458871,-0.035590098581779
VAPage County,0.000000000000000,0.444497991898097,-0.027672428226490
VAPatrick County,0.000000000000000,0.445221306010229,-0.028669489222346
VAPetersburg City,0.000000000000000,0.449274414860822,-0.045138711291237
VAPittsylvania County,0.000000000000000,0.447057669763905,-0.039320069322953
VAPoquoson City,0.000000000000000,0.148183163762063,-0.026493727226403
VAPortsmouth City,0.000000000000000,0.197424656602956,-0.032705598129217
VAPowhatan County,0.000000000000000,0.447232286670216,-0.037220396700372
VAPrince Edward County,0.000000000000000,0.449046959276933,-0.040581168779248
VAPrince George County,0.000000000000000,0.450427263338024,-0.047550020015096
VAPrince William County,0.000000000000000,0.425748532606983,-0.033060750533644
VAPulaski County,0.000000000000000,0.446185862789093,-0.030122390899292
VARadford City,0.000000000000000,0.445428544277653,-0.028559570956588
VARappahannock County,0.000000000000000,0.445383078662870,-0.028232754932457
VARichmond City,0.000000000000000,0.448293277987938,-0.041778918720141
VARichmond County,0.000000000000000,0.452456364723420,-0.057780982408032
VARoanoke City,0.000000000000000,0.444942822277983,-0.029152596611171
VARoanoke County,0.000000000000000,0.444688420757238,-0.027982530351709
VARockbridge County,0.000000000000000,0.445258334848241,-0.031151786720570
VARockingham County,0.000000000000000,0.447610502373194,-0.038198887165432
VARussell County,0.000000000000000,0.444227003709450,-0.021776020501262
VASalem City,0.000000000000000,0.444566753299185,-0.026583969815070
VAScott County,0.000000000000000,0.444739318571471,-0.019772525131170
VAShenandoah County,0.000000000000000,0.445227538649404,-0.028410519619578
VASmyth County,0.000000000000000,0.445211052549803,-0.025753042406681
VASouthampton County,0.000000000000000,0.457149185165106,-0.055721929176434
VASpotsylvania County,0.000000000000000,0.446114981801130,-0.035672731989998
VAStafford County,0.000000000000000,0.438286577630297,-0.032386088489202
VAStaunton City,0.000000000000000,0.447697537528997,-0.038655359152901
VASuffolk City,0.000000000000000,0.382686858254727,-0.058702018947193
VASurry County,0.000000000000000,0.448913704999814,-0.063157950805292
VASussex County,0.000000000000000,0.452549697463071,-0.049860716847723
VATazewell County,0.000000000000000,0.444644039866064,-0.022631478534097
VAVirginia Beach City,0.000000000000000,0.456828007664427,-0.085018163912214
VAWarren County,0.000000000000000,0.445271855246201,-0.026739851350641
VAWashington County,0.000000000000000,0.445136664841950,-0.025782521844761
VAWaynesboro City,0.000000000000000,0.447416890322216,-0.038219735168695
VAWestmoreland County,0.000000000000000,0.249015585535410,-0.036891007620311
VAWilliamsburg City,0.000000000000000,0.457153310763231,-0.055075247781815
VAWinchester City,0.000000000000000,0.446078245058308,-0.027822720873948
VAWise County,0.000000000000000,0.444825928738918,-0.018154212549690
VAWythe County,0.000000000000000,0.446434530059640,-0.029407498516346
VAYork County,0.000000000000000,0.305333514806604,-0.047652221464168
VTAddison County,0.000000000000000,0.449277611336591,-0.047902241995410
VTBennington County,0.000000000000000,0.446417486924287,-0.041594442146927
VTCaledonia County,0.000000000000000,0.446668057375084,-0.040663000536811
VTChittenden County,0.000000000000000,0.451389702614173,-0.048203827683611
VTEssex County,0.000000000000000,0.444366320432208,-0.034363295238314
VTFranklin County,0.000000000000000,0.449618208147716,-0.041415066936399
VTGrand Isle County,0.000000000000000,0.464384079854460,-0.065579708787252
VTLamoille County,0.000000000000000,0.446307607460132,-0.035976630627933
VTOrange County,0.000000000000000,0.447277391317945,-0.041692893124189
VTOrleans County,0.000000000000000,0.446567018454129,-0.041441005689264
VTRutland County,0.000000000000000,0.446431098259871,-0.039589131724485
VTWashington County,0.000000000000000,0.447522005226245,-0.038982244518541
VTWindham County,0.000000000000000,0.446226492048849,-0.042647933195219
VTWindsor County,0.000000000000000,0.446458032674497,-0.040674466297392
WAAdams County,0.000000000000000,0.000000000000000,0.000000000000000
WAAsotin County,0.000000000000000,0.000000000000000,0.000000000000000
WABenton County,0.000000000000000,0.000000000000000,0.000000000000000
WAChelan County,0.000000000000000,0.000000000000000,0.000000000000000
WAClallam County,0.000000000000000,0.000000000000000,0.000000000000000
WAClark County,0.000000000000000,0.000000000000000,0.000000000000000
WAColumbia County,0.000000000000000,0.000000000000000,0.000000000000000
WACowlitz County,0.000000000000000,0.000000000000000,0.000000000000000
WADouglas County,0.000000000000000,0.000000000000000,0.000000000000000
WAFerry County,0.000000000000000,0.000000000000000,0.000000000000000
WAFranklin County,0.000000000000000,0.000000000000000,0.000000000000000
WAGarfield County,0.000000000000000,0.000000000000000,0.000000000000000
WAGrant County,0.000000000000000,0.000000000000000,0.000000000000000
WAGrays Harbor County,0.000000000000000,0.000000000000000,0.000000000000000
WAIsland County,0.000000000000000,0.000000000000000,0.000000000000000
WAJefferson County,0.000000000000000,0.000000000000000,0.000000000000000
WAKing County,0.000000000000000,0.000000000000000,0.000000000000000
WAKitsap County,0.000000000000000,0.000000000000000,0.000000000000000
WAKittitas County,0.000000000000000,0.000000000000000,0.000000000000000
WAKlickitat County,0.000000000000000,0.000000000000000,0.000000000000000
WALewis County,0.000000000000000,0.000000000000000,0.000000000000000
WALincoln County,0.000000000000000,0.000000000000000,0.000000000000000
WAMason County,0.000000000000000,0.000000000000000,0.000000000000000
WAOkanogan County,0.000000000000000,0.000000000000000,0.000000000000000
WAPacific County,0.000000000000000,0.000000000000000,0.000000000000000
WAPend Oreille County,0.000000000000000,0.000000000000000,0.000000000000000
WAPierce County,0.000000000000000,0.000000000000000,0.000000000000000
WASan Juan County,0.000000000000000,0.000000000000000,0.000000000000000
WASkagit County,0.000000000000000,0.000000000000000,0.000000000000000
WASkamania County,0.000000000000000,0.000000000000000,0.000000000000000
WASnohomish County,0.000000000000000,0.000000000000000,0.000000000000000
WASpokane County,0.000000000000000,0.000000000000000,0.000000000000000
WAStevens County,0.000000000000000,0.000000000000000,0.000000000000000
WAThurston County,0.000000000000000,0.000000000000000,0.000000000000000
WAWahkiakum County,0.000000000000000,0.000000000000000,0.000000000000000
WAWalla Walla County,0.000000000000000,0.000000000000000,0.000000000000000
WAWhatcom County,0.000000000000000,0.000000000000000,0.000000000000000
WAWhitman County,0.000000000000000,0.000000000000000,0.000000000000000
WAYakima County,0.000000000000000,0.000000000000000,0.000000000000000
WIAdams County,0.000000000000000,0.000000000000000,0.000000000000000
WIAshland County,0.000000000000000,0.000000000000000,0.000000000000000
WIBarron County,0.000000000000000,0.000000000000000,0.000000000000000
WIBayfield County,0.000000000000000,0.000000000000000,0.000000000000000
WIBrown County,0.000000000000000,0.000000000000000,0.000000000000000
WIBuffalo County,0.000000000000000,0.000000000000000,0.000000000000000
WIBurnett County,0.000000000000000,0.000000000000000,0.000000000000000
WICalumet County,0.000000000000000,0.000000000000000,0.000000000000000
WIChippewa County,0.000000000000000,0.000000000000000,0.000000000000000
WIClark County,0.000000000000000,0.000000000000000,0.000000000000000
WIColumbia County,0.000000000000000,0.000000000000000,0.000000000000000
WICrawford County,0.000000000000000,0.000000000000000,0.000000000000000
WIDane County,0.000000000000000,0.000000000000000,0.000000000000000
WIDodge County,0.000000000000000,0.000000000000000,0.000000000000000
WIDoor County,0.000000000000000,0.000000000000000,0.000000000000000
WIDouglas County,0.000000000000000,0.000000000000000,0.000000000000000
WIDunn County,0.000000000000000,0.000000000000000,0.000000000000000
WIEau Claire County,0.000000000000000,0.000000000000000,0.000000000000000
WIFlorence County,0.000000000000000,0.000000000000000,0.000000000000000
WIFond Du Lac County,0.000000000000000,0.000000000000000,0.000000000000000
WIForest County,0.000000000000000,0.000000000000000,0.000000000000000
WIGrant County,0.000000000000000,0.000000000000000,0.000000000000000
WIGreen County,0.000000000000000,0.000000000000000,0.000000000000000
WIGreen Lake County,0.000000000000000,0.000000000000000,0.000000000000000
WIIowa County,0.000000000000000,0.000000000000000,0.000000000000000
WIIron County,0.000000000000000,0.000000000000000,0.000000000000000
WIJackson County,0.000000000000000,0.000000000000000,0.000000000000000
WIJefferson County,0.000000000000000,0.000000000000000,0.000000000000000
WIJuneau County,0.000000000000000,0.000000000000000,0.000000000000000
WIKenosha County,0.000000000000000,0.000000000000000,0.000000000000000
WIKewaunee County,0.000000000000000,0.000000000000000,0.000000000000000
WILa Crosse County,0.000000000000000,0.000000000000000,0.000000000000000
WILafayette County,0.000000000000000,0.000000000000000,0.000000000000000
WILanglade County,0.000000000000000,0.000000000000000,0.000000000000000
WILincoln County,0.000000000000000,0.000000000000000,0.000000000000000
WIManitowoc County,0.000000000000000,0.000000000000000,0.000000000000000
WIMarathon County,0.000000000000000,0.000000000000000,0.000000000000000
WIMarinette County,0.000000000000000,0.000000000000000,0.000000000000000
WIMarquette County,0.000000000000000,0.000000000000000,0.000000000000000
WIMenominee County,0.000000000000000,0.000000000000000,0.000000000000000
WIMilwaukee County,0.000000000000000,0.000000000000000,0.000000000000000
WIMonroe County,0.000000000000000,0.000000000000000,0.000000000000000
WIOconto County,0.000000000000000,0.000000000000000,0.000000000000000
WIOneida County,0.000000000000000,0.000000000000000,0.000000000000000
WIOutagamie County,0.000000000000000,0.000000000000000,0.000000000000000
WIOzaukee County,0.000000000000000,0.000000000000000,0.000000000000000
WIPepin County,0.000000000000000,0.000000000000000,0.000000000000000
WIPierce County,0.000000000000000,0.000000000000000,0.000000000000000
WIPolk County,0.000000000000000,0.000000000000000,0.000000000000000
WIPortage County,0.000000000000000,0.000000000000000,0.000000000000000
WIPrice County,0.000000000000000,0.000000000000000,0.000000000000000
WIRacine County,0.000000000000000,0.000000000000000,0.000000000000000
WIRichland County,0.000000000000000,0.000000000000000,0.000000000000000
WIRock County,0.000000000000000,0.000000000000000,0.000000000000000
WIRusk County,0.000000000000000,0.000000000000000,0.000000000000000
WISauk County,0.000000000000000,0.000000000000000,0.000000000000000
WISawyer County,0.000000000000000,0.000000000000000,0.000000000000000
WIShawano County,0.000000000000000,0.000000000000000,0.000000000000000
WISheboygan County,0.000000000000000,0.000000000000000,0.000000000000000
WISt. Croix County,0.000000000000000,0.000000000000000,0.000000000000000
WITaylor County,0.000000000000000,0.000000000000000,0.000000000000000
WITrempealeau County,0.000000000000000,0.000000000000000,0.000000000000000
WIVernon County,0.000000000000000,0.000000000000000,0.000000000000000
WIVilas County,0.000000000000000,0.000000000000000,0.000000000000000
WIWalworth County,0.000000000000000,0.000000000000000,0.000000000000000
WIWashburn County,0.000000000000000,0.000000000000000,0.000000000000000
WIWashington County,0.000000000000000,0.000000000000000,0.000000000000000
WIWaukesha County,0.000000000000000,0.000000000000000,0.000000000000000
WIWaupaca County,0.000000000000000,0.000000000000000,0.000000000000000
WIWaushara County,0.000000000000000,0.000000000000000,0.000000000000000
WIWinnebago County,0.000000000000000,0.000000000000000,0.000000000000000
WIWood County,0.000000000000000,0.000000000000000,0.000000000000000
WVBarbour County,0.000000000000000,0.444883641972437,-0.027087332271002
WVBerkeley County,0.000000000000000,0.446690567642949,-0.029574215085027
WVBoone County,0.000000000000000,0.445230543544687,-0.012764126380613
WVBraxton County,0.000000000000000,0.444057789940745,-0.015661139280921
WVBrooke County,0.000000000000000,0.446647581696912,-0.019868728634000
WVCabell County,0.000000000000000,0.444884154835806,-0.012807965472347
WVCalhoun County,0.000000000000000,0.445508631628158,-0.014196865065827
WVClay County,0.000000000000000,0.445382472965817,-0.013143396051839
WVDoddridge County,0.000000000000000,0.444178476556961,-0.016759849085041
WVFayette County,0.000000000000000,0.445089199294014,-0.015657492855959
WVGilmer County,0.000000000000000,0.444424421898144,-0.011673636451053
WVGrant County,0.000000000000000,0.444673668726524,-0.021991314236902
WVGreenbrier County,0.000000000000000,0.443885609914338,-0.020280401102011
WVHampshire County,0.000000000000000,0.444616588665627,-0.019901848426535
WVHancock County,0.000000000000000,0.447600243004697,-0.019694600483556
WVHardy County,0.000000000000000,0.444759545706059,-0.023694583450114
WVHarrison County,0.000000000000000,0.445164573281974,-0.026589798641351
WVJackson County,0.000000000000000,0.445873146009410,-0.013966019717671
WVJefferson County,0.000000000000000,0.447746359455411,-0.032788423809068
WVKanawha County,0.000000000000000,0.445642783029905,-0.013655102431974
WVLewis County,0.000000000000000,0.444156286299977,-0.022609339132203
WVLincoln County,0.000000000000000,0.444830139020546,-0.013216642687396
WVLogan County,0.000000000000000,0.445054758567526,-0.013278641294536
WVMarion County,0.000000000000000,0.445550480715425,-0.027400687536039
WVMarshall County,0.000000000000000,0.444793768329549,-0.013683447467247
WVMason County,0.000000000000000,0.445260422388034,-0.010837210740571
WVMcdowell County,0.000000000000000,0.444460531111987,-0.017634480591288
WVMercer County,0.000000000000000,0.445152987232408,-0.022364732310102
WVMineral County,0.000000000000000,0.444509043078971,-0.018294585172911
WVMingo County,0.000000000000000,0.444705694050053,-0.013686026703193
WVMonongalia County,0.000000000000000,0.445200430012411,-0.020880913464148
WVMonroe County,0.000000000000000,0.443838453635849,-0.022162928612690
WVMorgan County,0.000000000000000,0.444994136617620,-0.020168338379805
WVNicholas County,0.000000000000000,0.444397446512120,-0.017639262486808
