Industry,Occupancy,Key,LiveIndicator,Buildings,MB,Contents,BI,BaseTIV,BaseConstruction,BaseSprinkler,BasePCCode,ATC Occupancy Group,ATC Code,Wildfire Load,Waiting Period Base (Days) - NACP,Waiting Period Base (Days) - OM,EB Code,Bpro risk class,OccupancyDescription
,,,,0,0,0,0,4250000,1,No,0,,0,0,0,0,,,Placeholder - Description to follow
Agriculture/Farming,Beef Cattle Ranching and Farming,Agriculture/FarmingBeef Cattle Ranching and Farming,Old,0.000805718,0.000805718,0.000805718,0.001007147,5000000,2,No,0,Agriculture,20,0.25,3,2,D,ERR,Placeholder - Description to follow
Agriculture/Farming,Broilers and Other Meat Type Chicken Production,Agriculture/FarmingBroilers and Other Meat Type Chicken Production,Old,0.000805718,0.000805718,0.000805718,0.001007147,5000000,2,No,0,Agriculture,20,0.25,3,2,C,Medium,Placeholder - Description to follow
Agriculture/Farming,Chicken Egg Production,Agriculture/FarmingChicken Egg Production,Live,0.002764191,0.002764191,0.002764191,0.003455239,5000000,2,No,0,Agriculture,20,0.25,3,2,C,Medium,Placeholder - Description to follow
Agriculture/Farming,Cotton Farming,Agriculture/FarmingCotton Farming,Live,0.000805718,0.000805718,0.000805718,0.001007147,5000000,2,No,0,Agriculture,20,0.25,3,2,C,Medium,Placeholder - Description to follow
Agriculture/Farming,Cotton Ginning,Agriculture/FarmingCotton Ginning,Live,0.002764191,0.002764191,0.002764191,0.003455239,5000000,2,No,0,Agriculture,20,1,3,2,D,Surch Fire,Placeholder - Description to follow
Agriculture/Farming,Crop Farming,Agriculture/FarmingCrop Farming,Live,0.000604288,0.000604288,0.000604288,0.00075536,5000000,2,No,0,Agriculture,20,1,3,2,C,Medium,Placeholder - Description to follow
Agriculture/Farming,Dairy Cattle and Milk Production,Agriculture/FarmingDairy Cattle and Milk Production,Live,0.000805718,0.000805718,0.000805718,0.001007147,5000000,2,No,0,Agriculture,20,0.25,3,2,C,Medium-High,Placeholder - Description to follow
Agriculture/Farming,Farming,Agriculture/FarmingFarming,Old,0.000805718,0.000805718,0.000805718,0.001007147,5000000,2,No,0,Agriculture,20,1,3,2,C,Medium,Placeholder - Description to follow
Agriculture/Farming,Fish Hatchery,Agriculture/FarmingFish Hatchery,Live,0.000604288,0.000604288,0.000604288,0.00075536,5000000,2,No,0,Agriculture,20,0.25,3,2,A,Medium,Placeholder - Description to follow
Agriculture/Farming,Grain Silos,Agriculture/FarmingGrain Silos,Live,0.002764191,0.002764191,0.002764191,0.003455239,5000000,2,No,0,Agriculture,20,0.25,3,2,C,Medium-High,Placeholder - Description to follow
Agriculture/Farming,Greenhouses,Agriculture/FarmingGreenhouses,Live,0.002359602,0.002359602,0.002359602,0.002949503,2000000,2,No,0,Agriculture,20,1,3,2,C,Medium,Placeholder - Description to follow
Agriculture/Farming,Hog and Pig Farming,Agriculture/FarmingHog and Pig Farming,Old,0.000805718,0.000805718,0.000805718,0.001007147,5000000,2,No,0,Agriculture,20,0.25,3,2,D,Medium,Placeholder - Description to follow
Agriculture/Farming,Livestock Farming,Agriculture/FarmingLivestock Farming,Live,0.000805718,0.000805718,0.000805718,0.001007147,5000000,2,No,0,Agriculture,20,0.25,3,2,D,Medium,Placeholder - Description to follow
Agriculture/Farming,Peat Processing,Agriculture/FarmingPeat Processing,Live,0.002764191,0.002764191,0.002764191,0.003455239,5000000,2,No,0,Agriculture,20,1,3,2,B,Unknown,Placeholder - Description to follow
Agriculture/Farming,Poultry Hatcheries,Agriculture/FarmingPoultry Hatcheries,Live,0.002517868,0.002517868,0.002517868,0.003147335,5000000,2,No,0,Agriculture,20,0.25,3,2,D,Medium,Placeholder - Description to follow
Agriculture/Farming,Poultry Production,Agriculture/FarmingPoultry Production,Live,0.002014295,0.002014295,0.002014295,0.002517868,5000000,2,No,0,Agriculture,20,0.25,3,2,D,Medium,Placeholder - Description to follow
Agriculture/Farming,Support Activities For Animal Production,Agriculture/FarmingSupport Activities For Animal Production,Live,0.001007147,0.001007147,0.001007147,0.001258934,5000000,2,No,0,Agriculture,20,0.25,3,2,D,Medium,Placeholder - Description to follow
Agriculture/Farming,Tobacco Farming,Agriculture/FarmingTobacco Farming,Live,0.000805718,0.000805718,0.000805718,0.001007147,5000000,2,No,0,Agriculture,20,0.25,3,2,C,Medium,Placeholder - Description to follow
