Lower Ratio,Upper Ratio,Lower Ratio Factor,Upper Ratio Factor
0.0,0.1,1.4,1.4
0.1,0.2,1.36,1.32
0.2,0.3,1.32,1.28
0.3,0.4,1.28,1.24
0.4,0.5,1.24,1.2
0.5,0.6,1.2,1.16
0.6,0.7,1.16,1.12
0.7,0.8,1.12,1.08
0.8,0.9,1.08,1.04
0.9,1.0,1.04,1.0
1.0,1.1,1.0,0.985
1.1,1.2,0.985,0.97
1.2,1.3,0.97,0.955
1.3,1.4,0.955,0.94
1.4,1.5,0.94,0.925
1.5,1.6,0.925,0.91
1.6,1.7,0.91,0.895
1.7,1.8,0.895,0.88
1.8,1.9,0.88,0.865
1.9,2.0,0.865,0.85
2.0,2.1,0.85,0.835
2.1,2.2,0.835,0.82
2.2,2.3,0.82,0.805
2.3,2.4,0.805,0.79
2.4,2.5,0.79,0.775
2.5,2.6,0.775,0.76
2.6,2.7,0.76,0.745
2.7,2.8,0.745,0.73
2.8,2.9,0.73,0.715
2.9,3.0,0.715,0.7
3.0,3.0,0.7,0.7
