Limit,Light,Heavy,BUSA A&E
100000,0.5,0.6,0.55
250000,0.65,0.75,0.8
500000,0.8,0.85,1
1000000,1,1,1.25
2000000,1.35,1.5,1.76
3000000,1.66,1.8,2.07
4000000,1.81,1.95,2.26
5000000,1.96,2.1,2.45
6000000,2.14,2.38,2.62
7000000,2.31,2.64,2.77
8000000,2.46,2.89,2.91
9000000,2.61,3.13,3.04
10000000,2.74,3.36,3.16
11000000,2.81,3.52,3.16
12000000,2.88,3.68,3.16
13000000,2.94,3.83,3.16
14000000,3,3.98,3.16
15000000,3.06,4.12,3.16
16000000,3.09,4.21,3.16
17000000,3.11,4.31,3.16
18000000,3.14,4.4,3.16
19000000,3.16,4.49,3.16
20000000,3.18,4.57,3.16
21000000,3.19,4.63,3.16
22000000,3.2,4.68,3.16
23000000,3.21,4.74,3.16
24000000,3.22,4.79,3.16
25000000,3.23,4.84,3.16
26000000,3.24,4.88,3.16
27000000,3.24,4.91,3.16
28000000,3.25,4.94,3.16
29000000,3.25,4.97,3.16
30000000,3.25,5.01,3.16
31000000,3.25,5.03,3.16
32000000,3.26,5.05,3.16
33000000,3.26,5.07,3.16
34000000,3.26,5.08,3.16
35000000,3.26,5.1,3.16
36000000,3.26,5.12,3.16
37000000,3.26,5.13,3.16
38000000,3.26,5.14,3.16
39000000,3.26,5.15,3.16
40000000,3.26,5.16,3.16
41000000,3.26,5.17,3.16
42000000,3.27,5.18,3.16
43000000,3.27,5.18,3.16
44000000,3.27,5.19,3.16
45000000,3.27,5.2,3.16
46000000,3.27,5.2,3.16
47000000,3.27,5.21,3.16
48000000,3.27,5.21,3.16
49000000,3.27,5.21,3.16
50000000,3.27,5.22,3.16
