State,BUSA Factor
California -Territory 1,1.6614370564921297
California -Territory 2,1.3859156619134227
New York 5 Boroughs,1.1997700361404546
New York Other than 5 Boroughs,1.0502063952783318
Alabama,1.099678460102786
Florida,1.5841967343218664
