policy_id,model_version_id,datafix,status,time,error_step,error_message,error_detail,time_taken,policy_id_new
411068,5581,yes,,,,,,,
411115,5581,yes,,,,,,,
423795,5581,yes,,,,,,,
424431,5581,yes,,,,,,,
424792,5581,yes,,,,,,,
426023,5581,yes,,,,,,,
435398,5581,yes,,,,,,,
435838,5581,yes,,,,,,,
437858,5581,yes,,,,,,,
449659,5581,yes,,,,,,,
453191,5581,yes,,,,,,,
456116,5581,yes,,,,,,,
459241,5581,yes,,,,,,,
459307,5581,yes,,,,,,,
483574,5581,yes,,,,,,,
484427,5581,yes,,,,,,,
484640,5581,yes,,,,,,,
502928,5581,yes,,,,,,,
502996,5581,yes,,,,,,,
506390,5581,yes,,,,,,,
506435,5581,yes,,,,,,,
508172,5581,yes,,,,,,,
508629,5581,yes,,,,,,,
512416,5581,yes,,,,,,,
514576,5581,yes,,,,,,,
514604,5581,yes,,,,,,,
515507,5581,yes,,,,,,,
515649,5581,yes,,,,,,,
515738,5581,yes,,,,,,,
519072,5581,yes,,,,,,,
533640,5581,yes,,,,,,,
534448,5581,yes,,,,,,,
549889,5581,yes,,,,,,,
552249,5581,yes,,,,,,,
552494,5581,yes,,,,,,,
553956,5581,yes,,,,,,,
554312,5581,yes,,,,,,,
554684,5581,yes,,,,,,,
555016,5581,yes,,,,,,,
555021,5581,yes,,,,,,,
555023,5581,yes,,,,,,,
555053,5581,yes,,,,,,,
555144,5581,yes,,,,,,,
555253,5581,yes,,,,,,,
555393,5581,yes,,,,,,,
555571,5581,yes,,,,,,,
559654,5581,yes,,,,,,,
560071,5581,yes,,,,,,,
560523,5581,yes,,,,,,,
560713,5581,yes,,,,,,,
560756,5581,yes,,,,,,,
561169,5581,yes,,,,,,,
561188,5581,yes,,,,,,,
561702,5581,yes,,,,,,,
563165,5581,yes,,,,,,,
563599,5581,yes,,,,,,,
566423,5581,yes,,,,,,,
566457,5581,yes,,,,,,,
566569,5581,yes,,,,,,,
566616,5581,yes,,,,,,,
566623,5581,yes,,,,,,,
566624,5581,yes,,,,,,,
570783,5581,yes,,,,,,,
586815,5581,yes,,,,,,,
587173,5581,yes,,,,,,,
588577,5581,yes,,,,,,,
588693,5581,yes,,,,,,,
590017,5581,yes,,,,,,,
590039,5581,yes,,,,,,,
590226,5581,yes,,,,,,,
590286,5581,yes,,,,,,,
591125,5581,yes,,,,,,,
591687,5581,yes,,,,,,,
599185,5581,yes,,,,,,,
599342,5581,yes,,,,,,,
599864,5581,yes,,,,,,,
610304,5581,yes,,,,,,,
610308,5581,yes,,,,,,,
610360,5581,yes,,,,,,,
610368,5581,yes,,,,,,,
610440,5581,yes,,,,,,,
610665,5581,yes,,,,,,,
611534,5581,yes,,,,,,,
611550,5581,yes,,,,,,,
611709,5581,yes,,,,,,,
611865,5581,yes,,,,,,,
626429,5581,yes,,,,,,,
631426,5581,yes,,,,,,,
631687,5581,yes,,,,,,,
631811,5581,yes,,,,,,,
631884,5581,yes,,,,,,,
632226,5581,yes,,,,,,,
635139,5581,yes,,,,,,,
635142,5581,yes,,,,,,,
635148,5581,yes,,,,,,,
635328,5581,yes,,,,,,,
635500,5581,yes,,,,,,,
640962,5581,yes,,,,,,,
641016,5581,yes,,,,,,,
641036,5581,yes,,,,,,,
641149,5581,yes,,,,,,,
641158,5581,yes,,,,,,,
641161,5581,yes,,,,,,,
641188,5581,yes,,,,,,,
641218,5581,yes,,,,,,,
641288,5581,yes,,,,,,,
643372,5581,yes,,,,,,,
644221,5581,yes,,,,,,,
644738,5581,yes,,,,,,,
645319,5581,yes,,,,,,,
645484,5581,yes,,,,,,,
651703,5581,yes,,,,,,,
651712,5581,yes,,,,,,,
651739,5581,yes,,,,,,,
651864,5581,yes,,,,,,,
652120,5581,yes,,,,,,,
652136,5581,yes,,,,,,,
657408,5581,yes,,,,,,,
660243,5581,yes,,,,,,,
660542,5581,yes,,,,,,,
660777,5581,yes,,,,,,,
662293,5581,yes,,,,,,,
662451,5581,yes,,,,,,,
662510,5581,yes,,,,,,,
663389,5581,yes,,,,,,,
663556,5581,yes,,,,,,,
663579,5581,yes,,,,,,,
663596,5581,yes,,,,,,,
664139,5581,yes,,,,,,,
664225,5581,yes,,,,,,,
664226,5581,yes,,,,,,,
664228,5581,yes,,,,,,,
664362,5581,yes,,,,,,,
664414,5581,yes,,,,,,,
664430,5581,yes,,,,,,,
664439,5581,yes,,,,,,,
669855,5581,yes,,,,,,,
670284,5581,yes,,,,,,,
670316,5581,yes,,,,,,,
670522,5581,yes,,,,,,,
671500,5581,yes,,,,,,,
674555,5581,yes,,,,,,,
675500,5581,yes,,,,,,,
675799,5581,yes,,,,,,,
680092,5581,yes,,,,,,,
682021,5581,yes,,,,,,,
682568,5581,yes,,,,,,,
690608,5581,yes,,,,,,,
690631,5581,yes,,,,,,,
691876,5581,yes,,,,,,,
692073,5581,yes,,,,,,,
692273,5581,yes,,,,,,,
692669,5581,yes,,,,,,,
693074,5581,yes,,,,,,,
693243,5581,yes,,,,,,,
693258,5581,yes,,,,,,,
693261,5581,yes,,,,,,,
693426,5581,yes,,,,,,,
693437,5581,yes,,,,,,,
694471,5581,yes,,,,,,,
694544,5581,yes,,,,,,,
694644,5581,yes,,,,,,,
694948,5581,yes,,,,,,,
695338,5581,yes,,,,,,,
697131,5581,yes,,,,,,,
697227,5581,yes,,,,,,,
698417,5581,yes,,,,,,,
698419,5581,yes,,,,,,,
698507,5581,yes,,,,,,,
698774,5581,yes,,,,,,,
701176,5581,yes,,,,,,,
701177,5581,yes,,,,,,,
701179,5581,yes,,,,,,,
701181,5581,yes,,,,,,,
701194,5581,yes,,,,,,,
701414,5581,yes,,,,,,,
701425,5581,yes,,,,,,,
701779,5581,yes,,,,,,,
707295,5581,yes,,,,,,,
711846,5581,yes,,,,,,,
711851,5581,yes,,,,,,,
717398,5581,yes,,,,,,,
718165,5581,yes,,,,,,,
718301,5581,yes,,,,,,,
718400,5581,yes,,,,,,,
726418,5581,yes,,,,,,,
726599,5581,yes,,,,,,,
726901,5581,yes,,,,,,,
728247,5581,yes,,,,,,,
728980,5581,yes,,,,,,,
729049,5581,yes,,,,,,,
729188,5581,yes,,,,,,,
732683,5581,yes,,,,,,,
735231,5581,yes,,,,,,,
736803,5581,yes,,,,,,,
750708,5581,yes,,,,,,,
754671,5581,yes,,,,,,,
757921,5581,yes,,,,,,,
766156,5581,yes,,,,,,,
766485,5581,yes,,,,,,,
772214,5581,yes,,,,,,,
772234,5581,yes,,,,,,,
772374,5581,yes,,,,,,,
773422,5581,yes,,,,,,,
775668,5581,yes,,,,,,,
780251,5581,yes,,,,,,,
780584,5581,yes,,,,,,,
789526,5581,yes,,,,,,,
789541,5581,yes,,,,,,,
789777,5581,yes,,,,,,,
789782,5581,yes,,,,,,,
789783,5581,yes,,,,,,,
