Grade,Score,Tenor,Value
AAA,21,1,1
AA+,20,1,1
AA,19,1,1
AA-,18,1,1
A+,17,1,1
A,16,1,1
A-,15,1,1
BBB+,14,1,1
BBB,13,1,1
BBB-,12,1,1
BB+,11,1,1
BB,10,1,1
BB-,9,1,1
B+,8,1,1
B,7,1,1
B-,6,1,1
CCC+,5,1,1
CCC,4,1,1
CCC-,3,1,1
CC,2,1,1
C,1,1,1
AAA,21,2,1.476167099
AA+,20,2,1.328445531
AA,19,2,1.195506613
AA-,18,2,1.225371709
A+,17,2,1.255982869
A,16,2,1.28735873
A-,15,2,1.249994981
BBB+,14,2,1.213715661
BBB,13,2,1.178489297
BBB-,12,2,1.15480476
BB+,11,2,1.131596219
BB,10,2,1.108854109
BB-,9,2,1.091922858
B+,8,2,1.075250132
B,7,2,1.058831984
B-,6,2,1.010106692
CCC+,5,2,1
CCC,4,2,1
CCC-,3,2,1
CC,2,2,1
C,1,2,1
AAA,21,3,2.017018736
AA+,20,3,1.682326557
AA,19,3,1.403171222
AA-,18,3,1.456253242
A+,17,3,1.511343356
A,16,3,1.568517532
A-,15,3,1.492950756
BBB+,14,3,1.421024576
BBB,13,3,1.352563597
BBB-,12,3,1.304523043
BB+,11,3,1.258188801
BB,10,3,1.213500265
BB-,9,3,1.172786156
B+,8,3,1.133438045
B,7,3,1.095410101
B-,6,3,1.010106692
CCC+,5,3,1
CCC,4,3,1
CCC-,3,3,1
CC,2,3,1
C,1,3,1
AAA,21,4,2.623175907
AA+,20,4,2.062160987
AA,19,4,1.621129534
AA-,18,4,1.692268423
A+,17,4,1.766529049
A,16,4,1.844048402
A-,15,4,1.72989496
BBB+,14,4,1.62280804
BBB,13,4,1.522350198
BBB-,12,4,1.448004911
BB+,11,4,1.377290342
BB,10,4,1.310029179
BB-,9,4,1.241626867
B+,8,4,1.176796138
B,7,4,1.115350502
B-,6,4,1.010106692
CCC+,5,4,1
CCC,4,4,1
CCC-,3,4,1
CC,2,4,1
C,1,4,1
AAA,21,5,3.294336937
AA+,20,5,2.46721891
AA,19,5,1.847767629
AA-,18,5,1.932682219
A+,17,5,2.02149908
A,16,5,2.114397539
A-,15,5,1.96129681
BBB+,14,5,1.819281902
BBB,13,5,1.687550106
BBB-,12,5,1.584286189
BB+,11,5,1.487341158
BB,10,5,1.39632835
BB-,9,5,1.298500376
B+,8,5,1.207526314
B,7,5,1.122925974
B-,6,5,1.010106692
CCC+,5,5,1
CCC,4,5,1
CCC-,3,5,1
CC,2,5,1
C,1,5,1
AAA,21,6,4.029466128
AA+,20,6,2.89621835
AA,19,6,2.081685381
AA-,18,6,2.176677882
A+,17,6,2.276005128
A,16,6,2.379864924
A-,15,6,2.187304676
BBB+,14,6,2.010324912
BBB,13,6,1.847664982
BBB-,12,6,1.712653251
BB+,11,6,1.587507035
BB,10,6,1.471505447
BB-,9,6,1.344083367
B+,8,6,1.227695148
B,7,6,1.122925974
B-,6,6,1.010106692
CCC+,5,6,1
CCC,4,6,1
CCC-,3,6,1
CC,2,6,1
C,1,6,1
AAA,21,7,4.826949046
AA+,20,7,3.347615937
AA,19,7,2.321659572
AA-,18,7,2.423448058
A+,17,7,2.529699255
A,16,7,2.640608822
A-,15,7,2.407877239
BBB+,14,7,2.195657589
BBB,13,7,2.00214204
BBB-,12,7,1.83264143
BB+,11,7,1.677490679
BB,10,7,1.535474934
BB-,9,7,1.379385915
B+,8,7,1.239164158
B,7,7,1.122925974
B-,6,7,1.010106692
CCC+,5,7,1
CCC,4,7,1
CCC-,3,7,1
CC,2,7,1
C,1,7,1
AAA,21,8,5.684717869
AA+,20,8,3.819745451
AA,19,8,2.566610279
AA-,18,8,2.672222719
A+,17,8,2.782180964
A,16,8,2.896663838
A-,15,8,2.622865341
BBB+,14,8,2.374946829
BBB,13,8,2.150462074
BBB-,12,8,1.944010396
BB+,11,8,1.757378782
BB,10,8,1.588664438
BB-,9,8,1.405560772
B+,8,8,1.243560967
