Broker Name
AAA Insurance & Reinsurance Brokers Ltd 
Agnew Higgins Pickering & Company Limited 
Alec Finch Ltd 
Alexander Forbes Risk Services Limited 
Alsford Page & Gems Limited 
Alston Gayler & Co Ltd 
Alwen Hough Johnson Limited 
Amlin Underwriting Services Ltd 
AON DIFC
AON FRANCE
Aon Group Limited 
"Aon Re Italia Srl, Italy "
Aon Risk Services UK Limited 
ARAB EUROPEAN
ARAB EUROPEAN REINSURANCE BROKERS
ARB International Limited 
Arthur J Gallagher (UK) Limited 
Ballantyne McKean & Sullivan Limited 
BDB Limited 
Beazley Pool Re 
Bell and Clements Limited 
Benfield Corporate Risks Ltd 
Bennett Gould and Partners Limited 
BERRY PALMER & LYLE SINGAPORE PTE LTD
Berry Palmer and Lyle Limited 
Besso Limited 
Bloemers and Partners Limited 
BMS Harris & Dixon Insurance Brokers Limited 
BMT Salavage Ltd 
Bowood Partners Limited 
BPL
BPL PARIS
"Butcher, Robinson & Staples International Ltd "
C J Coleman & Co Ltd 
Carroll Insurance Group Ltd 
Catlin Risk Solutions 
CBC UK Limited 
Channing Lucas and Partners Ltd 
Chesterfield Insurance Brokers Limited 
CityNet Insurance Brokers Ltd 
Clegg Gifford & Co Ltd 
Clyde & Co 
COBRA GAL Ltd 
COFARCO
Cogent Resources Limited 
Colemont Insurance Brokers Ltd 
Connor Hale Kerslake Limited 
Contractsure Limited 
Cooper Gay & Co Limited 
Corrie Bauckham Batts Limited 
Cosmos Risk Solutions Limited 
Coyle Hamilton Willis Limited 
Craven and Partners Limited 
CRC
Crispin Speers and Partners Limited 
CT - LPSO Direct Settlement/Claim Transaction 
CT HBA Ltd (part of Lochain Patrick) 
CT Senator Consultants Limited (fee chasers) 
Dashwood Brewer and Phipps Limited 
DB SINGAPORE
Denis M Clayton & Company Limited 
Dickson Manchester & Co Limited 
Endeavour Insurance Services Ltd 
ESR Insurance Services Limited 
European Brokers Associated Limited 
FILHET ALLARD
FirstCity Partnership Limited 
FP Marine Risks Limited 
Gallagher Re 
Genavco Insurance Limited 
Giles Insurance Brokers Ltd 
Gina Fitzgerald Ltd 
Glencairn Limited(changed name from Glenrand) 
GRAS SAVOYE
Gresham Insurance Brokers Limited 
Griffiths and Armour Global Risks 
Grosvenor Brokers (America) LLC 
Groupe Eyssautier 
Guest Krieger Limited 
H W Wood Limited 
Harman Wicks & Swayne Limited 
Heath Insurance Broking Limited 
"Heath Lambert, Illinois "
Houlder Insurance Services Limited 
Howden Insurance Brokers Limited 
HRH Reinsurance Brokers Limited 
HSBC Insurance Brokers Limited 
Ince & Co 
International Professional Risks Ltd 
INTERNATIONAL RISK CONSULTANTS
International Risk Solutions Ltd 
J Boda & Co (UK) Ltd 
J K Buckenham Limited 
James Hampden Insurance Brokers Ltd 
JARDINE LLOYD THOMPSON LimitED
JARDINE LLOYD THOMPSON LTD
JARDINE LLOYD THOMPSON PTE LTD
JIS (Chile) Ltd 
JLT Corporate Risks Limited 
JLT Risk Solutions Limited 
JLT SPECIALTY LTD
John B Collins Associates (UK) Ltd 
John Bannerman Ltd 
John Holman & Sons Ltd 
Johnson & Higgins Utah 
Kite Waren and Wilson Limited 
KM Dastur & Co Ltd 
Lloyd & Partners Ltd 
Lloyds Japan Inc 
Lockton Companies International Ltd 
London Market Insurance Brokers Limited 
London Special Risks Limited 
Lonsdale Insurance Brokers Limited 
Loss adjuster on Transpac 
"Marine, Aviation & General (London) Limited "
Market Insurance Brokers 
MARSH
MARSH FRANCE
Marsh Limited 
MARSH TRADE CREDIT
Meacock 
Meridian Risk Solutions Limited 
Miles Smith Broking Limited 
MILLER FRANCE
Miller Insurance Services Limited 
N.I.B. (UK) Ltd 
NATIONAL CREDIT INSURANCE (BROKERS) PTY LTD
"Nausch, Hogan & Murray "
NCG Professional Risks Limited 
New Entry
NEWEDGE BROKER LTD HONG KONG
Newman Martin & Buchan Limited 
Norman Butcher & Jones Group Limited 
OAMPS (UK) Limited 
Opus London Market Limited 
Oval International Limited 
Oxygen Insurance Brokers Ltd 
Paragon International Insurance Brokers Ltd 
Paul Napier Limited 
PLATUS 
Prentis Donegan & Partners Limited 
Price Forbes Limited 
Priest & Co 
PRUDENTIA
PRUDENTIA DUBAI
PWS International Limited 
PYV Limited 
R K Carvill & Co Limited 
R K Harrison Insurance Brokers Limited 
Ramon International Insurance Brokers Limited 
Rasini Vigano Limited 
Rattner Mackenzie Limited 
RFIB Group Limited 
RIB Reinsurance International Brokers SpA 
RL Davison & Co Limited 
Robertson Taylor facility loss adjuster 
Ropner Insurance Services Limited 
Rostralis (Heath Approved) 
Safeonline LLP 
SBJ Limited 
Seascope Insurance Services Limited 
Senior Wright Limited 
SIACI SAINT-HONORE
Smith Bilbrough & Co Limited 
SMYTH TRADE CREDIT LLC
Societe Anonyme D'Intermediaries Luxembourgeois 
SOL MONDO
SOLMONDO
SOLMONDO FRANCE
Somerville Insurance Services Limited 
Special Contingency Risks Limited 
Special Risks Insurance Brokers Limited 
SSL Insurance Brokers Limited 
Stow & Croton Limited 
STRATHEARN INSURANCE BROKERS
SVB Underwriting Services Limited 
"Swinglehurst, Trew & Partners Limited "
Tasker & Partners Limited 
Texel Finance Ltd 
The Broker Network Limited 
Thompson Heath & Bond Limited 
Towergate London Market Limited 
Tyser & Co Limited 
United Insurance Brokers Limited 
W Denis Insurance Brokers Plc 
Walsham Brothers & Co Limited 
WILLIS
Willis Limited 
Windsor Insurance Brokers Limited 
Windsor Professional Indemnity Limited 
Woodgate and Partners Ltd 
