Industry,Industry Group
Speciality Financials (Financials),Financials
Speciality Investment Services (Financials),Financials
Specialty Chemicals (Basic Materials),Basic Materials
Specialty Mining & Metals (Basic Materials),Basic Materials
Steel (Basic Materials),Basic Materials
Sugar (Non-Cyclical Consumer Goods & Services),Non-Cyclical Consumer Goods & Services
Textiles & Leather Goods (Cyclical Consumer),Cyclical Consumer Goods & Services
Tin (Basic Materials),Basic Materials
Tires & Rubber Products (Cyclical Consumer),Cyclical Consumer Goods & Services
Tobacco (Non-Cyclical Consumer Goods & Services),Non-Cyclical Consumer Goods & Services
Toys & Games (Cyclical Consumer),Cyclical Consumer Goods & Services
Water & Other Utilities (Utilities ),Utilities
Wireless Telecommunications Services (Telecoms),Telecom
Zinc (Basic Materials),Basic Materials
"",""
