country,risk_name,historic_updated_value,historic_updated_date
AD,RegulatoryBurden,1.5,2017-05-22
AD,Security,0.5,2025-01-20
AD,Security,0.4,2023-04-11
AD,Security,0.3,2020-10-26
AD,Security,0.2,2018-03-05
AD,Security,0.3,2017-05-22
AD,SovereignDefault,1,2021-05-10
AD,SovereignDefault,0.5,2015-05-12
AD,StateFailure,0.6,2025-01-20
AD,StateFailure,0.7,2023-07-28
AD,StateFailure,0.7,2020-10-26
AD,StateFailure,0.3,2018-01-08
AD,StateFailure,0.3,2017-03-06
AD,StrategicOverall,1,2024-11-12
AD,StrategicOverall,1.1,2024-05-13
AD,StrategicOverall,1,2023-05-04
AD,StrategicOverall,1.1,2023-04-11
AD,StrategicOverall,1,2023-02-07
AD,StrategicOverall,1.1,2022-08-04
AD,StrategicOverall,1,2022-05-06
AD,StrategicOverall,0.9,2021-11-05
AD,StrategicOverall,0.8,2020-10-26
AD,StrategicOverall,0.7,2020-08-06
AD,StrategicOverall,0.9,2020-04-23
AD,StrategicOverall,0.7,2019-02-11
AD,Tax,1.3,2025-01-20
AD,Tax,1.2,2023-07-28
AD,Tax,1.3,2022-06-06
AD,Tax,1.2,2020-10-26
AD,Tax,1.1,2018-03-05
AD,Tax,0.8,2017-09-05
AD,Tax,0.9,2017-03-06
AD,TaxConsistency,0.9,2025-01-20
AD,TaxConsistency,0.8,2023-07-28
AD,TaxConsistency,0.8,2022-06-06
AD,TaxConsistency,0.6,2017-12-04
AD,TaxConsistency,0.7,2017-09-05
AD,TaxConsistency,0.8,2017-03-06
AD,TaxIncrease,1.6,2025-01-20
AD,TaxIncrease,1.6,2023-07-28
AD,TaxIncrease,1.8,2022-06-06
AD,TaxIncrease,1.7,2020-10-26
AD,TaxIncrease,1.6,2018-03-05
AD,TaxIncrease,0.9,2017-05-01
AD,TaxIncrease,1,2017-03-06
AD,Terrorism,0.5,2025-01-20
AD,Terrorism,0.4,2024-01-25
AD,Terrorism,0.4,2023-10-12
AD,Terrorism,0.4,2023-07-28
AD,Terrorism,0.4,2022-06-06
AD,Terrorism,0.4,2020-10-26
AD,Terrorism,0.4,2018-03-05
AD,Terrorism,0.4,2017-05-01
AD,UnderDevelopment,0.5,2023-07-07
AD,UnderDevelopment,0.5,2019-07-09
AD,UnderDevelopment,0.4,2018-07-11
AD,UnderDevelopment,0.6,2017-07-07
AD,UnderDevelopment,0.5,2015-04-28
AE,BriberyAndCorruption,2.2,2024-02-26
AE,BriberyAndCorruption,2.3,2023-01-26
AE,BriberyAndCorruption,2.3,2022-09-14
AE,BriberyAndCorruption,2.4,2022-03-09
AE,BriberyAndCorruption,2.4,2020-11-30
AE,BriberyAndCorruption,2.4,2019-10-21
AE,BriberyAndCorruption,2.4,2018-09-24
AE,BriberyAndCorruption,2.4,2018-06-18
AE,BriberyAndCorruption,2.5,2016-10-31
AE,CapitalTransfer,0.4,2024-05-13
AE,CapitalTransfer,0.3,2024-02-08
AE,CapitalTransfer,0.4,2023-08-02
AE,CapitalTransfer,0.3,2018-02-14
AE,CivilWar,0.6,2023-01-26
AE,CivilWar,0.7,2020-11-30
AE,CivilWar,0.7,2019-10-21
AE,CivilWar,0.8,2018-09-24
AE,CivilWar,0.8,2016-10-31
AE,ContractAlteration,2.3,2023-01-25
AE,ContractAlteration,2.5,2022-09-14
AE,ContractAlteration,3,2022-05-31
AE,ContractAlteration,3.5,2020-11-30
AE,ContractAlteration,3.5,2020-03-31
AE,ContractAlteration,3,2020-03-23
