age,qx_bespoke_1,qx_bespoke_2,qx_male,qx_female,qx_unknown
20,0.011512468,0.000336535,0.000265417,0.000174549,0.000265417
21,0.011569851,0.000367709,0.000290778,0.000186714,0.000290778
22,0.011633032,0.000401637,0.000318492,0.000199724,0.000318492
23,0.011656072,0.000417679,0.000327935,0.000207197,0.000327935
24,0.011679853,0.00043452,0.000337635,0.000214943,0.000337635
25,0.011704394,0.000451999,0.000347599,0.00022297,0.000347599
26,0.011729718,0.000470424,0.000357832,0.000231289,0.000357832
27,0.011755847,0.000489777,0.000368341,0.000239911,0.000368341
28,0.011791088,0.000515004,0.000384082,0.000246655,0.000384082
29,0.01182774,0.000541755,0.000400428,0.000253438,0.000400428
30,0.011865849,0.000570028,0.000417397,0.000260246,0.000417397
31,0.011905461,0.000599963,0.000435008,0.000267062,0.000435008
32,0.011946622,0.000631912,0.000453279,0.000273868,0.000453279
33,0.012007352,0.000675299,0.000481546,0.000290425,0.000481546
34,0.012071745,0.000721932,0.000511543,0.000307961,0.000511543
35,0.012140018,0.000772462,0.000543375,0.00032653,0.000543375
36,0.012212399,0.000827004,0.00057715,0.000346192,0.00057715
37,0.012289128,0.00088658,0.000612984,0.000367009,0.000612984
38,0.012366136,0.000948188,0.000648593,0.000391384,0.000648593
39,0.012446858,0.001016399,0.000685927,0.00041732,0.000685927
40,0.01253139,0.001089258,0.000725032,0.00044491,0.000725032
41,0.012619814,0.001169353,0.000765947,0.000474253,0.000765947
42,0.012712205,0.001258519,0.000808707,0.000505455,0.000808707
43,0.012886467,0.00139653,0.000895738,0.000562451,0.000895738
44,0.01307791,0.001555994,0.00099207,0.000625813,0.00099207
45,0.013288215,0.001732193,0.00109869,0.000696246,0.00109869
46,0.013519228,0.001933729,0.001216692,0.000774534,0.001216692
47,0.013772977,0.002167713,0.001347282,0.000861545,0.001347282
48,0.014042101,0.002417245,0.001484047,0.000953636,0.001484047
49,0.014336947,0.002699315,0.001634687,0.001055529,0.001634687
50,0.014659971,0.002966328,0.00180061,0.001168263,0.00180061
51,0.015013865,0.003249256,0.001983364,0.001292988,0.001983364
52,0.015401578,0.003565998,0.002184657,0.001430973,0.002184657
53,0.0158022,0.003905302,0.002399196,0.001580934,0.002399196
54,0.016238941,0.004275265,0.002634801,0.001746597,0.002634801
55,0.016715057,0.004698945,0.002893538,0.001929607,0.002893538
56,0.017234099,0.005140368,0.003177679,0.002131778,0.003177679
57,0.017799934,0.005669778,0.003489718,0.002355114,0.003489718
58,0.018475945,0.006237094,0.003858181,0.002599273,0.003858181
59,0.019217825,0.006909522,0.004265068,0.002868601,0.004265068
60,0.020031922,0.007610022,0.004714343,0.00316568,0.004714343
61,0.020925187,0.008421662,0.005210381,0.003493357,0.005210381
62,0.021905237,0.009346565,0.005758001,0.003854768,0.005758001
63,0.023020324,0.010347116,0.006397354,0.004308081,0.006397354
64,0.024244149,0.0115076,0.007105102,0.004812544,0.007105102
65,0.025587004,0.012804174,0.007888373,0.005373768,0.007888373
66,0.027060135,0.014221827,0.008755026,0.005997964,0.008755026
67,0.028675828,0.015836615,0.009713718,0.006692011,0.009713718
68,0.030419875,0.017602047,0.010772321,0.00747217,0.010772321
69,0.032330611,0.019615517,0.0119435,0.0083409,0.0119435
70,0.034423626,0.021871323,0.013239008,0.009308058,0.013239008
71,0.03671595,0.024343824,0.01467181,0.010384587,0.01467181
72,0.039226175,0.027106026,0.016256204,0.011582626,0.016256204
73,0.042094127,0.030475517,0.018148072,0.012987271,0.018148072
74,0.045247107,0.034127039,0.020256596,0.014560849,0.020256596
75,0.048712998,0.038230591,0.022606277,0.016323537,0.022606277
76,0.052522377,0.042843694,0.025224354,0.018297906,0.025224354
77,0.056708775,0.048496327,0.028141118,0.020509205,0.028141118
78,0.061841316,0.054295131,0.031786301,0.023335281,0.031786301
79,0.0675304,0.061947997,0.035891433,0.026544218,0.035891433
80,0.073834931,0.069718299,0.040513435,0.030187198,0.040513435
81,0.080819937,0.079221224,0.045716168,0.034322173,0.045716168
82,0.088557198,0.089629927,0.051571269,0.039014755,0.051571269
83,0.098152728,0.103340365,0.059570715,0.045772028,0.059570715
84,0.10891312,0.118630351,0.068795757,0.053695084,0.068795757
85,0.120977776,0.135556594,0.079432302,0.062984351,0.079432302
86,0.134502596,0.157141366,0.091694222,0.073874611,0.091694222
87,0.149661905,0.18141741,0.105827537,0.08664087,0.105827537
88,0.167762293,0.212051211,0.128573461,0.097921966,0.128573461
89,0.185599473,0.242457543,0.14380971,0.110651803,0.14380971
90,0.205577147,0.274693195,0.163084026,0.126422179,0.163084026
91,0.227815684,0.309060923,0.17984677,0.143688193,0.17984677
92,0.251388503,0.348156803,0.201836684,0.162133625,0.201836684
93,0.277246842,0.394145656,0.220625985,0.180181978,0.220625985
94,0.303904709,0.440284694,0.243231217,0.197728364,0.243231217
95,0.331003298,0.490061606,0.265748958,0.218031825,0.265748958
96,0.358092657,0.548239019,0.286182311,0.237090669,0.286182311
97,0.385140482,0.618805413,0.315657948,0.261498838,0.315657948
98,0.411682978,0.66295468,0.326494269,0.285767467,0.326494269
99,0.437177895,0.747397051,0.363785402,0.304708311,0.363785402
100,0.463133147,0.835168464,0.386454088,0.332433586,0.386454088
