coverage,segment,ihs_score,m,c
terrorism,1,0,0.0002023,0
terrorism,2,1.0000001,0.000025,0.00039
terrorism,3,3.2000001,0.0001154,-0.0007374
riots_and_civil_commotion,1,0,0.0001618,0
riots_and_civil_commotion,2,1.0000001,0.00002,0.000312
riots_and_civil_commotion,3,3.2000001,0.0000924,-0.0005899
strike,1,0,0.0001634,0
strike,2,1.0000001,0.0000202,0.0003151
strike,3,3.2000001,0.0000933,-0.0005958
war,1,0,0.0000674,0
war,2,1.0000001,0.0000083,0.00013
war,3,3.2000001,0.0000385,-0.0002458
