exposure,1yr,2yr,3yr,4yr,5yr,6yr,7yr,8yr
0,0,0,0,0,0,0,0,0
50,0,0,0,0.05,0.1,0.2,0.2,0.3
100,0,0,0.05,0.1,0.1,0.2,0.3,0.4
250,0,0.05,0.1,0.1,0.2,0.3,0.4,0.5
500,0.05,0.05,0.1,0.2,0.3,0.4,0.5,0.5
