attachment,salzman_a_primary,salzman_b_primary,salzman_average
23.75,70.95,52.35,61.65
23.875,71.075,52.475,61.775
24,71.2,52.6,61.9
24.125,71.3125,52.7125,62.0125
24.25,71.425,52.825,62.125
24.375,71.5375,52.9375,62.2375
24.5,71.65,53.05,62.35
24.625,71.7625,53.1625,62.4625
24.75,71.875,53.275,62.575
24.875,71.9875,53.3875,62.6875
25,72.1,53.5,62.8
25.125,72.2125,53.625,62.91875
25.25,72.325,53.75,63.0375
25.375,72.4375,53.875,63.15625
25.5,72.55,54,63.275
25.625,72.6625,54.125,63.39375
25.75,72.775,54.25,63.5125
25.875,72.8875,54.375,63.63125
26,73,54.5,63.75
26.125,73.125,54.625,63.875
26.25,73.25,54.75,64
26.375,73.375,54.875,64.125
26.5,73.5,55,64.25
26.625,73.625,55.125,64.375
26.75,73.75,55.25,64.5
26.875,73.875,55.375,64.625
27,74,55.5,64.75
27.125,74.125,55.625,64.875
27.25,74.25,55.75,65
27.375,74.375,55.875,65.125
27.5,74.5,56,65.25
27.625,74.625,56.125,65.375
27.75,74.75,56.25,65.5
27.875,74.875,56.375,65.625
28,75,56.5,65.75
28.125,75.1125,56.6125,65.8625
28.25,75.225,56.725,65.975
28.375,75.3375,56.8375,66.0875
28.5,75.45,56.95,66.2
28.625,75.5625,57.0625,66.3125
28.75,75.675,57.175,66.425
28.875,75.7875,57.2875,66.5375
29,75.9,57.4,66.65
29.125,76.025,57.525,66.775
29.25,76.15,57.65,66.9
29.375,76.275,57.775,67.025
29.5,76.4,57.9,67.15
29.625,76.525,58.025,67.275
29.75,76.65,58.15,67.4
29.875,76.775,58.275,67.525
30,76.9,58.4,67.65
30.125,76.9875,58.5125,67.75
30.25,77.075,58.625,67.85
30.375,77.1625,58.7375,67.95
30.5,77.25,58.85,68.05
30.625,77.3375,58.9625,68.15
30.75,77.425,59.075,68.25
30.875,77.5125,59.1875,68.35
31,77.6,59.3,68.45
31.125,77.6875,59.4,68.54375
31.25,77.775,59.5,68.6375
31.375,77.8625,59.6,68.73125
31.5,77.95,59.7,68.825
31.625,78.0375,59.8,68.91875
31.75,78.125,59.9,69.0125
31.875,78.2125,60,69.10625
32,78.3,60.1,69.2
32.125,78.3875,60.2125,69.3
32.25,78.475,60.325,69.4
32.375,78.5625,60.4375,69.5
32.5,78.65,60.55,69.6
32.625,78.7375,60.6625,69.7
32.75,78.825,60.775,69.8
32.875,78.9125,60.8875,69.9
33,79,61,70
33.125,79.0875,61.1,70.09375
33.25,79.175,61.2,70.1875
33.375,79.2625,61.3,70.28125
33.5,79.35,61.4,70.375
33.625,79.4375,61.5,70.46875
33.75,79.525,61.6,70.5625
33.875,79.6125,61.7,70.65625
34,79.7,61.8,70.75
34.125,79.7875,61.9125,70.85
34.25,79.875,62.025,70.95
34.375,79.9625,62.1375,71.05
34.5,80.05,62.25,71.15
34.625,80.1375,62.3625,71.25
34.75,80.225,62.475,71.35
34.875,80.3125,62.5875,71.45
35,80.4,62.7,71.55
35.125,80.4875,62.8125,71.65
35.25,80.575,62.925,71.75
35.375,80.6625,63.0375,71.85
35.5,80.75,63.15,71.95
35.625,80.8375,63.2625,72.05
35.75,80.925,63.375,72.15
35.875,81.0125,63.4875,72.25
36,81.1,63.6,72.35
36.125,81.1875,63.7,72.44375
36.25,81.275,63.8,72.5375
36.375,81.3625,63.9,72.63125
36.5,81.45,64,72.725
36.625,81.5375,64.1,72.81875
36.75,81.625,64.2,72.9125
36.875,81.7125,64.3,73.00625
37,81.8,64.4,73.1
37.125,81.8875,64.5125,73.2
37.25,81.975,64.625,73.3
37.375,82.0625,64.7375,73.4
37.5,82.15,64.85,73.5
37.625,82.2375,64.9625,73.6
37.75,82.325,65.075,73.7
37.875,82.4125,65.1875,73.8
38,82.5,65.3,73.9
38.125,82.5875,65.4,73.99375
38.25,82.675,65.5,74.0875
38.375,82.7625,65.6,74.18125
38.5,82.85,65.7,74.275
38.625,82.9375,65.8,74.36875
38.75,83.025,65.9,74.4625
38.875,83.1125,66,74.55625
39,83.2,66.1,74.65
39.125,83.2875,66.2125,74.75
39.25,83.375,66.325,74.85
39.375,83.4625,66.4375,74.95
39.5,83.55,66.55,75.05
39.625,83.6375,66.6625,75.15
39.75,83.725,66.775,75.25
39.875,83.8125,66.8875,75.35
40,83.9,67,75.45
40.125,83.9625,67.0875,75.525
40.25,84.025,67.175,75.6
40.375,84.0875,67.2625,75.675
40.5,84.15,67.35,75.75
40.625,84.2125,67.4375,75.825
40.75,84.275,67.525,75.9
40.875,84.3375,67.6125,75.975
41,84.4,67.7,76.05
41.125,84.4625,67.775,76.11875
41.25,84.525,67.85,76.1875
41.375,84.5875,67.925,76.25625
41.5,84.65,68,76.325
41.625,84.7125,68.075,76.39375
41.75,84.775,68.15,76.4625
41.875,84.8375,68.225,76.53125
42,84.9,68.3,76.6
42.125,84.9625,68.3875,76.675
42.25,85.025,68.475,76.75
42.375,85.0875,68.5625,76.825
42.5,85.15,68.65,76.9
42.625,85.2125,68.7375,76.975
42.75,85.275,68.825,77.05
42.875,85.3375,68.9125,77.125
43,85.4,69,77.2
43.125,85.4625,69.075,77.26875
43.25,85.525,69.15,77.3375
43.375,85.5875,69.225,77.40625
43.5,85.65,69.3,77.475
43.625,85.7125,69.375,77.54375
43.75,85.775,69.45,77.6125
43.875,85.8375,69.525,77.68125
44,85.9,69.6,77.75
44.125,85.9625,69.6875,77.825
44.25,86.025,69.775,77.9
44.375,86.0875,69.8625,77.975
44.5,86.15,69.95,78.05
44.625,86.2125,70.0375,78.125
44.75,86.275,70.125,78.2
44.875,86.3375,70.2125,78.275
45,86.4,70.3,78.35
45.125,86.475,70.3875,78.43125
45.25,86.55,70.475,78.5125
45.375,86.625,70.5625,78.59375
45.5,86.7,70.65,78.675
45.625,86.775,70.7375,78.75625
45.75,86.85,70.825,78.8375
45.875,86.925,70.9125,78.91875
