exposure_limit,agg_limit_discount,agg_deductible_discount
0,1,0.97248
8,1,0.97248
8.5,1,0.97248
8.5,1,0.97248
9,1,0.97248
9.5,1,0.97248
10,1,0.97248
10.5,1,0.97248
11,1,0.97248
12,1,0.97248
12.5,1,0.97248
13.5,1,0.97248
14.5,1,0.97248
15.5,1,0.97249
16.5,1,0.97252
18,1,0.97258
20,1,0.9727
22,1,0.97297
25,1,0.97353
28.5,0.99986,0.97449
33.5,0.99967,0.97605
40,0.99652,0.97848
50,0.99167,0.98183
66.5,0.95726,0.98634
100,0.88739,0.99235
200,0.88739,1
