event_type,base_rate,adverse_weather_relativity
Sporting Event,0.0028875,1
Football,0.0028875,3.5489
NFL,0.0028875,2.5326
Rugby,0.0028875,2.5326
Tennis,0.0028875,20.8258
Golf,0.00315,7.8912
Horse Racing,0.00315,7.8912
Motor Sport,0.00315,7.8912
Conference/Exhibition,0.0023625,1
Theatre,0.00315,1
Music Concert,0.00354375,21.2878
Music Festival,0.00354375,21.2878
Low risk non-sport,0.0023625,1
Medium risk non-sport,0.00354375,1
High risk non-sport,0.004725,1
