"Path","Name","Type","Mode","Optionality","Label","Default Value"
"cds/exposure/granular/california_counties/percentage_output_copy","percentage_output_copy","float","output","n/a","Percentage Output Copy","n/a"
"cds/exposure/granular/california_counties/percentage_async_copy","percentage_async_copy","float","output","n/a","Percentage Async Copy","n/a"
"cds/exposure/granular/california_counties/override_flag","override_flag","bool","output","n/a","Override Flag","n/a"
"cds/exposure/granular/california_counties","california_counties","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/california_rest/factor","factor","float","output","n/a","Factor","n/a"
"cds/exposure/granular/california_rest/percentage","percentage","float","input","required","Venue Split","0"
"cds/exposure/granular/california_rest/selection","selection","bool","input","required","Venue Selection","False"
"cds/exposure/granular/california_rest/percentage_output_copy","percentage_output_copy","float","output","n/a","Percentage Output Copy","n/a"
"cds/exposure/granular/california_rest/percentage_async_copy","percentage_async_copy","float","output","n/a","Percentage Async Copy","n/a"
"cds/exposure/granular/california_rest/override_flag","override_flag","bool","output","n/a","Override Flag","n/a"
"cds/exposure/granular/california_rest","california_rest","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/colorado/factor","factor","float","output","n/a","Factor","n/a"
"cds/exposure/granular/colorado/percentage","percentage","float","input","required","Venue Split","0"
"cds/exposure/granular/colorado/selection","selection","bool","input","required","Venue Selection","False"
"cds/exposure/granular/colorado/percentage_output_copy","percentage_output_copy","float","output","n/a","Percentage Output Copy","n/a"
"cds/exposure/granular/colorado/percentage_async_copy","percentage_async_copy","float","output","n/a","Percentage Async Copy","n/a"
"cds/exposure/granular/colorado/override_flag","override_flag","bool","output","n/a","Override Flag","n/a"
"cds/exposure/granular/colorado","colorado","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/connecticut/factor","factor","float","output","n/a","Factor","n/a"
"cds/exposure/granular/connecticut/percentage","percentage","float","input","required","Venue Split","0"
"cds/exposure/granular/connecticut/selection","selection","bool","input","required","Venue Selection","False"
"cds/exposure/granular/connecticut/percentage_output_copy","percentage_output_copy","float","output","n/a","Percentage Output Copy","n/a"
"cds/exposure/granular/connecticut/percentage_async_copy","percentage_async_copy","float","output","n/a","Percentage Async Copy","n/a"
"cds/exposure/granular/connecticut/override_flag","override_flag","bool","output","n/a","Override Flag","n/a"
"cds/exposure/granular/connecticut","connecticut","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/district_of_columbia/factor","factor","float","output","n/a","Factor","n/a"
"cds/exposure/granular/district_of_columbia/percentage","percentage","float","input","required","Venue Split","0"
"cds/exposure/granular/district_of_columbia/selection","selection","bool","input","required","Venue Selection","False"
"cds/exposure/granular/district_of_columbia/percentage_output_copy","percentage_output_copy","float","output","n/a","Percentage Output Copy","n/a"
"cds/exposure/granular/district_of_columbia/percentage_async_copy","percentage_async_copy","float","output","n/a","Percentage Async Copy","n/a"
"cds/exposure/granular/district_of_columbia/override_flag","override_flag","bool","output","n/a","Override Flag","n/a"
"cds/exposure/granular/district_of_columbia","district_of_columbia","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/delaware/factor","factor","float","output","n/a","Factor","n/a"
"cds/exposure/granular/delaware/percentage","percentage","float","input","required","Venue Split","0"
"cds/exposure/granular/delaware/selection","selection","bool","input","required","Venue Selection","False"
"cds/exposure/granular/delaware/percentage_output_copy","percentage_output_copy","float","output","n/a","Percentage Output Copy","n/a"
"cds/exposure/granular/delaware/percentage_async_copy","percentage_async_copy","float","output","n/a","Percentage Async Copy","n/a"
"cds/exposure/granular/delaware/override_flag","override_flag","bool","output","n/a","Override Flag","n/a"
"cds/exposure/granular/delaware","delaware","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/florida_counties/factor","factor","float","output","n/a","Factor","n/a"
"cds/exposure/granular/florida_counties/percentage","percentage","float","input","required","Venue Split","0"
"cds/exposure/granular/florida_counties/selection","selection","bool","input","required","Venue Selection","False"
"cds/exposure/granular/florida_counties/percentage_output_copy","percentage_output_copy","float","output","n/a","Percentage Output Copy","n/a"
"cds/exposure/granular/florida_counties/percentage_async_copy","percentage_async_copy","float","output","n/a","Percentage Async Copy","n/a"
"cds/exposure/granular/florida_counties/override_flag","override_flag","bool","output","n/a","Override Flag","n/a"
"cds/exposure/granular/florida_counties","florida_counties","structure","n/a","n/a","n/a","n/a"
"cds/exposure/granular/florida_rest/factor","factor","float","output","n/a","Factor","n/a"
"cds/exposure/granular/florida_rest/percentage","percentage","float","input","required","Venue Split","0"
