Ratio Low,Ratio High,Factor
0,0.1,0.4
0.1,0.2,0.36
0.2,0.3,0.32
0.3,0.4,0.28
0.4,0.5,0.24
0.5,0.6,0.2
0.6,0.7,0.16
0.7,0.8,0.12
0.8,0.9,0.08
0.9,1,0.04
1,1.1,0
1.1,1.2,-0.015
1.2,1.3,-0.03
1.3,1.4,-0.045
1.4,1.5,-0.06
1.5,1.6,-0.075
1.6,1.7,-0.09
1.7,1.8,-0.105
1.8,1.9,-0.12
1.9,2,-0.135
2,2.1,-0.15
2.1,2.2,-0.165
2.2,2.3,-0.18
2.3,2.4,-0.195
2.4,2.5,-0.21
2.5,2.6,-0.225
2.6,2.7,-0.24
2.7,2.8,-0.255
2.8,2.9,-0.27
2.9,3,-0.285
3,3,-0.3
