Reason,+/-,Description
Prior Claim Activity,0.25,"Frequency and Severity of past claims, trends, insured's response"
Cash Position/Stability,0.25,"Financial stability; debt position and repayment schedule, cashflow and cash"
Diversification Strategy,0.25,"Past and potential M&A-were they executed well, were they a good fit"
Board / Shareholders,0.25,"Board turnover, representation by major shareholders, quality of decisions, diversification"
Size - Revenues/Assets/Employees,0.25,"Appropriate ratio of revenues, assets and employees"
