Severity Component,Low Risk - LB,Low Risk - UB,Normal Risk - LB,Normal Risk - UB,High Risk - LB,High Risk - UB
Industry/ Sector Factor,0.85,0.85,1,1,1.15,1.15
Company Specific Factor,0.85,0.85,1,1,1.15,1.15
Litigation Potential Factor,0.85,0.85,1,1,1.15,1.15
