Min,Max,Rate per Employee in Band,Max Rate in Band,Rate Running Total
0,10,0,1200,1200
10,25,66,990,1200
25,50,55,1375,2190
50,100,34,1700,3565
100,200,25,2500,5265
200,500,14,4200,7765
500,1000,10,5000,11965
1000,2000,8.25,8250,16965
2000,3000,7.5,7500,25215
3000,5000,6.5,13000,32715
5000,7500,5.5,13750,45715
7500,10000,4.5,11250,59465
10000,15000,4.25,21250,70715
15000,100000000,4,1000000000,91965
