Response,Min,Max
No exposure from these events in prior two years and none anticipated during the next year,0.85,0.95
Some exposure from past events over prior two years or anticipated during the next year,0.95,1.05
Significant exposure from past events over prior two years or anticipated during next year,1.05,1.15
