Min,Max,Rate in Band per 1000,Rate Running
0,100000,0,225
100000,1000000,0.2805,255
1000000,2500000,0.165,507
2500000,5000000,0.10725,755
5000000,10000000,0.0825,1023
10000000,25000000,0.066,1436
25000000,50000000,0.0495,2426
50000000,100000000,0.033,3663
100000000,250000000,0.0198,5313
250000000,500000000,0.0165,8283
500000000,1000000000,0.0099,12408
1000000000,1E+11,0.0033,17358
